CorsikaId px py pz x y z shower_id prm_id prm_energy prm_theta prm_phi
1 -9.42821e-04 -1.80465e-03 +8.42452e-03 +2.51980e+03 -6.21776e+03 +2.19647e+03 1 14 +1.51737e+01 36448 179443
13 +8.53090e-02 +2.43572e-01 +4.44465e-01 +8.43709e+03 -6.08363e+03 +2.19151e+03 2 14 +3.12912e+01 57280 163579
1 +2.51891e-02 +6.01295e-03 +4.06297e-02 -1.01433e+04 +1.80238e+03 +2.19167e+03 3 14 +2.02806e+01 62103 -18289
6 -2.21681e+00 +9.16984e-01 +1.42391e+00 +1.23492e+02 -3.09695e+03 +2.19925e+03 4 14 +4.10982e+01 57743 160343
6 +1.34254e-01 -1.39762e-02 +7.13955e-01 +3.00197e+03 -4.66915e+03 +2.19758e+03 5 14 +1.39791e+01 24203 177539
1 -3.31589e-04 +3.58536e-04 +6.02469e-04 -3.41863e+02 -4.00881e+03 +2.19873e+03 5 14 +1.39791e+01 24203 177539
13 +9.88304e-02 -3.12670e-01 +1.34137e-01 +1.62859e+03 -7.65947e+03 +2.19519e+03 5 14 +1.39791e+01 24203 177539
1 +1.04341e-05 +1.04505e-04 +1.36625e-04 -5.13813e+03 -1.77072e+04 +2.17333e+03 6 14 +5.59856e+00 44246 72146
1 +2.33479e-04 +1.49248e-04 +2.04709e-04 -5.11682e+03 -1.76111e+04 +2.17361e+03 6 14 +5.59856e+00 44246 72146
1 -5.03824e-03 +1.96621e-02 +1.00376e-02 +9.63051e+03 -1.60505e+04 +2.17251e+03 7 14 +2.60781e+01 60596 114011
1 +6.48849e-05 +4.18913e-05 +1.76794e-04 +9.79521e+03 -1.66624e+04 +2.17069e+03 7 14 +2.60781e+01 60596 114011
1 -4.34160e-05 +2.96729e-04 +2.28218e-04 +1.10216e+04 -1.82980e+04 +2.16420e+03 7 14 +2.60781e+01 60596 114011
13 -1.11295e-01 +2.30353e-01 +5.05043e-01 +1.07087e+04 -1.81402e+04 +2.16519e+03 7 14 +2.60781e+01 60596 114011
