CorsikaId px py pz x y z shower_id prm_id prm_energy prm_theta prm_phi
0001 -1.32974e-04 +5.08433e-04 +9.46169e-03 +5.70894e+03 +1.60228e+03 +2.19724e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 +1.06666e-04 +4.56433e-04 +2.02507e-03 -5.76689e+03 -3.04083e+03 +2.19667e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0013 -8.10206e-02 +5.88237e-03 +6.06235e-01 +5.49868e+03 -2.72982e+03 +2.19704e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0013 -6.24779e-02 -4.41918e-02 +5.26238e-01 +5.50588e+03 -2.77506e+03 +2.19702e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0005 -1.00234e+00 -7.12200e-01 +1.27049e+00 -1.34105e+03 -8.43168e+03 +2.19428e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 -9.88419e-05 +2.04498e-06 +1.33112e-04 +3.46917e+03 +6.53923e+03 +2.19570e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 -9.72690e-05 +2.44980e-06 +1.32417e-04 +3.46920e+03 +6.53924e+03 +2.19570e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0003 -2.18156e-01 +3.82430e-03 +2.94982e-01 +3.46919e+03 +6.53925e+03 +2.19570e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0006 -2.62545e+00 -6.89890e-01 +3.09487e+00 -1.67267e+03 -6.62823e+02 +2.19975e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 -1.25957e-02 +3.71080e-02 +9.03363e-02 -1.53390e+03 -8.09794e+02 +2.19976e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0013 -3.85945e-01 -9.23073e-01 +1.16178e+00 -1.71044e+03 -4.88990e+03 +2.19789e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 -7.02862e-04 -3.01407e-04 +6.28735e-04 -1.16840e+04 -4.08244e+03 +2.18798e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 -3.88240e-04 -6.99995e-04 +6.63079e-04 -1.05986e+04 -4.50702e+03 +2.18959e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 -9.34156e-04 -1.26392e-04 +2.85087e-04 -1.08445e+04 -3.98998e+03 +2.18953e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 -5.79816e-04 -1.00278e-04 +9.15409e-04 -1.06237e+04 -3.97145e+03 +2.18991e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 -4.63283e-05 +1.90850e-05 +1.33535e-04 -1.12042e+04 -3.99876e+03 +2.18890e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 +4.49627e-05 -2.46585e-04 +5.11498e-04 -1.10852e+04 -4.32416e+03 +2.18889e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0006 -1.00073e+00 -2.43684e-01 +1.19373e+00 +1.55250e+02 -1.44028e+03 +2.19984e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0013 +2.04814e-02 -5.66275e-02 +4.10655e-01 +4.99228e+03 -4.73438e+02 +2.19803e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 -2.51406e-03 -6.25703e-03 +3.56829e-02 +4.56549e+03 -1.17409e+03 +2.19826e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 -9.04155e-03 -2.75317e-04 +1.01941e-02 -2.97353e+03 -1.67216e+03 +2.19909e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0013 -1.18632e-01 -1.51484e-01 +3.80403e-01 -1.88148e+03 -4.25817e+03 +2.19830e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
0001 +1.83209e-04 +1.32532e-04 +1.08670e-04 +9.23336e+02 -1.42212e+03 +2.19977e+03 00000001 2412 +5.77431e+02 +40.000 -160.683
