CorsikaId px py pz x y z shower_id prm_id prm_energy prm_theta prm_phi
0013 +6.62845e-02 +7.81146e-02 +5.04795e-01 +2.17455e+04 -9.87407e+03 +2.15525e+03 00000001 0703 +1.00277e+02 +64.034 -171.110
0013 +9.90910e-02 -1.48471e-01 +3.97429e-01 -1.98400e+03 -5.71165e+03 +2.19713e+03 00000002 0703 +2.14073e+02 +48.577 -014.098
0006 +2.22162e+00 -6.18008e-01 +2.17772e+00 -5.62118e+02 -1.57513e+02 +2.19997e+03 00000002 0703 +2.14073e+02 +48.577 -014.098
0001 +1.14728e-03 -5.13195e-04 +8.67323e-04 -2.79439e+03 +1.45908e+03 +2.19922e+03 00000002 0703 +2.14073e+02 +48.577 -014.098
0001 +3.12210e-05 +1.15549e-04 +1.55476e-04 -2.93365e+03 +1.49501e+03 +2.19915e+03 00000002 0703 +2.14073e+02 +48.577 -014.098
0001 +2.68444e-03 +5.26386e-03 +1.04747e-02 -4.36995e+03 +2.03234e+03 +2.19818e+03 00000002 0703 +2.14073e+02 +48.577 -014.098
0001 +1.43583e-03 +2.20557e-03 +7.89960e-04 -4.53096e+03 +3.15195e+03 +2.19761e+03 00000002 0703 +2.14073e+02 +48.577 -014.098
0003 +8.01573e-04 +5.34561e-03 +3.67489e-03 -4.55676e+03 +3.12745e+03 +2.19760e+03 00000002 0703 +2.14073e+02 +48.577 -014.098
0005 +3.17072e+00 -1.23727e+00 +2.84368e+00 +5.51170e+02 -2.43445e+03 +2.19951e+03 00000002 0703 +2.14073e+02 +48.577 -014.098
0005 -9.98322e-02 +2.53805e-02 +7.29586e-02 +2.09581e+03 -2.06733e+03 +2.19932e+03 00000003 0703 +1.80023e+02 +51.574 +173.528
0013 +1.95655e-01 +2.75961e-02 +3.50979e-01 +9.39442e+03 -5.78014e+02 +2.19305e+03 00000003 0703 +1.80023e+02 +51.574 +173.528
0001 -1.76902e-02 -8.17929e-04 +1.34580e-02 -1.23465e+03 -3.36681e+03 +2.19899e+03 00000003 0703 +1.80023e+02 +51.574 +173.528
0006 -4.04601e+00 +4.03696e-01 +3.47257e+00 +1.02169e+03 -2.11502e+03 +2.19957e+03 00000003 0703 +1.80023e+02 +51.574 +173.528
