CorsikaId px py pz x y z shower_id prm_id prm_energy prm_theta prm_phi
0001 +4.17289e-03 -1.97659e-02 +1.24915e-02 +2.17914e+03 -9.57104e+03 +2.19244e+03 00000001 0703 +8.09816e+01 +54.095 -082.689
0001 +1.30969e-03 -3.94492e-04 +1.69760e-03 +2.25915e+03 -9.29868e+03 +2.19282e+03 00000001 0703 +8.09816e+01 +54.095 -082.689
0013 -2.08789e-01 -2.37790e-01 +3.89836e-01 +5.13568e+03 -9.20883e+03 +2.19128e+03 00000002 0703 +1.62719e+02 +56.948 +151.484
0013 -2.33869e-01 +1.95461e-01 +1.08256e-01 +4.75963e+03 -8.36559e+03 +2.19273e+03 00000002 0703 +1.62719e+02 +56.948 +151.484
0001 +1.17318e-03 -3.87682e-04 +3.07158e-03 -1.55478e+04 -4.86401e+03 +2.17918e+03 00000003 0703 +3.44366e+01 +62.975 +005.159
0001 +9.24482e-03 -4.08154e-03 +1.36097e-02 -1.51163e+04 -5.54109e+03 +2.17967e+03 00000003 0703 +3.44366e+01 +62.975 +005.159
0013 -1.83845e-01 +7.59006e-02 +4.72199e-01 -3.02024e+03 -6.10738e+03 +2.19636e+03 00000004 0703 +2.64413e+01 +15.580 +173.438
0001 -1.03922e-03 -1.25581e-02 +2.12952e-02 +2.52694e+03 -4.14929e+03 +2.19815e+03 00000005 0703 +4.32782e+01 +40.383 -124.730
0001 +2.02139e-04 +9.41767e-05 +4.51543e-03 +9.03306e+02 -7.40996e+03 +2.19563e+03 00000006 0703 +4.28254e+01 +27.184 +151.562
0013 -4.85731e-01 -2.99729e-01 +1.65773e+00 +5.18250e+02 -7.99428e+03 +2.19497e+03 00000006 0703 +4.28254e+01 +27.184 +151.562
0013 -2.99705e-02 +2.68213e-01 +3.95517e-01 -6.43794e+04 +1.54640e+04 +1.85608e+03 00000007 0703 +2.49514e+01 +56.533 -058.543
0001 +3.27045e-04 +6.18448e-05 +8.74100e-04 -3.54984e+03 -3.62039e+03 +2.19798e+03 00000008 0703 +7.15618e+01 +03.044 -120.089
0013 +1.61280e-01 +1.22497e-01 +5.65225e-01 -9.01310e+03 +8.31659e+03 +2.18820e+03 00000009 0703 +1.06760e+02 +47.111 -000.507
0005 +1.53252e+00 +1.32416e-01 +1.46054e+00 -2.18838e+02 +2.80828e+03 +2.19938e+03 00000009 0703 +1.06760e+02 +47.111 -000.507
0001 +6.89929e-04 -1.21339e-03 +1.96633e-03 +1.28427e+03 -1.34947e+04 +2.18558e+03 00000010 0703 +1.56191e+01 +06.475 +139.584
0001 +4.62392e-05 +1.58139e-04 +9.36726e-04 +5.21552e+02 +4.27881e+03 +2.19854e+03 00000011 0703 +1.32259e+02 +26.684 -009.379
0013 +2.80278e-01 -1.91653e-01 +3.46185e-01 -7.02136e+03 -4.10483e+04 +2.06395e+03 00000012 0703 +1.32062e+01 +55.459 +066.175
0001 +6.97125e-03 -6.23854e-03 +6.88164e-03 -2.35398e+02 -6.56584e+03 +2.19661e+03 00000013 0703 +1.22523e+02 +54.677 -020.770
0001 +4.48942e-04 +2.48366e-04 +7.74516e-04 -5.83247e+01 -6.38470e+03 +2.19680e+03 00000013 0703 +1.22523e+02 +54.677 -020.770
0001 +1.42165e-03 -1.71839e-03 +1.46124e-03 -6.01730e+01 -6.77427e+03 +2.19640e+03 00000013 0703 +1.22523e+02 +54.677 -020.770
0001 +3.39806e-02 -3.36133e-02 +2.95029e-02 -9.66970e+00 -6.76394e+03 +2.19641e+03 00000013 0703 +1.22523e+02 +54.677 -020.770
0001 +9.72882e-03 -8.56802e-03 +8.30703e-03 -4.19467e+01 -6.64620e+03 +2.19653e+03 00000013 0703 +1.22523e+02 +54.677 -020.770
0005 -6.26454e-01 +9.80688e-02 +6.01048e-01 -2.70979e+03 -4.16955e+03 +2.19806e+03 00000014 0703 +6.84598e+01 +39.732 +155.769
0005 -5.07277e-01 +1.30479e-01 +9.20841e-01 +1.78436e+03 -4.59216e+03 +2.19810e+03 00000014 0703 +6.84598e+01 +39.732 +155.769
0013 -1.01258e-02 +2.42064e-01 +3.99407e-01 -5.33257e+03 -1.19047e+04 +2.18665e+03 00000015 0703 +1.69379e+01 +41.878 +035.798
0013 +1.37137e-01 +3.68954e-01 +4.76664e-01 -8.72258e+03 -1.55761e+04 +2.17500e+03 00000015 0703 +1.69379e+01 +41.878 +035.798
0001 +2.76943e-04 -4.82474e-03 +6.51492e-03 +1.18790e+03 -4.24249e+03 +2.19848e+03 00000016 0703 +5.95819e+01 +13.679 -085.430
0001 +1.17435e-04 -1.05454e-03 +1.44470e-03 +1.20410e+03 -4.23847e+03 +2.19848e+03 00000016 0703 +5.95819e+01 +13.679 -085.430
0001 +3.79417e-05 -3.28106e-04 +1.57396e-04 +1.22490e+03 -4.43847e+03 +2.19834e+03 00000016 0703 +5.95819e+01 +13.679 -085.430
0013 +6.22324e-03 -1.00642e-01 +4.00500e-01 +2.38663e+03 -4.11150e+03 +2.19823e+03 00000016 0703 +5.95819e+01 +13.679 -085.430
0001 -5.58523e-03 -1.97584e-04 +4.10073e-03 +2.50466e+03 +2.77997e+03 +2.19890e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +1.41493e-02 -8.80950e-03 +3.34009e-02 +3.30137e+03 +2.35618e+03 +2.19871e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +6.98074e-03 -3.70059e-03 +1.56900e-02 +3.32996e+03 +2.39525e+03 +2.19868e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +3.94240e-03 -1.70889e-03 +8.48390e-03 +3.34432e+03 +2.42421e+03 +2.19866e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +7.51352e-05 -1.55280e-04 +2.96780e-04 +3.30837e+03 +2.36282e+03 +2.19870e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +1.51750e-04 -3.11530e-05 +1.02346e-04 +3.44050e+03 +2.38470e+03 +2.19863e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 -3.62298e-04 -1.58145e-04 +1.25808e-03 +3.29151e+03 +2.39113e+03 +2.19870e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +3.04364e-03 -1.78221e-03 +6.38849e-03 +3.32746e+03 +2.38392e+03 +2.19869e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +1.51015e-04 -1.61980e-04 +8.46759e-05 +3.65584e+03 +2.31294e+03 +2.19853e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 -1.43174e-04 -6.87220e-04 +2.78913e-03 +2.83350e+03 +2.34496e+03 +2.19894e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +3.74477e-03 -3.94203e-03 +1.54514e-02 +2.98651e+03 +2.36318e+03 +2.19886e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 -1.63690e-05 -3.94906e-05 +5.04795e-05 +3.14564e+03 +2.25118e+03 +2.19883e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +9.56627e-06 +1.63490e-07 +2.56583e-04 +3.17232e+03 +2.20192e+03 +2.19883e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 -8.07950e-05 -1.62150e-05 +2.37542e-04 +3.20533e+03 +2.33568e+03 +2.19877e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 -5.67657e-05 -6.24904e-06 +1.14732e-04 +3.19900e+03 +2.34357e+03 +2.19877e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 -6.40060e-04 -4.88431e-04 +1.87744e-03 +3.14952e+03 +2.33595e+03 +2.19879e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0002 +5.06895e-03 -2.26478e-03 +9.31761e-03 +3.22404e+03 +2.34993e+03 +2.19875e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +2.11676e-04 -1.91010e-05 +4.10955e-04 +3.22279e+03 +2.39214e+03 +2.19874e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +3.18076e-04 +4.19923e-04 +1.42059e-04 +2.94399e+03 +1.84713e+03 +2.19905e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +1.30618e-03 -1.17412e-03 +3.76477e-03 +3.17645e+03 +2.29752e+03 +2.19879e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +9.74554e-03 -1.85854e-02 +4.16407e-02 +3.06927e+03 +2.11380e+03 +2.19891e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +3.10903e-04 +2.26071e-05 +2.55180e-03 +2.33942e+03 +5.44162e+03 +2.19725e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 -5.46389e-04 -1.83844e-03 +2.66198e-03 +2.28246e+02 -4.38566e+03 +2.19849e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +6.52582e-05 -1.03999e-03 +7.90482e-04 +6.85558e+02 -4.77974e+03 +2.19817e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 -1.39409e-05 +2.23752e-04 +1.12960e-04 +1.69789e+03 -3.97743e+03 +2.19853e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 -1.66990e-06 -4.42998e-04 +6.23648e-04 +1.84229e+03 -3.90459e+03 +2.19854e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 -8.70361e-05 +1.10224e-04 +2.20359e-04 -1.06321e+03 -1.03412e+03 +2.19983e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +5.78806e-05 +9.57131e-06 +2.78323e-04 -5.52724e+02 -2.18859e+02 +2.19997e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +8.07609e-03 -2.90792e-03 +1.86793e-02 -3.89299e+02 -4.34377e+02 +2.19997e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0002 +2.41054e-03 +2.21281e-03 +1.24978e-03 -3.72174e+02 -4.25129e+02 +2.19997e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +7.85766e-03 -4.40399e-03 +1.56058e-02 -3.59419e+02 -4.85537e+02 +2.19997e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +7.06823e-04 -2.10174e-04 +1.47065e-03 -3.67842e+02 -4.40460e+02 +2.19997e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0003 +1.97960e-04 +4.24497e-04 +3.78208e-03 -3.16589e+02 -4.74821e+02 +2.19997e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +1.08848e-03 -4.70435e-04 +1.30955e-03 -2.96284e+02 -4.86003e+02 +2.19997e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +2.59334e-05 +2.85401e-05 +2.70875e-04 -2.75293e+02 -3.97736e+02 +2.19998e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
0001 +2.91732e-04 +2.90268e-05 +2.06045e-04 -2.88115e+02 -4.51500e+02 +2.19998e+03 00000017 0703 +1.01151e+02 +25.961 -027.306
