CorsikaId px py pz x y z shower_id prm_id prm_energy prm_theta prm_phi
5 -5.7246 5.72861 2.50145 40.9676 -31.7582 2200.0 1020 703 4782.23 74.466 134.402
6 37.3471 -14.9514 10.3479 17.175 -68.0704 2200.0 1285 703 3893.2 75.481 -21.681
6 -29.4985 -14.1269 4.78146 -87.2218 -44.7509 2200.0 1292 703 1897.77 82.414 -153.78
1 -4.53548e-05 -1.71129e-05 0.000274534 14.7998 74.7443 2200.0 1440 703 1970.84 75.874 -62.833
1 0.000431749 -0.00102372 0.00168687 10.809 -10.7719 2200.0 1440 703 1970.84 75.874 -62.833
1 -1.00416e-05 0.000127661 0.000237472 0.430455 -50.9917 2200.0 1440 703 1970.84 75.874 -62.833
1 -3.52126e-05 -0.000118969 0.000296935 -73.8896 -90.5545 2200.0 1440 703 1970.84 75.874 -62.833
6 37.4547 -26.4843 11.3751 -48.5351 -30.6591 2200.0 1552 703 5881.12 76.531 -34.988
6 26.5152 28.0035 11.6975 56.685 20.2572 2200.0 2588 1206 4238.95 72.606 46.898
5 13.659 14.425 6.22235 15.1186 -16.0652 2200.0 2588 1206 4238.95 72.606 46.898
3 0.00146903 -0.000526238 0.00115388 54.4601 -66.0649 2200.0 2794 1206 2257.83 71.052 77.982
1 0.000248235 -0.000228716 0.0012402 86.7359 31.7087 2200.0 3147 1206 1194.82 75.064 -83.372
6 -18.9631 94.0712 26.1552 -88.3878 47.6347 2200.0 3178 1206 4662.88 74.23 101.399
1 -0.000202368 4.65601e-05 0.000417786 -22.2261 62.5001 2200.0 3328 1608 4840.58 75.201 57.402
1 -0.000237555 1.06225e-05 0.000209712 78.4505 22.3504 2200.0 3328 1608 4840.58 75.201 57.402
1 0.00742536 0.00345723 0.00686766 4.58211 -12.9356 2200.0 3328 1608 4840.58 75.201 57.402
1 0.00067133 0.000240703 0.00108536 -24.4049 96.2298 2200.0 3328 1608 4840.58 75.201 57.402
1 0.00549577 0.00426625 0.00281655 9.4585 -4.7271 2200.0 3328 1608 4840.58 75.201 57.402
6 39.3124 19.0653 14.2528 -25.9217 -18.1631 2200.0 3847 1608 3052.02 71.762 25.91
5 5.62934 2.82297 2.00172 -42.0197 51.2036 2200.0 3847 1608 3052.02 71.762 25.91
6 -7.90582 -13.2515 4.93416 -57.1465 19.3184 2200.0 4099 1608 1931.11 73.81 -120.172
1 0.0245759 0.00215198 0.00646068 -71.6691 -48.0884 2200.0 4442 1608 8186.4 75.295 5.121
1 0.0124204 0.00102609 0.00323752 -43.2202 -62.8679 2200.0 4442 1608 8186.4 75.295 5.121
1 0.000951968 8.45149e-05 0.000169256 -46.7839 -54.0748 2200.0 4442 1608 8186.4 75.295 5.121
1 -8.47837e-05 -0.000219457 0.000115435 57.858 -56.797 2200.0 4442 1608 8186.4 75.295 5.121
1 7.43708e-05 1.50229e-05 1.8403e-05 -34.3671 -0.742836 2200.0 4442 1608 8186.4 75.295 5.121
1 0.00460346 0.00110819 0.00121232 -50.4515 5.73837 2200.0 4442 1608 8186.4 75.295 5.121
1 0.00754281 0.000963064 0.00358836 -70.6942 -27.884 2200.0 4442 1608 8186.4 75.295 5.121
