CorsikaId px py pz x y z shower_id prm_id prm_energy prm_theta prm_phi
13 0.308377 0.208936 0.479576 -837397.0 -420188.0 536756.0 1009 1608 25.3185 89.986 27.027
1 0.00245876 -0.0047476 0.0169574 -707841.0 -225541.0 560303.0 3261 14 7.20971 88.943 17.922
1 0.00380341 0.00762133 0.0229485 -558078.0 -354623.0 568571.0 4978 402 24.8332 88.841 33.737
13 0.11927 0.248809 0.449882 -559178.0 -171806.0 575413.0 9046 14 6.22083 87.542 18.363
1 0.000187824 0.000274093 0.000526599 -656597.0 -248427.0 564563.0 11770 14 11.6501 89.452 21.307
13 -0.0813559 -0.223091 0.451285 -750390.0 -26314.9 559447.0 13939 402 8.37264 89.443 3.599
13 0.132541 -0.114217 0.265682 -806286.0 -428768.0 539929.0 15123 402 11.1026 89.463 27.281
1 0.000373665 0.00141655 0.00151436 -535459.0 -113753.0 578475.0 21526 14 17.9942 88.87 14.377
1 0.00146787 0.000645713 0.000104374 -546581.0 -461049.0 563230.0 23564 14 9.71507 88.628 40.583
3 0.0208817 0.0119602 0.0299536 -546581.0 -461049.0 563230.0 23564 14 9.71507 88.628 40.583
1 -1.4355e-05 5.68413e-05 0.000266521 -546678.0 -461188.0 563213.0 23564 14 9.71507 88.628 40.583
1 0.00196559 0.00164592 0.00350155 -546679.0 -461034.0 563223.0 23564 14 9.71507 88.628 40.583
1 0.00115325 0.000447237 0.0018169 -546641.0 -461136.0 563220.0 23564 14 9.71507 88.628 40.583
1 0.00127071 0.00065335 0.00306021 -546719.0 -461147.0 563213.0 23564 14 9.71507 88.628 40.583
1 0.0234835 0.00639601 0.0532957 -546711.0 -461174.0 563212.0 23564 14 9.71507 88.628 40.583
1 0.000660511 -0.000147518 0.00118801 -546729.0 -461211.0 563208.0 23564 14 9.71507 88.628 40.583
1 2.78972e-05 -4.69717e-05 4.40008e-05 -546720.0 -461235.0 563207.0 23564 14 9.71507 88.628 40.583
1 0.000554335 0.000392949 0.00311652 -546743.0 -461207.0 563207.0 23564 14 9.71507 88.628 40.583
1 0.00277184 0.00118132 0.00342042 -562090.0 -380323.0 566887.0 36388 14 9.94262 88.554 34.741
1 -0.000379819 -0.000205004 0.000202297 -562267.0 -380491.0 566863.0 36388 14 9.94262 88.554 34.741
1 7.70264e-06 3.67432e-05 9.66251e-05 -562117.0 -379932.0 566906.0 36388 14 9.94262 88.554 34.741
1 0.00690609 -0.000293407 0.00830365 -610638.0 -310066.0 566279.0 39176 14 8.77958 88.994 27.823
13 0.248815 0.454453 0.246184 -526854.0 -347849.0 571354.0 40523 14 5.45022 86.991 35.579
1 0.0210417 0.0137179 0.00876991 -516115.0 -303069.0 574260.0 50091 14 33.8568 89.924 31.358
1 0.0105269 0.00388992 0.00508745 -516317.0 -303278.0 574236.0 50091 14 33.8568 89.924 31.358
1 0.00856736 0.00594923 0.00530217 -516532.0 -303280.0 574219.0 50091 14 33.8568 89.924 31.358
1 0.0100767 0.00583041 0.00478282 -516225.0 -303207.0 574245.0 50091 14 33.8568 89.924 31.358
1 7.70673e-05 0.000458099 0.000294085 -515790.0 -303081.0 574283.0 50091 14 33.8568 89.924 31.358
13 0.202549 0.0447447 0.355955 -576913.0 -375403.0 565938.0 58400 14 9.80507 88.719 34.213
13 -0.243793 0.0361632 0.244465 -660665.0 -246579.0 564242.0 60684 14 7.91006 88.89 20.603
1 0.00204694 0.000657447 0.00252052 -638359.0 -120199.0 569671.0 66055 14 14.2728 89.419 13.018
1 0.00433588 -0.00313721 0.0230714 -621415.0 -277433.0 566704.0 66888 14 6.55442 88.532 25.598
1 0.000688848 0.000326769 0.00210264 -581742.0 -392951.0 564563.0 78946 14 9.57505 89.045 35.409
1 -0.000301386 -0.000280646 0.000491626 -581762.0 -392845.0 564567.0 78946 14 9.57505 89.045 35.409
1 0.00332539 0.00217039 0.00424852 -581661.0 -392766.0 564580.0 78946 14 9.57505 89.045 35.409
13 0.0327029 0.456286 0.447917 -629950.0 35174.9 571390.0 80082 14 5.99274 89.798 1.751
13 -0.106286 -0.253085 0.176958 -501347.0 -471744.0 565928.0 80660 14 6.08683 87.814 44.116
1 0.0108482 0.00445827 0.0222156 -504508.0 -133141.0 580446.0 80720 14 10.8698 87.707 16.167
1 0.000517379 -0.00138769 0.00475622 -512981.0 -349870.0 572292.0 82046 14 8.54164 87.405 34.927
