Tabla para CorsikaId 1:
        CorsikaId        px        py        pz          x          y       z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
1238            1  0.005656 -0.009697  0.015160  -1.592230   4.809220  2200.0         90     703    1972.530     45.119  -72.583
1296            1  0.000295  0.000251  0.001079  27.080700 -40.229800  2200.0         90     703    1972.530     45.119  -72.583
2223            1 -0.011007 -0.017746  0.030617 -49.082900  35.591600  2200.0        156     703     696.791     35.693 -117.474
3711            1 -0.000084  0.000207  0.000870 -45.922600   1.545430  2200.0        264     703    1076.000     24.359 -110.059
4045            1  0.011161  0.017874  0.039522   2.385120 -31.556600  2200.0        301     703     242.999     25.476   53.901
6724            1 -0.000284  0.000067  0.001745  48.956800  20.235000  2200.0        538     703    1273.110     37.118 -107.629
10108           1 -0.000240  0.000414  0.000521 -49.451500 -33.484300  2200.0        880    1206    2174.310     33.284  -73.387
10390           1  0.000294  0.000457  0.001487 -17.700300   7.481800  2200.0        880    1206    2174.310     33.284  -73.387
11145           1  0.000949 -0.000975  0.006092   9.896990  35.748900  2200.0        941    1206    1484.340     18.028 -149.036
11873           1  0.000137 -0.000059  0.000742  46.418400  18.253700  2200.0        958    1206    1285.970      8.652  -58.714
12513           1  0.000216  0.000808  0.000332 -41.545100  31.901000  2200.0       1004    1206    1564.590     63.440   23.615
14415           1 -0.001359 -0.004467  0.020329 -18.214500   0.629618  2200.0       1154    1206    1121.810     17.840  -90.635
17383           1 -0.000012  0.000224  0.000178 -30.886900   9.728160  2200.0       1405    1206    1919.470     17.083  156.596
17418           1  0.000121  0.000032  0.000355 -44.741400 -17.479200  2200.0       1405    1206    1919.470     17.083  156.596
17432           1 -0.000046  0.000072  0.000355  30.710900 -11.201900  2200.0       1405    1206    1919.470     17.083  156.596
17487           1 -0.000294  0.000420  0.000501  28.396100 -26.530400  2200.0       1405    1206    1919.470     17.083  156.596
18191           1 -0.006337  0.082656  0.101717 -22.215500 -39.462400  2200.0       1417    1206     907.100     23.411  127.868
19160           1 -0.000632  0.000746  0.005030  17.569400 -43.311600  2200.0       1455    1206    1189.610      8.794    9.220
22647           1  0.000058 -0.000010  0.000120   2.438130  30.928800  2200.0       1712    1206     715.254     36.463  -91.443
25254           1 -0.063590 -0.018895  0.105771  -1.312370 -48.401400  2200.0       1903    1206    2172.680     38.760 -148.115
25255           1 -0.000920 -0.000127  0.001395 -21.925800 -18.358400  2200.0       1903    1206    2172.680     38.760 -148.115
25256           1 -0.004621 -0.000641  0.006971 -22.931200 -18.528200  2200.0       1903    1206    2172.680     38.760 -148.115
25257           1 -0.000027  0.000213  0.000466  35.028500  -6.812700  2200.0       1903    1206    2172.680     38.760 -148.115
25259           1 -0.006234 -0.001163  0.009389  -8.975590 -22.153500  2200.0       1903    1206    2172.680     38.760 -148.115
25260           1 -0.005238 -0.000254  0.006347 -27.648800 -12.279400  2200.0       1903    1206    2172.680     38.760 -148.115
25261           1 -0.000306 -0.000044  0.000192 -33.181400 -22.310000  2200.0       1903    1206    2172.680     38.760 -148.115
28692           1 -0.010820 -0.005574  0.022701 -29.194700  -7.505120  2200.0       2130    1206    4854.510     26.274 -152.800
29246           1 -0.004474 -0.002156  0.011359  36.380000 -48.520800  2200.0       2130    1206    4854.510     26.274 -152.800
29252           1 -0.018182 -0.007315  0.040127 -49.701300 -35.544400  2200.0       2130    1206    4854.510     26.274 -152.800
29256           1 -0.018776 -0.005138  0.042337 -42.171900   1.812530  2200.0       2130    1206    4854.510     26.274 -152.800
29261           1 -0.006653 -0.003001  0.018254  24.740000 -16.712200  2200.0       2130    1206    4854.510     26.274 -152.800
29455           1 -0.012576 -0.004120  0.022588  44.961500  29.389800  2200.0       2130    1206    4854.510     26.274 -152.800
29971           1 -0.065845 -0.021312  0.139091 -27.144200 -31.255900  2200.0       2130    1206    4854.510     26.274 -152.800
29981           1 -0.000274 -0.000130  0.000233 -25.658000  20.613200  2200.0       2130    1206    4854.510     26.274 -152.800
30054           1 -0.001468 -0.000573  0.003223 -35.993100  13.782900  2200.0       2130    1206    4854.510     26.274 -152.800
30071           1 -0.000009  0.000065  0.000142  34.435600  -3.514660  2200.0       2130    1206    4854.510     26.274 -152.800
30082           1 -0.001830 -0.001098  0.003207 -47.867400 -13.690800  2200.0       2130    1206    4854.510     26.274 -152.800
30090           1 -0.000050  0.000147  0.000034  39.423100  13.359600  2200.0       2130    1206    4854.510     26.274 -152.800
30100           1 -0.005443 -0.001986  0.012347 -18.034900 -41.127100  2200.0       2130    1206    4854.510     26.274 -152.800
30101           1 -0.013893 -0.004670  0.031493 -18.333800 -28.434100  2200.0       2130    1206    4854.510     26.274 -152.800
30111           1 -0.008620 -0.001434  0.017789  20.573700  26.579100  2200.0       2130    1206    4854.510     26.274 -152.800
30142           1  0.000088  0.000120  0.000802  48.121900 -43.197200  2200.0       2130    1206    4854.510     26.274 -152.800
30147           1 -0.012029 -0.005360  0.027952  14.686600 -42.605400  2200.0       2130    1206    4854.510     26.274 -152.800
30148           1  0.000094  0.000070  0.000227   1.509910 -11.065600  2200.0       2130    1206    4854.510     26.274 -152.800
30149           1 -0.001729 -0.000154  0.003610  -8.556770  -9.885480  2200.0       2130    1206    4854.510     26.274 -152.800
30150           1 -0.000002 -0.000023  0.000124 -33.447500  42.949100  2200.0       2130    1206    4854.510     26.274 -152.800
30152           1 -0.005517 -0.002173  0.013036  18.415300 -16.041300  2200.0       2130    1206    4854.510     26.274 -152.800
30153           1 -0.065806 -0.023338  0.154870  18.187000  -5.138600  2200.0       2130    1206    4854.510     26.274 -152.800
30154           1 -0.005227 -0.001552  0.013054  31.554200  12.292200  2200.0       2130    1206    4854.510     26.274 -152.800
30155           1 -0.028917 -0.008241  0.074072  36.631100  16.061000  2200.0       2130    1206    4854.510     26.274 -152.800
30156           1 -0.012356 -0.002741  0.032350  40.528900  27.889400  2200.0       2130    1206    4854.510     26.274 -152.800
30157           1 -0.000723 -0.000148  0.001920  42.799200  30.980400  2200.0       2130    1206    4854.510     26.274 -152.800
30158           1 -0.002920 -0.000224  0.006958  29.104900  45.258600  2200.0       2130    1206    4854.510     26.274 -152.800
