Tabla para CorsikaId 1:
       CorsikaId            px            py        pz           x           y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
58             1  8.076090e-03 -2.907920e-03  0.018679 -389.299000 -434.377000  2199.97         17     703    101.1510     25.961  -27.306
60             1  7.857660e-03 -4.403990e-03  0.015606 -359.419000 -485.537000  2199.97         17     703    101.1510     25.961  -27.306
61             1  7.068230e-04 -2.101740e-04  0.001471 -367.842000 -440.460000  2199.97         17     703    101.1510     25.961  -27.306
63             1  1.088480e-03 -4.704350e-04  0.001310 -296.284000 -486.003000  2199.97         17     703    101.1510     25.961  -27.306
64             1  2.593340e-05  2.854010e-05  0.000271 -275.293000 -397.736000  2199.98         17     703    101.1510     25.961  -27.306
65             1  2.917320e-04  2.902680e-05  0.000206 -288.115000 -451.500000  2199.98         17     703    101.1510     25.961  -27.306
67             1  9.337780e-02 -3.472580e-02  0.231558 -404.619000 -431.908000  2199.97         17     703    101.1510     25.961  -27.306
68             1  1.609110e-03 -5.570470e-04  0.003841 -392.187000 -428.245000  2199.97         17     703    101.1510     25.961  -27.306
69             1  5.745310e-03 -2.032360e-03  0.014711 -409.296000 -421.410000  2199.97         17     703    101.1510     25.961  -27.306
70             1  2.998890e-04  4.747120e-04  0.000372 -341.863000 -327.207000  2199.98         17     703    101.1510     25.961  -27.306
71             1  3.376790e-03 -1.473520e-03  0.008826 -412.871000 -434.228000  2199.97         17     703    101.1510     25.961  -27.306
72             1  2.973690e-02 -1.213100e-02  0.079617 -416.661000 -429.170000  2199.97         17     703    101.1510     25.961  -27.306
73             1  4.437850e-03 -2.049580e-03  0.011676 -414.690000 -436.198000  2199.97         17     703    101.1510     25.961  -27.306
74             1  2.218950e-03 -1.211050e-03  0.005746 -413.522000 -445.546000  2199.97         17     703    101.1510     25.961  -27.306
75             1  1.071680e-02 -6.386680e-03  0.027836 -413.217000 -449.949000  2199.97         17     703    101.1510     25.961  -27.306
78             1  3.953270e-05 -7.826700e-05  0.000166 -436.382000 -478.568000  2199.97         17     703    101.1510     25.961  -27.306
80             1  1.315760e-02 -2.651770e-02  0.056877 -436.753000 -478.339000  2199.97         17     703    101.1510     25.961  -27.306
89             1 -7.171020e-03 -1.274650e-02  0.017534 -272.288000   35.050900  2199.99         21     703    155.5620     45.236 -113.589
90             1 -4.295260e-03 -7.517260e-03  0.009827 -290.276000    8.942470  2199.99         21     703    155.5620     45.236 -113.589
91             1 -1.007020e-02 -1.941170e-02  0.025733 -254.497000   15.208800  2199.99         21     703    155.5620     45.236 -113.589
92             1 -8.949480e-04 -2.280850e-03  0.003962 -152.538000   91.430700  2200.00         21     703    155.5620     45.236 -113.589
93             1 -8.850440e-04 -7.084590e-05  0.002492 -159.465000   65.008000  2200.00         21     703    155.5620     45.236 -113.589
94             1  2.046190e-04  1.834430e-05  0.000127 -134.664000   46.544300  2200.00         21     703    155.5620     45.236 -113.589
96             1 -1.081940e-01 -2.086390e-01  0.282122 -246.549000   28.476600  2200.00         21     703    155.5620     45.236 -113.589
97             1  8.894320e-05 -2.053850e-03  0.003462 -163.752000   69.234800  2200.00         21     703    155.5620     45.236 -113.589
98             1 -2.667520e-02 -5.289340e-02  0.071946 -230.185000   34.622000  2200.00         21     703    155.5620     45.236 -113.589
99             1 -9.666840e-05 -8.788910e-04  0.000713 -135.380000  -78.015900  2200.00         21     703    155.5620     45.236 -113.589
101            1  1.211040e-04 -9.547310e-07  0.000170 -193.031000  297.285000  2199.99         21     703    155.5620     45.236 -113.589
302            1  8.406430e-04 -1.121910e-05  0.002656 -457.902000   97.236400  2199.98         54     703    515.9390     32.595  -54.564
