Tabla para CorsikaId 1:
      CorsikaId            px            py        pz           x           y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
53            1 -3.201450e-03 -2.518140e-04  0.002281 -728.432000   47.015200  2199.96          5     703     227.939     26.090  169.614
54            1 -1.855880e-02 -6.110180e-04  0.014314 -689.091000   71.872600  2199.96          5     703     227.939     26.090  169.614
55            1  2.658400e-04  5.628980e-04  0.000474  825.780000  896.303000  2199.88          5     703     227.939     26.090  169.614
57            1  2.061490e-03  5.453620e-03  0.007048  816.280000  875.773000  2199.89          5     703     227.939     26.090  169.614
61            1  7.025880e-02  1.557040e-01  0.128211  492.777000  940.630000  2199.91          5     703     227.939     26.090  169.614
127           1  2.320990e-04  6.103360e-05  0.000246   10.752000   -9.135010  2200.00         16     703     142.693     46.495 -159.778
128           1 -5.102730e-04  7.781800e-05  0.000278 -251.683000  153.900000  2199.99         16     703     142.693     46.495 -159.778
129           1 -6.581420e-04  4.765380e-04  0.001840  188.060000   17.487000  2200.00         16     703     142.693     46.495 -159.778
250           1  7.164980e-04  6.473800e-04  0.001133   91.682500 -949.560000  2199.93         44    1206     243.104      5.162 -124.563
254           1  9.983560e-05  3.673960e-04  0.000418  -11.525100 -949.356000  2199.93         44    1206     243.104      5.162 -124.563
469           1  1.345720e-04  4.653640e-05  0.000051  912.402000 -989.303000  2199.86         59    1206     414.607     52.458 -148.318
470           1 -2.632090e-03 -3.378010e-04  0.003682  867.101000 -907.183000  2199.88         59    1206     414.607     52.458 -148.318
473           1 -4.659200e-03 -4.741740e-04  0.013594  232.211000  918.185000  2199.93         59    1206     414.607     52.458 -148.318
474           1 -1.210670e-04  5.488670e-04  0.001523  175.555000  903.466000  2199.93         59    1206     414.607     52.458 -148.318
475           1 -3.123770e-02 -9.373100e-03  0.042021  146.866000  885.980000  2199.94         59    1206     414.607     52.458 -148.318
476           1 -8.439350e-03 -1.485900e-03  0.010391  135.368000  899.366000  2199.94         59    1206     414.607     52.458 -148.318
477           1 -1.871940e-03 -2.010850e-04  0.002386  139.659000  907.313000  2199.93         59    1206     414.607     52.458 -148.318
478           1 -7.715290e-04 -2.144120e-04  0.000825  124.722000  890.305000  2199.94         59    1206     414.607     52.458 -148.318
479           1 -4.081440e-03 -9.785000e-04  0.004640  127.803000  893.936000  2199.94         59    1206     414.607     52.458 -148.318
480           1 -7.078190e-05  1.704910e-04  0.000151  169.215000  977.102000  2199.92         59    1206     414.607     52.458 -148.318
