CorsikaId px py pz x y z shower_id prm_id prm_energy prm_theta prm_phi
0013 -2.59786e-01 -4.25836e-03 +7.14344e-01 -1.59107e+03 -2.13517e+03 +2.19944e+03 00000001 0703 +5.76504e+01 +28.579 -051.091
0013 +9.42544e-02 +2.11168e-01 +5.38022e-01 -1.15385e+04 -8.15693e+02 +2.18950e+03 00000002 0703 +1.56256e+02 +53.417 +031.631
0001 +5.40495e-04 +1.41742e-03 +2.82683e-03 +2.51088e+03 +5.72658e+03 +2.19693e+03 00000002 0703 +1.56256e+02 +53.417 +031.631
0013 -1.29606e-01 -2.35000e-01 +3.21382e-01 -3.28970e+03 -1.25992e+04 +2.18670e+03 00000003 0703 +1.88026e+01 +24.172 +059.824
0005 -4.40761e-02 +8.62571e-02 +1.92045e-01 -8.72633e+03 -1.46160e+04 +2.17727e+03 00000004 0703 +1.10692e+02 +55.796 +080.050
0006 +1.94762e-02 -2.29686e-01 +1.14002e+00 -3.92386e+02 +5.92271e+02 +2.19996e+03 00000005 0703 +1.02215e+02 +21.951 -084.022
0001 +1.08785e-02 -3.62447e-03 +2.39208e-02 +2.76212e+03 -7.82286e+02 +2.19935e+03 00000005 0703 +1.02215e+02 +21.951 -084.022
0006 +1.13412e-01 -1.99572e-01 +4.43405e-01 +1.66187e+03 -1.57039e+03 +2.19959e+03 00000005 0703 +1.02215e+02 +21.951 -084.022
0006 +1.04580e+00 -2.11947e-01 +3.02856e+00 -4.98835e+02 -1.74200e+03 +2.19974e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0001 -1.74592e-03 +1.32266e-03 +3.91138e-03 -6.78037e+02 -1.94341e+03 +2.19967e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0001 +1.29143e-06 -1.35741e-03 +4.69096e-03 -3.04974e+02 -2.46481e+03 +2.19952e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0001 +3.47923e-04 -1.18943e-03 +1.97247e-02 -3.81712e+01 -2.71246e+03 +2.19942e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0001 +5.60091e-03 -3.55960e-02 +1.33378e-01 -2.04761e+01 -2.84689e+03 +2.19936e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0013 +2.57961e-01 -1.24519e-01 +4.33447e-01 +1.31462e+03 -2.87523e+03 +2.19922e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0014 +1.03257e-01 -3.35034e-01 +6.08546e-01 +1.11990e+03 -2.99389e+03 +2.19920e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0001 +1.12297e-04 +1.59557e-04 +1.17782e-03 +1.76590e+03 -2.40829e+03 +2.19930e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0003 +1.38724e-02 +6.77586e-03 +1.34251e-02 +1.81383e+03 -2.38732e+03 +2.19929e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0001 +7.86068e-04 +1.09839e-03 +1.27364e-03 +1.52624e+03 -2.36872e+03 +2.19938e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0001 -2.76512e-04 -1.94198e-04 +5.12880e-04 +1.25559e+03 -2.59899e+03 +2.19935e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0001 +5.62997e-05 -2.89284e-06 +3.88649e-05 +1.65759e+03 -2.75237e+03 +2.19919e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0003 +1.37517e-02 +6.27471e-03 +9.27815e-03 +1.65501e+03 -2.74058e+03 +2.19920e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0001 +7.62525e-03 -2.33218e-04 +5.68717e-03 +1.66091e+03 -2.75809e+03 +2.19919e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
0001 +4.72123e-03 +7.39756e-04 +4.98121e-03 +1.64072e+03 -2.72254e+03 +2.19921e+03 00000006 0703 +1.29137e+02 +23.259 -011.323
