Tabla para CorsikaId 1:
       CorsikaId            px            py        pz           x           y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
64             1  8.647020e-04  6.064620e-04  0.001120  -63.976500 -190.827000  2200.00          6     703    261.4070     43.640    8.078
65             1  8.586520e-05 -4.680700e-06  0.000088  194.414000 -460.063000  2199.98          6     703    261.4070     43.640    8.078
66             1  2.758110e-04 -3.108500e-04  0.000583  168.868000 -473.767000  2199.98          6     703    261.4070     43.640    8.078
140            1  5.691270e-03  1.083640e-03  0.004183 -130.014000  178.369000  2200.00         22     703    678.3480     46.919    5.288
151            1  4.302810e-03  4.281490e-04  0.002748 -458.405000   48.761600  2199.98         22     703    678.3480     46.919    5.288
165            1  9.979370e-06 -8.193120e-07  0.000090 -121.387000   79.712700  2200.00         22     703    678.3480     46.919    5.288
166            1  2.149700e-03  1.642550e-03  0.002346  220.468000   68.032900  2200.00         22     703    678.3480     46.919    5.288
167            1  4.579640e-03  1.261250e-04  0.006297  185.434000  -59.340000  2200.00         22     703    678.3480     46.919    5.288
168            1  1.393460e-03  2.770600e-04  0.003382  137.359000  -47.810200  2200.00         22     703    678.3480     46.919    5.288
169            1  9.216410e-05  4.922780e-05  0.001472  113.040000  -66.276900  2200.00         22     703    678.3480     46.919    5.288
171            1  4.414820e-04  1.324250e-05  0.000436  293.787000  -35.437700  2199.99         22     703    678.3480     46.919    5.288
172            1 -2.291540e-04 -1.299960e-04  0.000582  186.358000  -56.012800  2200.00         22     703    678.3480     46.919    5.288
173            1 -1.633140e-04  3.266790e-04  0.000693  229.748000  -12.089700  2200.00         22     703    678.3480     46.919    5.288
174            1  1.267760e-03  7.913970e-05  0.001187  297.797000  -33.287200  2199.99         22     703    678.3480     46.919    5.288
176            1  1.618490e-02  1.900120e-03  0.013129  344.020000   -9.893930  2199.99         22     703    678.3480     46.919    5.288
177            1  4.844650e-02  6.034640e-03  0.042858  309.510000  -14.099200  2199.99         22     703    678.3480     46.919    5.288
178            1  1.938220e-02  1.710440e-03  0.017568  298.308000  -26.528600  2199.99         22     703    678.3480     46.919    5.288
179            1  7.492270e-03  6.237040e-04  0.006857  293.808000  -29.388800  2199.99         22     703    678.3480     46.919    5.288
180            1  4.176660e-02  3.363620e-03  0.037827  298.432000  -30.210300  2199.99         22     703    678.3480     46.919    5.288
