Tabla para CorsikaId 1:
      CorsikaId            px            py        pz           x           y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
176           1  7.057770e-03  4.896350e-03  0.013026  -45.451600   48.573500  2200.00         33     703    135.9130     28.809    4.943
261           1 -3.392990e-04 -7.049130e-04  0.000974  427.830000  -28.240700  2199.99         37     703    216.9610     51.815  -34.608
262           1  1.220150e-04  2.157720e-04  0.000259  485.305000 -113.039000  2199.98         37     703    216.9610     51.815  -34.608
267           1  1.332990e-03 -9.848490e-04  0.001812  494.690000  -76.768200  2199.98         37     703    216.9610     51.815  -34.608
268           1  4.818480e-05  2.764180e-04  0.000370  308.555000  171.857000  2199.99         37     703    216.9610     51.815  -34.608
292           1  9.832170e-03  1.724060e-03  0.010134 -444.342000 -492.648000  2199.97         40     703     80.9389     33.912    3.055
296           1  8.268430e-04  1.225500e-03  0.001150 -299.656000 -298.008000  2199.99         40     703     80.9389     33.912    3.055
342           1 -4.604190e-03  2.094440e-04  0.011165 -189.470000 -237.367000  2199.99         48    1206    445.1830     33.362  -73.563
349           1  6.291630e-04 -3.739220e-03  0.008066 -388.438000 -196.426000  2199.99         48    1206    445.1830     33.362  -73.563
473           1 -4.760750e-05  1.612870e-04  0.000333 -111.559000 -239.779000  2199.99         56    1206    392.2720     21.643  -59.552
474           1  1.936250e-03 -8.593840e-04  0.007184  341.960000  130.111000  2199.99         56    1206    392.2720     21.643  -59.552
475           1 -1.282140e-03 -3.271510e-04  0.003772 -172.799000  115.610000  2200.00         56    1206    392.2720     21.643  -59.552
476           1  1.073360e-02 -1.247720e-02  0.042851  358.390000  -54.812900  2199.99         56    1206    392.2720     21.643  -59.552
478           1  5.891570e-03 -7.477080e-03  0.027815  288.645000    9.993730  2199.99         56    1206    392.2720     21.643  -59.552
479           1  5.603180e-03 -3.543160e-03  0.019758  465.022000  231.413000  2199.98         56    1206    392.2720     21.643  -59.552
483           1  7.841800e-04  1.080500e-03  0.004796 -115.247000   35.370900  2200.00         56    1206    392.2720     21.643  -59.552
604           1  1.219660e-04 -2.319760e-04  0.000467 -424.904000    2.140460  2199.99         68    1206    244.1390     15.822  -77.604
605           1  5.743850e-04 -8.348340e-03  0.028203 -474.120000   35.861100  2199.98         68    1206    244.1390     15.822  -77.604
606           1 -6.141320e-06 -2.310300e-05  0.000047 -484.452000   24.162900  2199.98         68    1206    244.1390     15.822  -77.604
608           1  1.896880e-03 -2.325190e-03  0.010017 -386.554000   33.059000  2199.99         68    1206    244.1390     15.822  -77.604
932           1 -6.664800e-04  8.252110e-05  0.003174 -353.152000  -67.394600  2199.99        104    1206   5751.8600     58.591   12.181
933           1 -4.933750e-05  1.801910e-04  0.000229 -353.354000  -39.301200  2199.99        104    1206   5751.8600     58.591   12.181
954           1  2.583310e-03 -8.008140e-04  0.001143 -423.305000 -309.487000  2199.98        104    1206   5751.8600     58.591   12.181
956           1  5.641250e-04  1.758690e-04  0.000560 -478.412000 -112.741000  2199.98        104    1206   5751.8600     58.591   12.181
1037          1  2.747840e-03  1.410310e-03  0.001851 -224.921000  479.468000  2199.98        104    1206   5751.8600     58.591   12.181
1039          1  6.981120e-04  1.969090e-04  0.000470 -430.679000  283.997000  2199.98        104    1206   5751.8600     58.591   12.181
1040          1  4.338340e-03  1.091420e-03  0.002959 -435.072000  272.465000  2199.98        104    1206   5751.8600     58.591   12.181
1042          1  4.855310e-04  1.955200e-04  0.000366 -459.444000  301.336000  2199.98        104    1206   5751.8600     58.591   12.181
1043          1  2.723870e-04 -7.333170e-05  0.000320 -471.025000  272.523000  2199.98        104    1206   5751.8600     58.591   12.181
1044          1  1.679360e-03  7.912250e-04  0.001206 -448.246000  315.797000  2199.98        104    1206   5751.8600     58.591   12.181
1046          1  3.962060e-04  1.897710e-04  0.000250 -429.845000  325.468000  2199.98        104    1206   5751.8600     58.591   12.181
1047          1  1.238840e-04  6.758750e-05  0.000105 -459.940000  318.745000  2199.98        104    1206   5751.8600     58.591   12.181
1048          1  2.583600e-04  1.274310e-04  0.000166 -450.397000  329.658000  2199.98        104    1206   5751.8600     58.591   12.181
1049          1  1.162420e-03  1.577870e-03  0.001501 -461.841000  333.353000  2199.97        104    1206   5751.8600     58.591   12.181
1052          1  1.582860e-02  3.908440e-03  0.010156 -411.991000  274.278000  2199.98        104    1206   5751.8600     58.591   12.181
1054          1  3.729200e-04  4.939680e-04  0.001701 -396.074000  100.863000  2199.99        104    1206   5751.8600     58.591   12.181
1057          1  1.209430e-04 -1.014550e-04  0.000328 -185.690000  191.941000  2199.99        104    1206   5751.8600     58.591   12.181
1059          1  9.397840e-03  2.394970e-03  0.005693 -333.169000  306.171000  2199.98        104    1206   5751.8600     58.591   12.181
1060          1  5.309260e-03  9.360250e-04  0.003360 -372.338000  232.712000  2199.98        104    1206   5751.8600     58.591   12.181
1061          1  1.042540e-02  2.878120e-03  0.005935 -302.380000  319.582000  2199.98        104    1206   5751.8600     58.591   12.181
1063          1  2.551130e-02  5.940660e-03  0.015298 -322.082000  276.178000  2199.99        104    1206   5751.8600     58.591   12.181
1068          1  3.479880e-02  9.430410e-03  0.023092 -460.149000  293.979000  2199.98        104    1206   5751.8600     58.591   12.181
1071          1  4.357550e-03  1.103130e-03  0.002763 -421.501000  295.272000  2199.98        104    1206   5751.8600     58.591   12.181
1072          1  1.592900e-02  4.414470e-03  0.007629 -162.310000  370.170000  2199.99        104    1206   5751.8600     58.591   12.181
