Tabla para CorsikaId 1:
      CorsikaId        px        py        pz           x         y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
125           1  0.001394  0.000137  0.000459 -135.830000  184.5410  2200.00         22     703     4484.61     70.274    5.409
126           1  0.000146 -0.000176  0.000144 -105.904000  121.2340  2200.00         22     703     4484.61     70.274    5.409
127           1  0.013091 -0.002072  0.003526  -76.529400  133.0320  2200.00         22     703     4484.61     70.274    5.409
206           1  0.000209  0.000317  0.000230 -104.369000 -116.7080  2200.00         22     703     4484.61     70.274    5.409
1197          1  0.035110  0.004792  0.009880   32.675000  238.1420  2200.00        174    1608     4854.12     73.596    7.280
1198          1  0.002988  0.000380  0.001700   39.391400  230.9970  2200.00        174    1608     4854.12     73.596    7.280
1199          1  0.000478 -0.000096  0.000263  -70.223800   50.6975  2200.00        174    1608     4854.12     73.596    7.280
1200          1 -0.000020  0.000077  0.000179   40.301400  248.1710  2200.00        174    1608     4854.12     73.596    7.280
1202          1  0.000104 -0.000134  0.000119 -307.204000   42.1119  2199.99        174    1608     4854.12     73.596    7.280
1203          1 -0.000009  0.000142  0.000155 -209.842000  170.7290  2199.99        174    1608     4854.12     73.596    7.280
1204          1 -0.000244 -0.000198  0.000187 -229.609000   24.1810  2200.00        174    1608     4854.12     73.596    7.280
1205          1  0.020772  0.002630  0.005738   40.022600  233.5750  2200.00        174    1608     4854.12     73.596    7.280
1206          1  0.000044  0.000338  0.000266 -235.513000  334.2240  2199.99        174    1608     4854.12     73.596    7.280
1207          1  0.000956  0.001045  0.000874 -111.163000  276.7890  2199.99        174    1608     4854.12     73.596    7.280
1208          1  0.119259  0.014511  0.032854   40.793700  231.6220  2200.00        174    1608     4854.12     73.596    7.280
1209          1  0.003277  0.000841  0.001072   17.698600  249.0620  2200.00        174    1608     4854.12     73.596    7.280
1210          1  0.002580 -0.001373  0.000648   61.321700  130.8620  2200.00        174    1608     4854.12     73.596    7.280
1211          1  0.039748  0.002376  0.009012   78.475800  226.3180  2200.00        174    1608     4854.12     73.596    7.280
1212          1  0.019886  0.001907  0.005506   40.759000  224.7980  2200.00        174    1608     4854.12     73.596    7.280
1213          1  0.020064  0.001811  0.005536   41.706700  223.4020  2200.00        174    1608     4854.12     73.596    7.280
1214          1  0.002775 -0.001223  0.000707   45.774300  208.9700  2200.00        174    1608     4854.12     73.596    7.280
