Tabla para CorsikaId 1:
      CorsikaId        px            py        pz           x         y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
870           1 -0.066644 -5.024500e-03  0.019947   47.263200 -238.6110  2200.00         80    1206     7257.66     73.519 -175.895
873           1  0.000051 -4.270210e-06  0.000081  279.472000 -140.0220  2199.99         80    1206     7257.66     73.519 -175.895
875           1  0.000033 -1.099390e-04  0.000213  435.578000 -259.7940  2199.98         80    1206     7257.66     73.519 -175.895
876           1 -0.001273 -3.584860e-04  0.001674  334.028000 -227.0290  2199.99         80    1206     7257.66     73.519 -175.895
877           1 -0.001190 -4.235490e-04  0.000620  172.423000 -274.2020  2199.99         80    1206     7257.66     73.519 -175.895
878           1 -0.168520 -1.195920e-02  0.053553   77.581400 -226.0310  2200.00         80    1206     7257.66     73.519 -175.895
879           1 -0.040520 -2.630650e-03  0.013064   79.516700 -225.0630  2200.00         80    1206     7257.66     73.519 -175.895
880           1 -0.000062 -5.676550e-05  0.000019   75.934100 -249.2320  2199.99         80    1206     7257.66     73.519 -175.895
881           1  0.000268 -3.728800e-05  0.000045  276.946000 -327.7370  2199.99         80    1206     7257.66     73.519 -175.895
882           1 -0.018033 -1.127730e-03  0.005681   76.837400 -225.2560  2200.00         80    1206     7257.66     73.519 -175.895
883           1 -0.000158 -1.141030e-05  0.000051   78.116700 -225.5230  2200.00         80    1206     7257.66     73.519 -175.895
885           1 -0.001298 -4.789410e-05  0.000348   46.492900 -222.3890  2200.00         80    1206     7257.66     73.519 -175.895
886           1 -0.001326 -5.361510e-05  0.000451   77.007900 -221.2150  2200.00         80    1206     7257.66     73.519 -175.895
888           1 -0.013004  1.855580e-03  0.002995   37.062800 -217.7500  2200.00         80    1206     7257.66     73.519 -175.895
889           1 -0.006940 -1.537360e-03  0.002222   53.166500 -234.7970  2200.00         80    1206     7257.66     73.519 -175.895
890           1 -0.034380 -2.428220e-03  0.010218   49.268400 -232.6280  2200.00         80    1206     7257.66     73.519 -175.895
891           1 -0.000102 -7.541170e-05  0.000290  295.122000 -269.2540  2199.99         80    1206     7257.66     73.519 -175.895
892           1 -0.003819 -2.798810e-04  0.001126   43.775100 -234.7400  2200.00         80    1206     7257.66     73.519 -175.895
893           1 -0.002490 -1.877410e-04  0.000735   44.858800 -235.9030  2200.00         80    1206     7257.66     73.519 -175.895
894           1 -0.010858  4.328100e-04  0.005195  229.459000 -186.0570  2199.99         80    1206     7257.66     73.519 -175.895
895           1 -0.000036  5.017000e-05  0.000079  390.807000 -122.0300  2199.99         80    1206     7257.66     73.519 -175.895
896           1 -0.000181  5.479410e-05  0.000252  377.734000 -182.0470  2199.99         80    1206     7257.66     73.519 -175.895
897           1 -0.011408 -8.451680e-04  0.003199   13.707800 -237.6790  2200.00         80    1206     7257.66     73.519 -175.895
898           1 -0.058241 -4.191980e-03  0.016545   20.797100 -236.0040  2200.00         80    1206     7257.66     73.519 -175.895
899           1 -0.004072 -3.069940e-04  0.001145   15.732100 -238.7010  2200.00         80    1206     7257.66     73.519 -175.895
900           1 -0.041931 -3.142940e-03  0.012220   30.906900 -237.4380  2200.00         80    1206     7257.66     73.519 -175.895
