CorsikaId px py pz x y z shower_id prm_id prm_energy prm_theta prm_phi
0006 -1.30649e+01 -1.05009e+01 +3.79700e+00 +1.06001e+03 +3.30617e+02 +2.19990e+03 00000001 0703 +1.10510e+03 +78.751 -140.072
0006 -3.53213e+00 -2.66882e+00 +9.86904e-01 -3.20282e+03 -2.77850e+03 +2.19859e+03 00000001 0703 +1.10510e+03 +78.751 -140.072
0005 -1.03465e+01 -8.63259e+00 +2.06687e+00 -1.40949e+04 -1.24725e+04 +2.17221e+03 00000001 0703 +1.10510e+03 +78.751 -140.072
0001 +8.71057e-03 +2.16943e-02 +6.16063e-03 -3.00503e+04 -4.66172e+04 +1.95867e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +6.26343e-05 -6.21957e-05 +1.50105e-04 -3.05562e+04 -4.82570e+04 +1.94406e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +1.44037e-02 +2.24732e-02 +5.66834e-03 -2.97590e+04 -4.66363e+04 +1.95990e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +1.98759e-02 +5.40529e-02 +2.10530e-02 -3.01248e+04 -4.69200e+04 +1.95610e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +1.71041e-03 +1.17313e-03 +1.18982e-03 -2.99974e+04 -4.70944e+04 +1.95541e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +4.80322e-05 +5.15667e-04 +7.17390e-04 -3.02191e+04 -4.73462e+04 +1.95250e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +7.53351e-03 +9.40699e-03 +4.82678e-03 -2.98512e+04 -4.71267e+04 +1.95586e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +2.06260e-05 +6.18280e-05 +8.63716e-05 -3.02424e+04 -4.75523e+04 +1.95085e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +7.39352e-03 +1.77345e-02 +6.24524e-03 -2.99891e+04 -4.67228e+04 +1.95818e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +5.95758e-03 +1.35856e-02 +4.81727e-03 -2.99764e+04 -4.67275e+04 +1.95821e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 -4.93372e-06 +7.57809e-05 +7.01800e-05 -3.00995e+04 -4.71256e+04 +1.95470e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +1.02297e-02 +1.52683e-02 +9.01876e-03 -2.99944e+04 -4.69767e+04 +1.95629e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0001 +1.68187e-02 +4.96407e-03 +2.60937e-02 -4.15122e+04 -9.86148e+04 +1.30183e+03 00000002 0703 +3.24707e+02 +79.890 +063.514
0005 -1.38109e+01 +1.64073e+01 +4.37669e+00 +2.63149e+04 -3.41349e+04 +2.05426e+03 00000003 0703 +5.38207e+02 +81.050 +129.653
0013 -1.92024e-01 +5.00899e-02 +5.33384e-01 -6.26486e+04 -1.55642e+05 -8.68380e+00 00000004 0703 +1.77656e+01 +73.730 +068.879
0001 -5.77510e-03 -1.71748e-03 +9.42591e-03 +4.10143e+04 -1.31090e+04 +2.05455e+03 00000005 0703 +6.85631e+01 +71.509 +174.191
0003 -3.84870e-04 -6.36815e-04 +5.99849e-04 -2.89382e+03 -2.13077e+04 +2.16373e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -1.73346e-04 -7.70425e-05 +2.24563e-04 -1.89678e+03 -2.26871e+04 +2.15934e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -3.01167e-04 -8.96213e-04 +2.24289e-03 -2.27828e+03 -2.19143e+04 +2.16192e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -3.90352e-07 -1.47583e-04 +3.14545e-04 -2.16889e+03 -2.16771e+04 +2.16277e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 +3.55436e-04 -1.23913e-05 +3.22117e-04 -2.04559e+03 -2.17128e+04 +2.16269e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -2.46893e-04 -2.22974e-04 +3.09675e-04 -2.48918e+03 -2.21359e+04 +2.16107e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -1.40992e-02 +4.57664e-02 +2.01481e-02 -2.41655e+03 -2.12400e+04 +2.16415e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -1.02000e-02 +2.27060e-02 +1.23339e-02 -2.55039e+03 -2.17414e+04 +2.16241e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -1.52743e-03 +4.73250e-03 +1.63603e-03 -2.61202e+03 -2.07339e+04 +2.16574e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -8.97879e-04 +7.85414e-03 +4.57034e-03 -2.10617e+03 -2.15139e+04 +2.16334e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -7.00670e-04 +4.71733e-03 +2.07986e-03 -2.21581e+03 -2.11569e+04 +2.16450e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -2.80844e-03 +1.74043e-03 +1.00245e-03 -2.59992e+03 -2.07177e+04 +2.16580e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -5.20535e-03 +5.77923e-03 +2.09839e-03 -2.58716e+03 -2.06773e+04 +2.16593e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -2.71973e-05 +1.33116e-04 +6.29601e-04 -1.90427e+03 -2.23155e+04 +2.16065e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -8.54027e-04 +1.97174e-04 +6.26262e-04 -2.44094e+03 -2.20254e+04 +2.16148e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0001 -1.05892e-03 +6.79442e-03 +6.58280e-03 -2.13632e+03 -2.18718e+04 +2.16211e+03 00000006 0703 +2.91295e+02 +73.310 +102.322
0013 -8.71093e-02 -2.38115e-01 +3.60443e-01 +4.12571e+04 -2.29154e+05 -2.05447e+03 00000007 0703 +1.27043e+01 +76.362 +107.523
0001 -3.51799e-04 +1.30022e-03 +1.47378e-03 +3.64357e+04 -5.25861e+04 +1.87891e+03 00000008 0703 +7.91462e+01 +74.004 +132.297
0001 -1.02143e-04 -5.58261e-05 +2.88467e-04 +3.63884e+04 -5.29626e+04 +1.87606e+03 00000008 0703 +7.91462e+01 +74.004 +132.297
0001 +1.74635e-02 +6.88145e-03 +2.76824e-02 +4.04826e+04 +9.84699e+03 +2.06383e+03 00000009 0703 +1.71302e+02 +75.403 -144.923
0013 -8.14539e-02 -8.83832e-02 +3.91303e-01 +3.94846e+04 +9.26964e+03 +2.07095e+03 00000009 0703 +1.71302e+02 +75.403 -144.923
0006 -3.14488e+00 -1.37377e+00 +1.38728e+00 +6.58165e+03 -6.14793e+02 +2.19657e+03 00000010 0703 +5.73859e+02 +72.421 -156.957
0005 -9.15051e+00 -3.17801e+00 +2.62571e+00 -1.01728e+04 -2.59329e+02 +2.19188e+03 00000010 0703 +5.73859e+02 +72.421 -156.957
0005 -2.62120e+00 -1.32948e+00 +1.05671e+00 +7.05331e+03 +2.46699e+03 +2.19562e+03 00000010 0703 +5.73859e+02 +72.421 -156.957
0005 -1.58917e+01 -7.18155e+00 +4.98423e+00 -7.40108e+03 -4.64134e+03 +2.19401e+03 00000010 0703 +5.73859e+02 +72.421 -156.957
0005 +8.62786e-01 +1.77339e+00 +1.06639e+00 -8.45833e+03 -3.29867e+04 +2.10902e+03 00000011 0703 +1.68297e+02 +70.017 +070.276
0005 -5.94659e+00 +2.46998e+01 +5.70936e+00 +6.78382e+03 -4.52199e+04 +2.03597e+03 00000012 0703 +4.84076e+02 +80.500 +102.544
0005 -2.60344e+00 +1.16198e+01 +2.92400e+00 +1.09151e+04 -5.25697e+04 +1.97385e+03 00000012 0703 +4.84076e+02 +80.500 +102.544
