Tabla para CorsikaId 1:
       CorsikaId        px        py        pz          x          y       z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
13229          1  0.000432 -0.001024  0.001687  10.809000 -10.771900  2200.0       1440     703     1970.84     75.874  -62.833
27852          1  0.007425  0.003457  0.006868   4.582110 -12.935600  2200.0       3328    1608     4840.58     75.201   57.402
27867          1  0.005496  0.004266  0.002817   9.458500  -4.727100  2200.0       3328    1608     4840.58     75.201   57.402
37498          1  0.000074  0.000015  0.000018 -34.367100  -0.742836  2200.0       4442    1608     8186.40     75.295    5.121
37507          1  0.015251  0.001445  0.003469  43.175500 -22.039100  2200.0       4442    1608     8186.40     75.295    5.121
37508          1  0.004353  0.000747  0.001070  14.481100  -2.180540  2200.0       4442    1608     8186.40     75.295    5.121
37509          1  0.117017  0.011022  0.027271  35.058700 -22.908600  2200.0       4442    1608     8186.40     75.295    5.121
37590          1  0.000158  0.000010  0.000009  -0.460628 -48.539500  2200.0       4442    1608     8186.40     75.295    5.121
37749          1  0.023379  0.001754  0.005717   7.457900 -43.602300  2200.0       4442    1608     8186.40     75.295    5.121
37764          1  0.016199  0.001671  0.003546  49.261600 -25.480000  2200.0       4442    1608     8186.40     75.295    5.121
37775          1  0.001595  0.000298  0.000396 -10.306600  47.107000  2200.0       4442    1608     8186.40     75.295    5.121
37778          1  0.000110 -0.000150  0.000040  15.787000 -12.351000  2200.0       4442    1608     8186.40     75.295    5.121
37815          1  0.034114  0.003746  0.008327 -29.549600  -5.476310  2200.0       4442    1608     8186.40     75.295    5.121
37843          1  0.013616  0.001901  0.004008 -13.735600  40.177000  2200.0       4442    1608     8186.40     75.295    5.121
37846          1 -0.000035  0.000029  0.000065  -2.729330 -39.453900  2200.0       4442    1608     8186.40     75.295    5.121
37911          1  0.035096  0.003254  0.009181 -27.720700 -25.617500  2200.0       4442    1608     8186.40     75.295    5.121
37986          1  0.002144  0.000208  0.000509  39.874600 -11.856500  2200.0       4442    1608     8186.40     75.295    5.121
37987          1  0.010378  0.000969  0.002500  24.755200 -17.762100  2200.0       4442    1608     8186.40     75.295    5.121
37989          1  0.022498 -0.000397  0.006180  20.283500 -29.222500  2200.0       4442    1608     8186.40     75.295    5.121
37990          1  0.008573  0.000842  0.002022  42.536700 -11.398900  2200.0       4442    1608     8186.40     75.295    5.121
37998          1  0.010250  0.001322  0.003789  49.429000 -10.301300  2200.0       4442    1608     8186.40     75.295    5.121
37999          1  0.001403  0.000053  0.001301  23.212300 -15.650100  2200.0       4442    1608     8186.40     75.295    5.121
38001          1  0.015114  0.001291  0.005914  46.516900 -12.921600  2200.0       4442    1608     8186.40     75.295    5.121
38010          1  0.002332  0.000749  0.001166  10.464000   0.658532  2200.0       4442    1608     8186.40     75.295    5.121
38060          1  0.000800  0.000778  0.000916   4.706070  -8.483090  2200.0       4442    1608     8186.40     75.295    5.121
38116          1  0.003139  0.000605  0.000927 -48.812300   3.954320  2200.0       4442    1608     8186.40     75.295    5.121
38138          1  0.000433  0.000592  0.000421  40.230300  -5.447700  2200.0       4442    1608     8186.40     75.295    5.121
49704          1  0.001608 -0.000778  0.000727 -37.766200 -36.656700  2200.0       5870    1608     3622.88     77.831  -21.191
49772          1  0.000153 -0.000251  0.000223 -24.503300  12.590700  2200.0       5870    1608     3622.88     77.831  -21.191
49829          1  0.003653 -0.002766  0.002263 -45.586200 -23.360000  2200.0       5870    1608     3622.88     77.831  -21.191
49873          1  0.002229 -0.001285  0.001985  16.794300  36.368400  2200.0       5870    1608     3622.88     77.831  -21.191
49937          1  0.000066 -0.000130  0.000138  -8.172920  31.275900  2200.0       5870    1608     3622.88     77.831  -21.191
49938          1  0.000015 -0.000093  0.000121 -35.976300  35.790600  2200.0       5870    1608     3622.88     77.831  -21.191
70413          1 -0.002897  0.002064  0.001420  18.710400  -5.156160  2200.0       8669    1608     3980.91     76.771  144.953
84456          1 -0.015564 -0.014339  0.012655  41.211400 -22.008300  2200.0      10391    1608     9556.20     76.516  -94.177

Tabla para CorsikaId 2:
       CorsikaId        px        py        pz        x        y       z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
38000          2  0.001366  0.001719  0.001962  23.3661 -12.7806  2200.0       4442    1608      8186.4     75.295    5.121

Tabla para CorsikaId 3:
       CorsikaId        px        py        pz        x        y       z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
37591          3  0.045858  0.001682  0.007965 -27.4842 -49.5844  2200.0       4442    1608      8186.4     75.295    5.121

Tabla para CorsikaId 5:
       CorsikaId       px        py       pz        x        y       z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
8839           5  -5.7246   5.72861  2.50145  40.9676 -31.7582  2200.0       1020     703     4782.23     74.466  134.402
21942          5  13.6590  14.42500  6.22235  15.1186 -16.0652  2200.0       2588    1206     4238.95     72.606   46.898

Tabla para CorsikaId 6:
        CorsikaId        px        py        pz        x        y       z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
14007           6  37.45470 -26.48430  11.37510 -48.5351 -30.6591  2200.0       1552     703     5881.12     76.531  -34.988
32614           6  39.31240  19.06530  14.25280 -25.9217 -18.1631  2200.0       3847    1608     3052.02     71.762   25.910
73798           6 -17.94530  -4.19201   5.05067  17.8333  27.7104  2200.0       9043    1608     5204.82     75.248 -166.192
103428          6   7.50908  21.67680   3.16743  38.1499  20.1659  2200.0      12563    2412     4342.72     80.402   71.611

