Tabla para CorsikaId 2:
       CorsikaId        px            py        pz            x            y          z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
63             2  0.017109  7.520510e-03  0.010289    1633.3400    1900.2600   2199.510         23     703    990.6310     73.252   28.560
94             2 -0.000951 -2.391830e-03  0.003062  108055.0000 -408836.0000 -11844.100         31     703     20.5427     83.460  109.230
100            2 -0.003895 -2.192550e-03  0.010444  108058.0000 -408808.0000 -11842.300         31     703     20.5427     83.460  109.230
130            2 -0.034457 -1.621990e-01  0.053971    -943.5640   -8219.8100   2194.630         43     703    745.8340     72.614 -108.155
246            2 -0.001494  1.225000e-03  0.002852   14551.8000  -41881.3000   2045.780         72     703    240.2950     76.822  115.068
292            2 -0.001660  3.084730e-03  0.001812    5657.5700  -13843.7000   2182.450         73     703   1493.5100     81.854  113.344
310            2  0.004373 -1.147760e-03  0.004602    -202.8390     469.6630   2199.980         74     703    979.8540     80.536   -3.074
359            2  0.002823  2.297630e-03  0.001944     647.8760     411.2190   2199.950         74     703    979.8540     80.536   -3.074
370            2  0.048835 -1.704010e-03  0.019158     610.2870     410.5600   2199.960         74     703    979.8540     80.536   -3.074
477            2 -0.001964  1.211280e-03  0.001662     299.1000     -64.8814   2199.990         93     703    904.4600     71.454 -178.830
478            2 -0.015427 -3.451200e-04  0.005396     300.3840     -70.7051   2199.990         93     703    904.4600     71.454 -178.830
491            2 -0.047124 -4.394240e-03  0.015035     283.5690     -71.3762   2199.990         93     703    904.4600     71.454 -178.830
496            2 -0.120610 -2.829390e-03  0.040889     303.2070     -71.5636   2199.990         93     703    904.4600     71.454 -178.830
513            2 -0.074760 -1.011230e-02  0.034111     439.2920     -95.5608   2199.980         93     703    904.4600     71.454 -178.830
517            2 -0.902369 -2.085390e-02  0.320948     306.3480     -70.5997   2199.990         93     703    904.4600     71.454 -178.830
531            2 -0.438856 -4.859180e-03  0.145001     293.6370     -70.5900   2199.990         93     703    904.4600     71.454 -178.830
547            2 -0.116978 -6.145540e-03  0.037115     302.5830     -81.4510   2199.990         93     703    904.4600     71.454 -178.830
556            2 -0.024932  5.067970e-03  0.005981     281.5960     -73.6822   2199.990         93     703    904.4600     71.454 -178.830
563            2 -0.515535 -1.109010e-02  0.180085     309.4030     -70.7315   2199.990         93     703    904.4600     71.454 -178.830
618            2 -1.388890  1.329320e+00  0.639382   -1329.9300    -518.4960   2199.840        102     703    882.8340     70.553  134.254
707            2  0.003459 -2.066990e-03  0.006070  -25145.6000   -1021.9400   2150.310        124     703    236.2650     74.965    8.020
860            2 -0.002702 -3.036910e-03  0.007986 -128058.0000   -4031.9700    912.103        172     703     95.8053     74.238    2.796
879            2 -0.001213 -1.965710e-03  0.006130   96391.0000  -51021.1000   1266.820        182     703     48.5913     77.215  159.307
931            2  0.004766 -6.909500e-03  0.003188    5451.0800  -11779.6000   2186.780        200     703    834.7770     72.384  -64.539
968            2  0.067807 -1.285270e-01  0.046936    5431.9400  -11757.6000   2186.840        200     703    834.7770     72.384  -64.539
974            2  0.279699 -5.800720e-01  0.174213    5435.0200  -11767.1000   2186.820        200     703    834.7770     72.384  -64.539
1098           2 -0.034714 -5.874640e-03  0.016404   -2311.6800   -2643.5300   2199.030        210     703    456.5890     70.909 -167.903
