Tabla para CorsikaId 3:
        CorsikaId            px            py        pz             x             y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
50              3 -1.968060e-03 -1.009180e-02  0.011048    642.533000   -844.816000  2199.91          7     703    307.2450     50.183  -99.975
72              3  1.520110e-03  1.107870e-03  0.003266   1639.380000  -2803.550000  2199.17         10     703    583.7990     57.309  -54.202
77              3  6.710930e-02 -8.679910e-02  0.077163   1651.970000  -2834.640000  2199.16         10     703    583.7990     57.309  -54.202
85              3  2.976360e-02 -3.476350e-02  0.015635   2844.000000   -261.411000  2199.36         10     703    583.7990     57.309  -54.202
116             3  3.321610e-03 -7.127370e-03  0.007721     76.277700  -1222.900000  2199.88         10     703    583.7990     57.309  -54.202
120             3 -3.114630e-03 -4.483380e-04  0.000987     49.448900  -1210.280000  2199.88         10     703    583.7990     57.309  -54.202
129             3  2.741640e-01 -4.430090e-01  0.375941     75.863300  -1254.330000  2199.88         10     703    583.7990     57.309  -54.202
150             3  8.349600e-02 -1.327650e-01  0.154036     53.361300  -1212.730000  2199.88         10     703    583.7990     57.309  -54.202
156             3  1.456050e-01 -2.282150e-01  0.199456     71.207900  -1245.320000  2199.88         10     703    583.7990     57.309  -54.202
168             3  1.917970e-01 -2.703190e-01  0.198002   -266.846000   -392.138000  2199.98         10     703    583.7990     57.309  -54.202
185             3  1.576140e-03 -1.412290e-03  0.002821    583.675000   -260.334000  2199.97         10     703    583.7990     57.309  -54.202
199             3 -9.412230e-02 -1.596590e-02  0.114763  -3338.530000  -2108.610000  2198.78         12     703    175.2830     27.672   38.166
216             3  2.555990e-03  3.398170e-02  0.055021  -1617.910000   -881.956000  2199.73         12     703    175.2830     27.672   38.166
234             3  1.105550e-01  7.629810e-02  0.066311     -0.947538    -87.917600  2200.00         12     703    175.2830     27.672   38.166
242             3  7.226910e-04  4.657420e-03  0.010127   -472.393000   -630.453000  2199.95         12     703    175.2830     27.672   38.166
249             3  2.096960e-03 -1.999440e-03  0.002346   -460.366000   -644.745000  2199.95         12     703    175.2830     27.672   38.166
250             3  3.837670e-03  4.170700e-03  0.005818   -459.457000   -639.630000  2199.95         12     703    175.2830     27.672   38.166
253             3  2.532470e-01  2.597880e-01  0.682822   -459.874000   -641.463000  2199.95         12     703    175.2830     27.672   38.166
281             3  3.185000e-05  6.344300e-05  0.000629    539.467000  -1009.390000  2199.90         12     703    175.2830     27.672   38.166
