Tabla para CorsikaId 5:
       CorsikaId          px          py         pz            x             y           z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
2              5  -10.346500   -8.632590   2.066870  -14094.9000  -12472.50000   2172.2100          1     703   1105.1000     78.751 -140.072
16             5  -13.810900   16.407300   4.376690   26314.9000  -34134.90000   2054.2600          3     703    538.2070     81.050  129.653
41             5   -9.150510   -3.178010   2.625710  -10172.8000    -259.32900   2191.8800         10     703    573.8590     72.421 -156.957
42             5   -2.621200   -1.329480   1.056710    7053.3100    2466.99000   2195.6200         10     703    573.8590     72.421 -156.957
43             5  -15.891700   -7.181550   4.984230   -7401.0800   -4641.34000   2194.0100         10     703    573.8590     72.421 -156.957
44             5    0.862786    1.773390   1.066390   -8458.3300  -32986.70000   2109.0200         11     703    168.2970     70.017   70.276
45             5   -5.946590   24.699800   5.709360    6783.8200  -45219.90000   2035.9700         12     703    484.0760     80.500  102.544
46             5   -2.603440   11.619800   2.924000   10915.1000  -52569.70000   1973.8500         12     703    484.0760     80.500  102.544
55             5   -4.776060   -0.762751   0.172000  -20407.0000  -13642.70000   2152.7300         19     703   1626.3600     82.909 -174.564
58             5  108.243000 -130.699000  13.181100   17165.9000  -19824.40000   2146.0500         21     703   4134.7300     84.731  -50.558
60             5   -0.216642    1.062320   0.550161    3672.9900  -55429.80000   1957.9000         22     703    107.6390     74.574   97.935
61             5    2.182700    1.457260   0.910651   -8298.7800    4241.81000   2193.1900         23     703    990.6310     73.252   28.560
68             5    0.343838    0.262124   0.203456  -18018.4000  -12615.70000   2162.0400         23     703    990.6310     73.252   28.560
71             5    5.362060    3.028080   2.974970  -12602.6000   -6203.65000   2184.5200         23     703    990.6310     73.252   28.560
72             5    0.704121    0.522503   0.416820  -15670.5000   -5344.91000   2178.4900         23     703    990.6310     73.252   28.560
75             5   -2.058540   -0.153237   0.631103   -8673.0300   -6406.44000   2190.8800         25     703    482.0600     72.566  175.880
77             5   -0.470258   -0.225455   0.289596   24235.9000   -2849.77000   2153.2800         26     703    297.8500     72.059 -167.854
82             5    1.556190  -10.314100   2.021720    5231.4200  -18845.40000   2169.9900         27     703    807.7590     74.588  -84.554
83             5    0.258520   -2.162270   0.249418   13454.4000  -58989.70000   1912.8000         28     703    260.3990     74.674  -83.553
103            5   -3.580130   22.304800   3.232880    7920.4100  -78889.20000   1706.8300         32     703   1249.6500     85.204   97.871
104            5    3.739580  -13.766100   1.410290   23775.7000  -70711.20000   1763.3900         33     703    495.4840     78.459  -78.059
114            5   -1.904610    1.574620   0.675758   82281.5000  -77721.50000   1194.9100         38     703    311.4950     83.430  137.779
115            5    2.069950    3.603960   1.760960   -9784.3500   -8825.55000   2186.3800         39     703    264.9410     71.366   56.135
143            5  -15.710900   -3.143490   2.292560   -6031.7800   -4725.54000   2195.3900         48     703    943.8890     81.514 -169.431
144            5   -3.288390   -0.918683   0.530965   -7501.3800   -7436.19000   2191.2500         48     703    943.8890     81.514 -169.431
159            5   -1.585280   -2.347280   0.613200  -17061.2000  -23520.00000   2133.7700         55     703    314.2670     71.091 -122.095
160            5    0.814035    4.937910   2.129770   -4963.2600  -13830.20000   2183.0600         56     703    247.2850     71.103   79.704
162            5   -7.895470    6.804690   3.758530    -190.7390   -5938.07000   2197.2300         58     703   2407.3700     72.346  135.119
165            5  -11.153600   10.450900   5.475830    2674.6400   -5804.69000   2196.8000         58     703   2407.3700     72.346  135.119
167            5   -0.646356    0.631373   0.339127    5083.6600   -6299.44000   2194.8600         58     703   2407.3700     72.346  135.119
169            5   -3.881780    3.629540   1.831540    -231.5290   -1067.56000   2199.9100         58     703   2407.3700     72.346  135.119
171            5   -6.399060    6.066090   3.132650    3614.8300   -4310.74000   2197.5200         58     703   2407.3700     72.346  135.119
173            5  -31.337000   31.013200  14.753800    2603.0300   -2731.70000   2198.8800         58     703   2407.3700     72.346  135.119
176            5   -1.365020    1.529680   0.798010    5900.2600   -1533.16000   2197.0800         58     703   2407.3700     72.346  135.119
178            5  -44.202800   43.013300  19.689600     -22.3298   -1103.98000   2199.9000         58     703   2407.3700     72.346  135.119
179            5   -2.775240    2.392010   1.375380    3369.1500   -5715.69000   2196.5500         58     703   2407.3700     72.346  135.119
180            5  -29.168300   28.337100  13.428800    1179.6300   -2170.96000   2199.5200         58     703   2407.3700     72.346  135.119
181            5  -11.449200   11.485000   5.651480    3886.5900   -3235.17000   2197.9900         58     703   2407.3700     72.346  135.119
182            5  -19.714900   18.955500   9.610940    3847.4700   -5242.50000   2196.6800         58     703   2407.3700     72.346  135.119
183            5  -25.298200   24.854700  11.357600     358.5980    -898.07000   2199.9300         58     703   2407.3700     72.346  135.119
201            5    0.437813   -0.829981   0.099768   18781.6000  -33321.50000   2085.2200         67     703    434.7430     79.337  -61.826
202            5    0.414888   -1.609240   0.475529    4413.3500   -5518.33000   2196.0800         68     703    345.3760     71.175  -80.064
374            5   16.916600   -0.685849   2.298870   22892.7000     839.11400   2158.8300         74     703    979.8540     80.536   -3.074
377            5    0.626515    3.675420   1.176910   -6253.3300  -34043.50000   2106.0100         77     703    947.5830     79.301   80.442
378            5    4.485260   30.636700   6.952200   -6273.2200  -23446.20000   2153.7900         77     703    947.5830     79.301   80.442
379            5    1.002950    6.230550   2.243940   -8369.6100  -44864.60000   2036.6000         77     703    947.5830     79.301   80.442
380            5    0.304767    1.531970   0.505667   -6630.3900  -42758.10000   2053.1200         77     703    947.5830     79.301   80.442
407            5    1.632630   -0.528637   0.486020  -22863.4000      21.91170   2158.9900         79     703    202.0820     77.702  -12.156
408            5    7.206890   10.511100   3.466600  -12770.3000  -14302.30000   2171.1600         80     703    488.9360     77.138   54.287
414            5    1.845300   23.598000   3.872350  -35311.4000 -293062.00000  -4639.1700         82     703    377.4400     87.809   84.200
450            5    0.531518   -7.216770   1.381190    4116.8300  -35424.30000   2100.2200         89     703    283.0380     72.818  -84.987
451            5    2.412690    8.012390   3.760540   -2779.3900  -16677.60000   2177.5700         90     703   1026.0300     71.277   74.951
452            5    6.909680   26.030600  10.047900   -2085.9000   -7092.97000   2195.7100         90     703   1026.0300     71.277   74.951
458            5    2.654510   10.983500   4.325600   -3132.0200   -6008.75000   2196.4000         90     703   1026.0300     71.277   74.951
463            5    0.198745    0.341009   0.389952   -4979.6500  -29964.40000   2127.6200         90     703   1026.0300     71.277   74.951
465            5    0.456332    2.715320   1.250610   -6015.2700  -11954.90000   2185.9500         90     703   1026.0300     71.277   74.951
466            5    6.646840   24.885200   8.645440      -4.7863    -701.96500   2199.9600         90     703   1026.0300     71.277   74.951
467            5    2.256710    9.952980   3.927660   -3125.8600   -6683.64000   2195.7300         90     703   1026.0300     71.277   74.951
470            5   17.711100   -0.920669   4.096470   -2242.0500     -97.50640   2199.6000         92     703   1166.8900     76.990   -3.303
471            5    7.418030   -0.402413   1.776200   -3046.2400     736.95600   2199.2300         92     703   1166.8900     76.990   -3.303
472            5    5.674620   -0.213154   1.401540    1313.9100     164.42300   2199.8600         92     703   1166.8900     76.990   -3.303
475            5   13.532700   -1.388860   3.320990   -5062.5500   -2209.34000   2197.6100         92     703   1166.8900     76.990   -3.303
580            5   -7.802900   -0.363265   2.848980    2538.6700   -1390.24000   2199.3400         93     703    904.4600     71.454 -178.830
582            5    1.605360    0.398782   0.403358  -27264.9000    3584.52000   2140.6700         94     703    217.3740     79.465   13.038
584            5    3.280620   -3.059790   0.924858   16827.4000  -15370.20000   2159.2500         95     703    294.5790     71.019  -43.952
598            5    1.625280    0.205254   0.894187  -20601.5000    4109.33000   2165.3800        101     703    331.4720     71.968   -0.418
603            5   -1.687670    1.552940   0.637007   -2403.3600   -2455.30000   2199.0700        102     703    882.8340     70.553  134.254
604            5   -1.153810    0.989101   0.484977   -4820.2600    2037.25000   2197.8500        102     703    882.8340     70.553  134.254
632            5   12.760600    4.921320   3.523470  -13094.6000   -5242.48000   2184.3900        106     703    556.3810     77.667   20.957
633            5    8.573630    3.495320   2.570900  -22136.4000   -7013.08000   2157.7000        106     703    556.3810     77.667   20.957
634            5    1.114490    0.178662   0.683129  -50787.8000  -26091.60000   1944.2400        106     703    556.3810     77.667   20.957
635            5   17.922800    2.276010   2.710670   -5305.9000     839.02000   2197.7400        107     703    758.4370     81.250    6.441
636            5    2.613140    0.486868   0.459398  -12992.0000    3474.33000   2185.8100        107     703    758.4370     81.250    6.441
637            5   -1.545500   24.070700   4.948450    -866.0180  -31969.30000   2119.7600        108     703   1452.4500     81.243   92.648
642            5    2.927820   -0.172239   0.481292    1184.7600    3710.23000   2198.8100        110     703    325.8830     80.442   -7.128
643            5   -1.187680    1.408720   0.914793    2384.7200  -32832.50000   2114.9900        111     703    128.0940     71.745  119.512
649            5   11.289300   -2.840300   4.366820   -4995.4700    3407.18000   2197.1300        112     703    452.8200     71.552  -15.781
666            5    2.909070    1.240530   1.047850   -1350.6300    2697.15000   2199.2900        116     703    366.5740     70.532   19.225
667            5   -9.231460   -5.607080   3.320410   -7398.2700   -7422.95000   2191.3800        117     703    431.6300     70.143 -150.969
668            5   -5.446610   -3.475270   2.026770   -4651.8500   -6060.12000   2195.4200        117     703    431.6300     70.143 -150.969
669            5   -6.455610   -3.811080   1.268030  -18321.4000  -16499.90000   2152.3100        118     703    758.2710     76.553 -153.082
677            5    0.581944    4.912470   1.576120    -221.3960   -9584.92000   2192.7900        119     703    288.3980     74.215   83.766
685            5   -4.538900    6.407250   1.748440   88076.2000 -137637.00000    104.9440        120     703   1642.7100     85.957  123.085
