Tabla para CorsikaId 6:
       CorsikaId         px          py         pz              x            y          z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
0              6 -13.064900  -10.500900   3.797000    1060.010000     330.6170   2199.900          1     703   1105.1000     78.751 -140.072
1              6  -3.532130   -2.668820   0.986904   -3202.820000   -2778.5000   2198.590          1     703   1105.1000     78.751 -140.072
40             6  -3.144880   -1.373770   1.387280    6581.650000    -614.7930   2196.570         10     703    573.8590     72.421 -156.957
48             6  -1.622660   -0.783037   0.932377    2514.640000   -6651.5000   2196.030         14     703    102.2950     72.068 -152.585
54             6 -14.836000   -0.711656   2.501240   31657.500000    5305.6800   2119.170         19     703   1626.3600     82.909 -174.564
57             6  34.126100  -42.734100   6.974880  -29154.300000   32042.5000   2052.770         21     703   4134.7300     84.731  -50.558
59             6   6.533650   -7.688620   1.455220  -19518.700000   30447.5000   2097.380         21     703   4134.7300     84.731  -50.558
67             6   3.935790    2.454360   1.671390   -3263.230000    1704.4800   2198.940         23     703    990.6310     73.252   28.560
105            6  -6.390750    8.926770   3.041680    3200.200000   -7116.3000   2195.220         34     703    309.5680     73.883  126.377
106            6  -2.584240    3.260880   1.033130    1661.630000  -10004.7000   2191.930         34     703    309.5680     73.883  126.377
111            6  -1.489030   -1.377920   0.562404  -24698.300000  -21526.7000   2115.790         35     703    264.7090     77.451 -129.181
113            6   1.608650   -2.201660   0.617613    2259.160000   -4929.3200   2197.690         37     703   1178.0800     81.318  -52.462
121            6  -2.841970   -8.996110   2.752320    -770.746000   -9401.6800   2193.020         43     703    745.8340     72.614 -108.155
122            6  -6.303300  -18.624400   7.074770    1048.140000    1363.8000   2199.770         43     703    745.8340     72.614 -108.155
139            6   0.756434   -2.278430   0.985829    4915.170000   14014.2000   2182.700         45     703    588.7070     77.029  -73.500
140            6  -0.719125   -1.117800   0.564998   -6780.370000    2254.9500   2195.990         46     703    270.7580     71.990 -109.491
141            6   1.382300    7.479910   1.798890   -2890.500000   -4989.9100   2197.390         47     703    333.7110     74.416   79.598
142            6   1.875280    8.430990   2.570530   -2648.190000  -21239.8000   2164.060         47     703    333.7110     74.416   79.598
157            6   0.922680   -0.881181   0.633185   -5230.020000    2897.3900   2197.200         54     703    656.6280     72.262  -43.318
170            6 -29.352600   29.225700  12.699400     294.588000   -1158.5700   2199.890         58     703   2407.3700     72.346  135.119
172            6  -7.654230    7.321600   3.395390    1028.210000   -3322.2300   2199.050         58     703   2407.3700     72.346  135.119
175            6  -1.232490    1.481090   0.513266   -4890.930000    8368.6400   2192.630         58     703   2407.3700     72.346  135.119
177            6  -7.475050    7.688440   3.270950    -490.446000     626.8760   2199.950         58     703   2407.3700     72.346  135.119
184            6  -0.698766    2.216650   1.309620   25519.800000  -12878.7000   2135.900         58     703   2407.3700     72.346  135.119
187            6  -6.313480   -5.106140   2.100870   14657.500000    7675.1600   2178.520         60     703    529.8700     80.552 -139.331
198            6   6.596980    0.219804   2.456720   -5868.400000    5142.9000   2195.220         65     703    267.7160     71.165   -0.347
410            6  -4.872880   -3.526730   1.620520     354.320000    4335.3400   2198.520         81     703    443.1380     77.879 -140.472
464            6   3.801350   12.889100   4.376430     388.514000   -2678.3200   2199.430         90     703   1026.0300     71.277   74.951
468            6   5.146040   17.980200   6.480450    -565.964000   -3684.3900   2198.910         90     703   1026.0300     71.277   74.951
469            6  -1.820180   -1.623140   0.605412  -24002.200000  -24052.0000   2109.420         91     703    210.6710     77.485 -133.182
473            6   4.505190   -0.369100   0.977398    7208.240000    -482.0780   2195.910         92     703   1166.8900     76.990   -3.303
474            6  20.957900   -1.382950   4.586060    4142.950000    -188.8760   2198.650         92     703   1166.8900     76.990   -3.303
577            6  -1.271080    0.291242   0.369338    1737.220000    6972.1400   2195.950         93     703    904.4600     71.454 -178.830
578            6  -1.190840    0.114124   0.389940   -6863.210000    1412.9800   2196.150         93     703    904.4600     71.454 -178.830
