Tabla para CorsikaId 8:
        CorsikaId        px        py        pz          x          y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
9922            8  0.214682  0.166863  0.363666    57.2374   -717.817  2199.96        880    1206   2174.3100     33.284  -73.387
11242           8 -0.438201  0.377147  1.520200   -67.7256    294.115  2199.99        941    1206   1484.3400     18.028 -149.036
18060           8  0.016565  0.083865  0.116348  2343.0800 -11814.800  2188.62       1411    1206     45.3603     29.508  147.891
38408           8  0.129975  0.051856  0.227215   582.0130  -3381.330  2199.08       2809    1206    146.8390     23.440 -161.461
48222           8  1.671450  0.630948  7.006780    36.9059   -315.932  2199.99       3325    1206    979.0690      8.803   11.392
48223           8 -0.205618 -1.030360  0.971523    26.0361   -343.707  2199.99       3325    1206    979.0690      8.803   11.392
63534           8 -0.621452  0.404701  0.754667  -751.8550   -287.571  2199.95       4211    1608    637.5260     34.336  156.526
70779           8 -0.683920  0.927651  1.532610  -128.0270   -355.992  2199.99       4664    1608   1078.6900     42.656  128.815
104189          8  0.037200  0.294576  0.892485   321.9460   -665.718  2199.96       6707    1608   1034.9000     26.849  102.496
104191          8 -0.052837  0.212603  0.825124   319.4550   -667.455  2199.96       6707    1608   1034.9000     26.849  102.496

