Tabla para CorsikaId 1:
     CorsikaId            px            py        pz            x           y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
0            1 -8.763270e-04  2.219480e-03  0.003774 -227378.0000  -16102.200 -1877.57          1    1206    321.9310     85.545   12.568
1            1  1.132370e-04  1.806930e-04  0.000073   -1351.2900    5129.210  2197.79          2    1206   1051.4300     75.681  -56.477
2            1  1.163590e-03 -6.656460e-04  0.000444   -1336.2700    4985.780  2197.91          2    1206   1051.4300     75.681  -56.477
3            1  2.373420e-03 -1.025350e-02  0.004272   -1395.0300    5043.360  2197.85          2    1206   1051.4300     75.681  -56.477
4            1  7.002620e-05 -8.567300e-05  0.000230   -1371.8200    5090.160  2197.82          2    1206   1051.4300     75.681  -56.477
5            1  5.301790e-03 -8.188400e-03  0.003840   -1336.1800    5030.380  2197.87          2    1206   1051.4300     75.681  -56.477
6            1  6.457150e-05 -1.045410e-04  0.000031   -1316.9800    4997.560  2197.90          2    1206   1051.4300     75.681  -56.477
8            1  1.335830e-04  1.742990e-04  0.000616   -1967.9700    5756.110  2197.10          2    1206   1051.4300     75.681  -56.477
9            1  2.854280e-04 -5.322280e-04  0.000551   -1908.1300    5747.820  2197.12          2    1206   1051.4300     75.681  -56.477
10           1 -1.077980e-04 -1.563630e-04  0.000344   -1702.6700    5543.990  2197.36          2    1206   1051.4300     75.681  -56.477
11           1  7.152240e-03 -9.942750e-03  0.003163    6811.6300   -6544.390  2193.00          2    1206   1051.4300     75.681  -56.477
12           1  1.442070e-02 -2.096030e-02  0.009051    6762.7500   -6486.700  2193.11          2    1206   1051.4300     75.681  -56.477
13           1  7.060210e-03 -8.708240e-03  0.004426    6766.1200   -6478.650  2193.12          2    1206   1051.4300     75.681  -56.477
15           1  1.004630e-04 -9.466170e-05  0.000075    6607.5700   -6447.260  2193.31          2    1206   1051.4300     75.681  -56.477
16           1  2.596840e-05 -4.567400e-05  0.000020    6737.7100   -6485.010  2193.14          2    1206   1051.4300     75.681  -56.477
17           1 -5.588560e-07  5.247260e-05  0.000044    6713.6500   -6421.560  2193.23          2    1206   1051.4300     75.681  -56.477
18           1  4.997360e-04 -1.052130e-03  0.000455    6745.3800   -6487.650  2193.13          2    1206   1051.4300     75.681  -56.477
19           1  8.242530e-03 -1.502660e-02  0.006624    6736.7700   -6486.480  2193.14          2    1206   1051.4300     75.681  -56.477
20           1  2.307750e-05 -4.406530e-05  0.000020    6736.4700   -6486.420  2193.14          2    1206   1051.4300     75.681  -56.477
22           1 -2.592190e-04  2.976200e-05  0.000240    5971.3200   -5443.610  2194.88          2    1206   1051.4300     75.681  -56.477
23           1  3.592820e-04 -7.994330e-05  0.000224    6534.3500   -5669.740  2194.13          2    1206   1051.4300     75.681  -56.477
24           1 -1.113640e-04  4.610430e-05  0.000295    7183.1000   -7307.550  2191.76          2    1206   1051.4300     75.681  -56.477
25           1 -2.189400e-05 -4.956570e-04  0.000133    7093.6500   -7754.900  2191.33          2    1206   1051.4300     75.681  -56.477
26           1  1.154680e-02 -1.600910e-02  0.005553    6801.8400   -6517.120  2193.04          2    1206   1051.4300     75.681  -56.477
27           1  3.560210e-05  1.047050e-04  0.000018    6688.8900   -6123.950  2193.55          2    1206   1051.4300     75.681  -56.477
28           1  2.623190e-04 -7.573970e-04  0.001366    6695.6100   -6493.900  2193.17          2    1206   1051.4300     75.681  -56.477
29           1  1.713360e-04 -2.931320e-04  0.000075    6728.0900   -6546.030  2193.09          2    1206   1051.4300     75.681  -56.477
30           1  5.508750e-05 -1.194000e-04  0.000088    6607.3700   -6391.070  2193.37          2    1206   1051.4300     75.681  -56.477
31           1  3.003980e-04 -2.881260e-03  0.001023    6586.1400   -6481.860  2193.30          2    1206   1051.4300     75.681  -56.477
32           1 -4.444510e-05 -2.034310e-05  0.000124    6324.1100   -5999.260  2194.04          2    1206   1051.4300     75.681  -56.477
33           1  1.691540e-02 -2.006000e-02  0.008070    6877.4200   -6520.240  2192.95          2    1206   1051.4300     75.681  -56.477
34           1  1.118270e-01 -1.620790e-01  0.054750    6799.7600   -6531.500  2193.03          2    1206   1051.4300     75.681  -56.477
35           1  1.524250e-03 -2.788250e-03  0.003598    6393.5100   -5968.700  2194.00          2    1206   1051.4300     75.681  -56.477
36           1 -5.747100e-05 -6.889180e-04  0.000519    6699.2900   -6531.350  2193.13          2    1206   1051.4300     75.681  -56.477
37           1  2.544930e-03 -1.117230e-03  0.001214    6743.7200   -6117.180  2193.50          2    1206   1051.4300     75.681  -56.477
38           1  3.822990e-05  1.152140e-05  0.000135    6607.8100   -6164.400  2193.59          2    1206   1051.4300     75.681  -56.477
39           1  7.043060e-03 -9.442650e-03  0.003559    6786.5400   -6454.710  2193.12          2    1206   1051.4300     75.681  -56.477
40           1  9.570010e-02 -1.255710e-01  0.046292    6808.0100   -6469.530  2193.08          2    1206   1051.4300     75.681  -56.477
41           1  6.573280e-04 -2.264410e-03  0.000732    6734.8900   -6437.120  2193.19          2    1206   1051.4300     75.681  -56.477
42           1  2.814470e-04  2.154490e-04  0.000374    6887.8100   -6458.440  2193.01          2    1206   1051.4300     75.681  -56.477
43           1  1.069030e-02 -1.287370e-02  0.001637    7535.1100   -7339.460  2191.32          2    1206   1051.4300     75.681  -56.477
44           1  2.198490e-04 -8.529490e-06  0.000250    6677.6300   -6259.660  2193.43          2    1206   1051.4300     75.681  -56.477
45           1  8.778220e-03 -1.429530e-02  0.003710    6838.5800   -6637.660  2192.87          2    1206   1051.4300     75.681  -56.477
46           1  3.152750e-02 -4.601780e-02  0.015338    6795.0200   -6536.120  2193.03          2    1206   1051.4300     75.681  -56.477
47           1  6.881040e-03 -9.980350e-03  0.003314    6803.7400   -6545.030  2193.01          2    1206   1051.4300     75.681  -56.477
48           1  5.367250e-05  2.983190e-04  0.000129    6783.3200   -6462.420  2193.11          2    1206   1051.4300     75.681  -56.477
49           1  6.447070e-04 -1.161500e-03  0.000434    6802.3900   -6542.710  2193.01          2    1206   1051.4300     75.681  -56.477
51           1 -1.699560e-04 -1.120680e-04  0.000177    6709.0900   -6530.220  2193.12          2    1206   1051.4300     75.681  -56.477
52           1  3.623770e-02 -5.215560e-02  0.019082    6789.5400   -6520.370  2193.05          2    1206   1051.4300     75.681  -56.477
53           1  1.179420e-03 -1.273600e-03  0.000570    6728.2300   -6441.780  2193.19          2    1206   1051.4300     75.681  -56.477
54           1  1.776040e-03 -4.220210e-03  0.001800    6796.4700   -6512.390  2193.05          2    1206   1051.4300     75.681  -56.477
55           1  4.782490e-05  2.034430e-05  0.000104    6562.5800   -6090.280  2193.71          2    1206   1051.4300     75.681  -56.477
56           1  1.847180e-05  2.833040e-05  0.000384    6660.5200   -6184.120  2193.52          2    1206   1051.4300     75.681  -56.477
57           1 -4.389390e-05  5.933510e-05  0.000135    6129.8100   -5869.770  2194.35          2    1206   1051.4300     75.681  -56.477
58           1  4.103080e-05  6.719080e-05  0.000041    6481.5000   -5792.020  2194.07          2    1206   1051.4300     75.681  -56.477
59           1  1.330620e-03 -4.676750e-03  0.001630    6676.5400   -6523.390  2193.16          2    1206   1051.4300     75.681  -56.477
60           1  3.607580e-05 -6.263250e-05  0.000054    6667.7100   -6363.900  2193.34          2    1206   1051.4300     75.681  -56.477
61           1  3.186980e-05 -4.385070e-05  0.000027    6547.8800   -6065.550  2193.75          2    1206   1051.4300     75.681  -56.477
62           1  1.066490e-02 -1.881800e-02  0.004155    6912.2000   -6910.650  2192.51          2    1206   1051.4300     75.681  -56.477
63           1  2.693060e-04  2.630190e-05  0.000153    6701.0900   -6421.010  2193.24          2    1206   1051.4300     75.681  -56.477
75           1 -4.215940e-02  5.353040e-02  0.030222   -3372.5700    7164.830  2195.08          7    1608   2809.8000     72.953  134.006
76           1  1.246430e-05  4.620260e-04  0.000898   -3233.5100    7054.490  2195.28          7    1608   2809.8000     72.953  134.006
77           1 -3.289820e-04  2.686460e-04  0.001021   -2324.0800    5941.070  2196.81          7    1608   2809.8000     72.953  134.006
78           1  4.094480e-04  4.257220e-04  0.000652   -1962.9700    6156.640  2196.72          7    1608   2809.8000     72.953  134.006
79           1 -5.856320e-04 -1.115320e-04  0.001163   -3390.2300    6866.790  2195.40          7    1608   2809.8000     72.953  134.006
80           1 -3.120740e-03  4.169940e-03  0.000748   -5993.3800    9209.200  2190.53          7    1608   2809.8000     72.953  134.006
81           1 -1.009670e-04  1.372590e-04  0.000895   -3341.4300    7093.280  2195.18          7    1608   2809.8000     72.953  134.006
82           1 -4.388920e-04  7.296470e-04  0.000945   -3938.9400    7534.750  2194.33          7    1608   2809.8000     72.953  134.006
83           1 -2.961040e-03  3.975010e-03  0.001626   -3781.5100    7557.490  2194.40          7    1608   2809.8000     72.953  134.006
84           1 -5.331360e-05  1.908820e-04  0.000444   -3449.0400    7496.930  2194.66          7    1608   2809.8000     72.953  134.006
85           1 -5.476830e-05 -1.293860e-04  0.000054   -3149.4100    6461.550  2195.95          7    1608   2809.8000     72.953  134.006
86           1 -2.531370e-04  5.588350e-04  0.000473   -3193.5700    7078.930  2195.27          7    1608   2809.8000     72.953  134.006
87           1 -1.433200e-02  1.617440e-02  0.005810   -3993.0900    7751.200  2194.04          7    1608   2809.8000     72.953  134.006
88           1 -2.206520e-03  1.775230e-03  0.001061   -4040.8000    7619.050  2194.17          7    1608   2809.8000     72.953  134.006
89           1 -2.636610e-02  2.733290e-02  0.012218   -4072.5700    7761.370  2193.97          7    1608   2809.8000     72.953  134.006
90           1 -6.324790e-03  6.221730e-03  0.003574   -3780.3000    7389.570  2194.60          7    1608   2809.8000     72.953  134.006
91           1 -5.306440e-04  3.601470e-04  0.000295   -3591.7100    7274.680  2194.84          7    1608   2809.8000     72.953  134.006
92           1  1.009070e-05  7.491640e-04  0.000259   -3366.2000    7804.010  2194.33          7    1608   2809.8000     72.953  134.006
93           1  2.221630e-04  1.864880e-04  0.000442   -3805.5200    7333.630  2194.64          7    1608   2809.8000     72.953  134.006
94           1 -7.569490e-05 -9.365300e-05  0.000305   -4618.9600    8129.470  2193.14          7    1608   2809.8000     72.953  134.006
95           1 -3.991970e-04 -2.502540e-05  0.000304   -4112.4200    7388.230  2194.39          7    1608   2809.8000     72.953  134.006
96           1  2.219520e-04  3.558650e-04  0.000583   -3536.6100    7379.100  2194.75          7    1608   2809.8000     72.953  134.006
97           1  2.957080e-04  1.172740e-04  0.000558   -3455.4400    7201.080  2195.00          7    1608   2809.8000     72.953  134.006
98           1 -4.814170e-05  4.857500e-05  0.000161   -3927.0500    7512.580  2194.36          7    1608   2809.8000     72.953  134.006
100          1  2.912170e-04  1.680360e-05  0.000407   -4123.6900    7985.770  2193.66          7    1608   2809.8000     72.953  134.006
101          1 -2.384200e-03  2.708830e-03  0.002096   -4171.6600    8018.160  2193.59          7    1608   2809.8000     72.953  134.006
