Tabla para CorsikaId 5:
     CorsikaId         px         py        pz          x          y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
66           5  15.477100 -22.613600  5.622510  13959.000 -18308.600  2158.42          2    1206    1051.430     75.681  -56.477
67           5   0.693811   1.168380  0.775546 -23954.100 -40438.900  2026.69          3    1206     374.334     74.842   59.812
154          5  -8.377520   7.714420  4.424530  11204.700 -17855.300  2165.14          7    1608    2809.800     72.953  134.006
155          5 -10.346900  10.243600  4.958270   5796.040  -8559.970  2191.62          7    1608    2809.800     72.953  134.006
156          5  -4.517660   4.293780  2.348460   7275.640 -10974.800  2186.40          7    1608    2809.800     72.953  134.006
158          5  -7.363070   7.288920  3.357760   1540.590  -3172.950  2199.02          7    1608    2809.800     72.953  134.006
164          5  -1.506250   1.807250  0.770342   2308.520    321.056  2199.57          7    1608    2809.800     72.953  134.006
166          5  -5.048950   4.895730  1.992150  -3745.930   2726.890  2198.32          7    1608    2809.800     72.953  134.006
174          5  -4.333650   8.053020  3.797210   6396.800 -28688.800  2132.22         11    1608     503.570     73.064  113.697
175          5  -3.655950   0.545038  0.775540  66432.700 -20647.100  1820.32         12    1608    1340.830     83.951  168.858
176          5  -2.861360   2.253790  1.516610  15952.500 -24615.000  2132.50         13    1608     371.733     72.665  136.279
180          5  -5.011780  -4.922640  1.734190  -5022.630  -9995.820  2190.18         16    2412    2181.730     73.780 -138.683
261          5 -22.229000 -20.407800  8.520290  -4150.220  -7002.680  2194.80         16    2412    2181.730     73.780 -138.683
332          5  -9.669320  -8.625560  3.559530  -4466.540  -6103.280  2195.51         16    2412    2181.730     73.780 -138.683
333          5   0.777471   8.577370  3.478200  -2021.570 -15225.400  2181.49         17    2412    2767.420     72.340   84.605
353          5   1.748230  22.431600  8.085910  -2243.520 -10288.400  2191.30         17    2412    2767.420     72.340   84.605
354          5   1.097570  14.835800  5.419250  -2525.640  -8115.450  2194.33         17    2412    2767.420     72.340   84.605
379          5   0.421269   3.524070  1.417600   -376.868 -12156.300  2188.40         17    2412    2767.420     72.340   84.605
388          5   0.494516   6.187370  2.413410  -2512.180 -14902.700  2182.08         17    2412    2767.420     72.340   84.605
389          5  -0.069982   5.462910  2.603250  -7681.970 -25751.000  2143.35         17    2412    2767.420     72.340   84.605
390          5   1.913490  21.585300  7.692450  -1562.510  -8027.400  2194.75         17    2412    2767.420     72.340   84.605
391          5   0.826967  11.363200  4.687880  -2616.700 -15808.900  2179.86         17    2412    2767.420     72.340   84.605
392          5   0.648051   9.601030  3.838340  -3240.170 -14948.700  2181.65         17    2412    2767.420     72.340   84.605
393          5   2.267170  23.110600  8.252890  -1068.710  -8334.110  2194.46         17    2412    2767.420     72.340   84.605

