Tabla para CorsikaId 6:
      CorsikaId         px         py         pz             x            y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
2             6   2.221620  -0.618008   2.177720   -562.118000   -157.51300  2199.97          2     703    214.0730     48.577  -14.098
12            6  -4.046010   0.403696   3.472570   1021.690000  -2115.02000  2199.57          3     703    180.0230     51.574  173.528
95            6   1.807560  -1.561170   2.611830   5276.750000  -5306.91000  2195.61          6     703    204.2820     27.045  -49.534
96            6   0.044928   0.132068   0.260836   -671.640000   1361.90000  2199.82          6     703    204.2820     27.045  -49.534
100           6  -0.073528  -0.026504   0.838887   4899.580000   7066.83000  2194.20          7     703    244.4650     33.548 -123.487
102           6  -0.427783  -0.357545   0.557934 -10135.700000  -3647.17000  2190.90          7     703    244.4650     33.548 -123.487
118           6  -2.473040  -0.693627   1.685420  -1376.610000  -3585.79000  2198.84         11     703     91.8340     55.502 -161.564
126           6  -1.466510  -0.322363   2.110600   1720.650000   -865.08400  2199.71         16     703    142.6930     46.495 -159.778
133           6  -0.470783  -0.653759   0.642588    -38.448800  -5180.53000  2197.89         17     703    182.9650     53.670 -125.088
148           6   0.968010   0.445453   1.263150   -306.769000    995.88500  2199.91         24    1206    160.5000     36.929   10.069
158           6   4.185760  -1.471860   1.837150   5175.610000   2510.73000  2197.40         27    1206    281.8170     69.843  -25.579
166           6   0.586465   1.712300   1.742670  -3806.960000  -5493.57000  2196.50         30    1206    332.1460     50.570   67.962
188           6   0.069645   0.120099   0.234552   4233.430000  -5947.10000  2195.82         34    1206     80.3153     28.172   56.478
223           6  -0.896845  -1.153970   1.756960  -1106.980000  -5341.92000  2197.67         40    1206    121.2740     34.533 -125.392
238           6  -0.063531  -0.183062   0.314145   -448.156000  -1627.62000  2199.78         44    1206    243.1040      5.162 -124.563
240           6  -0.059964  -0.073641   0.928915    -57.327600  -1466.03000  2199.83         44    1206    243.1040      5.162 -124.563
312           6  -0.020937  -0.260511   0.461704   -153.063000  -1840.09000  2199.73         44    1206    243.1040      5.162 -124.563
333           6   0.031860  -0.156596   0.709972   1820.620000  -3598.86000  2198.72         44    1206    243.1040      5.162 -124.563
337           6   0.092339  -0.067622   0.252598  -2824.860000  -4585.88000  2197.72         46    1206    103.3080     17.280   31.552
341           6   0.073672   0.052165   0.309986  -3446.650000  -2103.59000  2198.72         46    1206    103.3080     17.280   31.552
396           6   0.852888   0.939256   0.746878  -7038.380000  -5106.34000  2194.07         48    1206    178.1020     60.740   41.073
427           6   0.335542   0.204339   0.301162   3433.420000  -1239.11000  2198.95         55    1206    349.1450     43.015   35.283
428           6   0.932891   0.555911   1.120360    834.057000  -4024.91000  2198.67         55    1206    349.1450     43.015   35.283
461           6  -1.848050  -1.056350   1.731590   -218.310000  -1226.65000  2199.88         59    1206    414.6070     52.458 -148.318
462           6  -1.203210  -0.613895   1.057160  -2895.620000  -2043.40000  2199.01         59    1206    414.6070     52.458 -148.318
465           6  -1.537270  -0.984082   1.582170    813.580000  -1969.21000  2199.64         59    1206    414.6070     52.458 -148.318
466           6  -2.556920  -1.464720   2.658000    742.297000  -1064.58000  2199.87         59    1206    414.6070     52.458 -148.318
499           6   0.337187   1.272070   2.232160  -5515.400000    -76.36530  2197.61         60    1206    259.4520     35.023   40.725
504           6  -0.013985   0.018263   0.096852  -3898.560000  -5079.85000  2196.78         60    1206    259.4520     35.023   40.725
507           6  -0.177875   0.897631   1.104050   -802.193000  -4925.07000  2198.05         62    1206    196.2320     39.766  100.205
511           6  -0.480742   0.380367   0.892357     -6.430000  -1170.79000  2199.89         64    1206    429.5540     30.718  141.373
514           6  -0.569516   0.562420   1.134710  -1037.970000    310.00900  2199.91         64    1206    429.5540     30.718  141.373
533           6  -3.115570   2.392760   5.872750   -740.203000   -642.33000  2199.92         64    1206    429.5540     30.718  141.373
534           6  -0.406446   0.534970   1.219700   1062.740000    101.17500  2199.91         64    1206    429.5540     30.718  141.373
536           6  -1.115270   0.324106   1.702170  -1015.230000   -869.33200  2199.86         64    1206    429.5540     30.718  141.373
537           6  -4.239370   2.935690   7.394870  -2039.960000   -169.68200  2199.67         64    1206    429.5540     30.718  141.373
570           6  -0.127277   0.483174   0.391180   5595.170000  -5453.22000  2195.21         65    1206    126.5510     49.036  122.209
582           6  -0.606010   0.595398   1.067100  -3633.070000    336.06200  2198.96         72    1206    197.5150     27.878  141.033
628           6   1.146450   0.796107   1.367600   2441.340000  -1686.07000  2199.31         73    1206    573.7340     41.670   43.474
637           6   0.062401   0.073886   0.188592  -1567.250000  -3220.94000  2198.99         73    1206    573.7340     41.670   43.474
639           6   1.615030   1.984450   2.819350  -1967.010000    797.02800  2199.65         73    1206    573.7340     41.670   43.474
640           6   0.649849   0.824665   1.581940  -1664.310000  -1150.21000  2199.68         73    1206    573.7340     41.670   43.474
641           6   3.073800   3.273860   5.402710   -778.089000   -845.67600  2199.90         73    1206    573.7340     41.670   43.474
659           6   0.103437   0.216737   0.150439   -679.458000    879.43500  2199.90         73    1206    573.7340     41.670   43.474
678           6   0.082839   0.063185   0.071573    228.145000    -81.35310  2200.00         73    1206    573.7340     41.670   43.474
681           6   0.087490   0.084822   0.357077   -842.974000  -1444.94000  2199.78         73    1206    573.7340     41.670   43.474
685           6   1.423880   1.333690   2.020390    338.889000   -342.62900  2199.98         73    1206    573.7340     41.670   43.474
695           6   6.077410   5.779140   9.182660   -177.059000   -486.97200  2199.98         73    1206    573.7340     41.670   43.474
696           6   0.007760   0.076072   0.126014  -1970.170000  -3046.80000  2198.97         73    1206    573.7340     41.670   43.474
719           6   0.617062   0.929270   1.301200  -2606.960000     79.96840  2199.47         73    1206    573.7340     41.670   43.474
726           6  -1.345460  -0.179020   1.938010    867.383000  -5476.70000  2197.59         75    1206    194.3870     35.994  173.152
728           6   0.047582  -0.005278   0.152403    -31.613100  -2353.65000  2199.57         76    1206     87.7014     23.621  -50.669
736           6   0.125549  -0.107892   0.344415   1174.430000  -3550.25000  2198.90         76    1206     87.7014     23.621  -50.669
740           6  -1.331480  -2.851380   3.358480   -216.967000   -534.88800  2199.97         77    1206   4245.4700     42.367 -114.469
791           6  -2.772700  -6.396790   7.828240    228.209000    -52.59350  2200.00         77    1206   4245.4700     42.367 -114.469
854           6  -0.710379  -1.681470   2.742830    580.213000    392.97800  2199.96         77    1206   4245.4700     42.367 -114.469
865           6  -0.749553  -1.372000   1.646440   -999.649000    290.08900  2199.92         77    1206   4245.4700     42.367 -114.469
866           6  -2.065160  -4.424640   5.735380    282.929000    400.03100  2199.98         77    1206   4245.4700     42.367 -114.469
867           6 -12.535900 -27.327200  32.438300   -112.268000   -336.79400  2199.99         77    1206   4245.4700     42.367 -114.469
868           6  -0.341377  -0.204392   0.440668  -5328.950000    793.01300  2197.72         77    1206   4245.4700     42.367 -114.469
874           6  -0.379628  -0.984687   1.786090   1859.350000   3221.59000  2198.91         77    1206   4245.4700     42.367 -114.469
876           6  -6.723290 -14.027000  16.624800   -341.768000   -410.90800  2199.98         77    1206   4245.4700     42.367 -114.469
878           6  -1.787440  -3.468260   4.583990    117.312000    958.68500  2199.93         77    1206   4245.4700     42.367 -114.469
883           6  -1.665190  -3.453740   4.335220   -267.676000    248.25400  2199.99         77    1206   4245.4700     42.367 -114.469
884           6  -2.864220  -5.595740   6.788260   -524.903000   -351.22700  2199.97         77    1206   4245.4700     42.367 -114.469
893           6  -0.233948  -0.615219   0.900877    678.702000    606.15200  2199.94         77    1206   4245.4700     42.367 -114.469
894           6  -0.486849  -1.007400   1.287130    292.350000     24.63130  2199.99         77    1206   4245.4700     42.367 -114.469
961           6  -9.790700 -21.058800  26.017400     -3.933420      2.05377  2200.00         77    1206   4245.4700     42.367 -114.469
970           6  -1.505310  -2.977950   3.622400   -543.501000   -178.04100  2199.97         77    1206   4245.4700     42.367 -114.469
986           6   0.020722  -0.082006   0.130928   1394.280000  -1069.83000  2199.76         77    1206   4245.4700     42.367 -114.469
994           6   0.130751  -0.153046   0.099888   1520.110000   -906.27900  2199.75         77    1206   4245.4700     42.367 -114.469
1004          6   0.001513  -0.123410   0.093873    750.058000  -1124.25000  2199.86         77    1206   4245.4700     42.367 -114.469
1080          6  -1.007490  -2.117320   2.642600     29.569900   -151.81100  2200.00         77    1206   4245.4700     42.367 -114.469
1098          6  -1.181770  -2.838310   3.564030    165.563000   -110.48300  2200.00         77    1206   4245.4700     42.367 -114.469
1099          6  -0.225682  -0.372082   0.687563    660.902000   1343.01000  2199.82         77    1206   4245.4700     42.367 -114.469
1117          6 -11.478100 -25.266800  30.575500    -12.135800   -121.15200  2200.00         77    1206   4245.4700     42.367 -114.469
1118          6  -2.562550  -4.292740   4.968510  -1098.530000   -612.37600  2199.88         77    1206   4245.4700     42.367 -114.469
1120          6  -1.075410  -2.637880   3.395200    428.362000    135.99300  2199.98         77    1206   4245.4700     42.367 -114.469
