Tabla para CorsikaId 6:
     CorsikaId        px         py         pz          x         y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
64           6   3.48640  -5.483170   2.050460   3387.550 -4152.900  2197.75          2    1206     1051.43     75.681  -56.477
65           6   1.07630  -1.525580   0.623308   6163.850 -5403.320  2194.73          2    1206     1051.43     75.681  -56.477
68           6  34.45030 -31.672600   7.457420  -3107.190  1689.530  2199.02          4    1206     2337.30     81.868  -42.119
69           6   6.74205  -6.043220   1.729430  -1819.500  4569.150  2198.10          4    1206     2337.30     81.868  -42.119
70           6  10.22210  -9.662980   2.831210 -11967.000  8112.090  2183.60          4    1206     2337.30     81.868  -42.119
71           6   4.44220  -3.973350   0.938469   6797.760 -2021.160  2196.05          4    1206     2337.30     81.868  -42.119
157          6 -16.68090  17.465700   6.950150  -2742.080  1040.920  2199.33          7    1608     2809.80     72.953  134.006
159          6 -14.07070  14.952800   5.929210   1323.240 -1461.710  2199.70          7    1608     2809.80     72.953  134.006
165          6  -4.30255   4.614350   1.860420    286.627 -1119.580  2199.90          7    1608     2809.80     72.953  134.006
167          6 -24.94080  26.278200  11.164500   2574.520 -3377.460  2198.59          7    1608     2809.80     72.953  134.006
168          6  -7.16551   8.111380   2.780970  -4480.490  4947.470  2196.50          7    1608     2809.80     72.953  134.006
169          6  -5.59854   5.930420   2.532780   2595.590 -3553.650  2198.48          7    1608     2809.80     72.953  134.006
179          6  -4.18694  -3.420200   1.775460  -2176.900 -3012.200  2198.92         16    2412     2181.73     73.780 -138.683
181          6  -2.80411  -2.275480   1.241480   1040.770   824.695  2199.86         16    2412     2181.73     73.780 -138.683
259          6  -9.83538  -8.438550   4.039940  -1422.200 -3198.030  2199.04         16    2412     2181.73     73.780 -138.683
288          6  -1.70709  -1.291270   0.706469  -1221.540 -3011.340  2199.17         16    2412     2181.73     73.780 -138.683
289          6  -1.04707  -0.808928   0.522604  -1221.660 -2854.800  2199.24         16    2412     2181.73     73.780 -138.683

