Tabla para CorsikaId 13:
      CorsikaId        px        py         pz             x             y          z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
0            13  0.066284  0.078115   0.504795   21745.50000   -9874.07000   2155.250          1     703    100.2770     64.034 -171.110
1            13  0.099091 -0.148471   0.397429   -1984.00000   -5711.65000   2197.130          2     703    214.0730     48.577  -14.098
10           13  0.195655  0.027596   0.350979    9394.42000    -578.01400   2193.050          3     703    180.0230     51.574  173.528
13           13  0.109558  0.011796   0.357479   -3401.22000     201.10500   2199.090          4     703     37.6483     44.165  -43.167
44           13 -0.027434 -0.120066   0.523274     889.30800    -822.45300   2199.880          5     703    227.9390     26.090  169.614
60           13 -0.391950  0.194049   0.881811      -5.28578     323.14900   2199.990          5     703    227.9390     26.090  169.614
114          13 -0.036746  0.030393   0.360412    1225.62000   -2954.81000   2199.200          8     703     62.3915     32.371  126.726
121          13 -0.227431 -0.343290   0.603440  -10505.80000  -18382.60000   2164.830         13     703     15.8377     22.577  -27.781
122          13  0.117750  0.494057   1.456660   -3660.74000  -22294.80000   2159.950         14     703     13.3921     37.279   83.284
136          13 -0.251956  0.180758   0.458070    -773.23200   -8750.28000   2193.950         18    1206     38.4794      6.835  118.091
144          13  0.188592  0.307976   0.560605    3968.91000    1334.79000   2198.620         22    1206    194.9910     19.654  129.310
155          13  0.452526 -0.811298   1.464210    2370.68000   -9539.93000   2192.420         25    1206     54.6857     30.630  -78.221
156          13  0.049270 -0.237552   0.302721    6997.73000  -28920.70000   2130.540         26    1206     35.3224     41.640  118.012
157          13  0.180396 -0.201368   0.491350  -44594.80000   17795.10000   2019.140         27    1206    281.8170     69.843  -25.579
186          13  0.007783 -0.136092   0.470855    6507.52000  -10272.20000   2188.400         33    1206     64.0084     12.966 -159.635
187          13 -0.051183 -0.285236   0.385916    -598.76200   -3213.93000   2199.160         33    1206     64.0084     12.966 -159.635
190          13 -0.050173  0.145732   0.318040    3203.08000   -4387.73000   2197.680         36    1206     49.8028     19.230  113.627
194          13  0.117169 -0.178614   0.712427    -215.10300   -5907.45000   2197.260         37    1206     90.0717     26.546  165.913
195          13 -0.306299  0.033787   0.391316     106.93400   -3535.86000   2199.020         38    1206    103.2820     24.470  122.233
200          13 -0.236316  0.089836   0.438334    1896.98000   -5352.28000   2197.470         39    1206     58.5675      8.276 -108.664
219          13 -0.299923 -0.599006   0.475375    -257.26100   -6255.98000   2196.920         40    1206    121.2740     34.533 -125.392
225          13  0.237544 -0.153649   0.432237      34.26110   -5531.14000   2197.600         42    1206     79.7072     25.800   93.023
226          13  0.257393  0.065586   0.410626      48.60140   -5435.52000   2197.680         42    1206     79.7072     25.800   93.023
227          13 -0.192587 -0.069877   0.302932   -3041.44000   -6624.05000   2195.830         42    1206     79.7072     25.800   93.023
331          13 -0.105755 -0.246330   1.254630    -200.60400   -1654.03000   2199.780         44    1206    243.1040      5.162 -124.563
342          13 -0.188714  0.321635   0.564163   -4199.39000   -1861.52000   2198.340         46    1206    103.3080     17.280   31.552
350          13  0.029969 -0.070865   0.913365    -963.72600   -3464.42000   2198.990         46    1206    103.3080     17.280   31.552
362          13  0.715882  0.524631   0.812617    1770.67000   -1947.21000   2199.460         46    1206    103.3080     17.280   31.552
389          13 -0.340690 -0.387288   0.083429     655.49600   -5299.72000   2197.760         47    1206    119.2090     35.372 -136.987
394          13 -0.070361  0.190215   0.310569    1156.07000   -2303.94000   2199.480         47    1206    119.2090     35.372 -136.987
412          13  0.246547 -0.088112   0.653906     729.32200   -9619.01000   2192.700         49    1206    131.2620     36.911   73.587
413          13 -0.009808 -0.138052   0.522870    1226.46000   -7650.40000   2195.290         50    1206     55.6678     12.845  -28.387
414          13  0.172909  0.355191   0.326897    2215.99000   -1762.70000   2199.370         51    1206     68.5405      8.560  162.928
416          13 -0.024163 -0.276342   0.154267     -82.92690   -5976.90000   2197.200         51    1206     68.5405      8.560  162.928
419          13 -0.112406  0.007079   0.370654  -13349.00000    6050.54000   2183.150         52    1206    186.6090     50.686  -40.289
423          13 -0.203718  0.274775   0.558837    -780.84300   -2545.52000   2199.440         54    1206    110.8310     28.420 -153.190
424          13  0.091859 -0.353049   0.454707   -1138.08000   -5326.23000   2197.670         54    1206    110.8310     28.420 -153.190
425          13 -0.023927  0.075249   0.418152    -485.87300      21.41410   2199.980         54    1206    110.8310     28.420 -153.190
429          13  0.208551  0.070929   0.299637   -2596.34000     562.13700   2199.450         55    1206    349.1450     43.015   35.283
505          13  0.232836  0.008802   0.403277     379.43400   -1685.32000   2199.770         60    1206    259.4520     35.023   40.725
508          13 -0.112040 -0.054744   0.286400   -5812.80000  -22073.90000   2159.120         63    1206     17.9014     38.464   18.245
510          13 -0.305234  0.167632   0.350632    -692.62100    -863.33000   2199.900         64    1206    429.5540     30.718  141.373
512          13  0.025848  0.348932   0.572758     575.36800    -454.05500   2199.960         64    1206    429.5540     30.718  141.373
543          13 -0.384182  0.019006   0.419164    -663.92700    -989.38800   2199.890         64    1206    429.5540     30.718  141.373
569          13 -0.550775  0.148392   0.953729    1133.54000  -12434.60000   2187.770         65    1206    126.5510     49.036  122.209
575          13  0.007124  0.149763   0.427726   32133.10000  -69620.00000   1738.740         68    1206     24.0736     63.184  136.952
576          13  0.151232  0.031116   0.387241   10876.00000  -15766.80000   2171.220         69    1206     60.9824     47.217  140.150
578          13  0.532751  0.129657   0.774890   -8983.35000  -13694.40000   2178.960         70    1206     29.6157     45.794   20.843
579          13 -0.236268 -0.107568   0.333628    -365.66300  -10893.30000   2190.680         71    1206     71.7977     46.592 -121.806
580          13 -0.018854  0.025127   0.496030   11237.50000   -4338.77000   2188.620         72    1206    197.5150     27.878  141.033
635          13  0.180495  0.271953   0.200837     -13.30200   -5554.64000   2197.580         73    1206    573.7340     41.670   43.474
656          13  0.140308  0.583878   0.230147     545.05100    4632.60000   2198.290         73    1206    573.7340     41.670   43.474
676          13  0.034894 -0.291884   0.173357     291.39000   -3205.50000   2199.190         73    1206    573.7340     41.670   43.474
679          13  0.238470 -0.111425   0.197480     240.62900   -2249.99000   2199.600         73    1206    573.7340     41.670   43.474
690          13 -0.004697  0.275449   0.210905   -4453.46000   -3409.99000   2197.530         73    1206    573.7340     41.670   43.474
691          13 -0.264756 -0.245325   0.352900   -4603.98000   -3823.77000   2197.190         73    1206    573.7340     41.670   43.474
697          13  0.424989  0.108666   0.713708     -90.00120   -3424.69000   2199.080         73    1206    573.7340     41.670   43.474
700          13 -0.278316  0.318495   0.339808   -3479.38000    -964.28300   2198.980         73    1206    573.7340     41.670   43.474
701          13  0.815785  0.210753   1.026890    -300.61500   -2493.90000   2199.500         73    1206    573.7340     41.670   43.474
720          13 -0.154257  0.220850   0.372773   -5274.10000    -725.51200   2197.780         73    1206    573.7340     41.670   43.474
729          13  0.154850  0.153209   0.385103    2189.93000   -3258.41000   2198.790         76    1206     87.7014     23.621  -50.669
995          13 -0.305754 -1.279080   1.272720    1071.53000    -831.70300   2199.860         77    1206   4245.4700     42.367 -114.469
1044         13 -0.307630 -0.049574   0.350644     340.65500    1338.13000   2199.850         77    1206   4245.4700     42.367 -114.469
1119         13 -0.742838 -0.446149   1.070540   -1000.44000     679.12500   2199.890         77    1206   4245.4700     42.367 -114.469
1207         13 -0.123896  0.122079   0.280792    -173.62600     497.27600   2199.980         77    1206   4245.4700     42.367 -114.469
1244         13 -0.024735 -0.161127   0.527222     921.16100    1285.42000   2199.800         77    1206   4245.4700     42.367 -114.469
1245         13  0.234439 -0.135208   0.301755    1904.09000     869.55300   2199.660         77    1206   4245.4700     42.367 -114.469
1266         13 -1.488780 -4.554310   5.025820    -128.20800    -232.58000   2199.990         77    1206   4245.4700     42.367 -114.469
1374         13 -0.025129 -0.204225   0.330196   -2783.06000    2785.77000   2198.780         77    1206   4245.4700     42.367 -114.469
1404         13 -0.107443 -0.242380   0.333909   -2518.55000       6.58768   2199.500         77    1206   4245.4700     42.367 -114.469
1689         13 -0.028665 -0.130292   0.908292   -1494.29000   -8526.52000   2194.120         80    1206    115.5860      3.555   -0.462
1722         13 -0.169521  0.104708   0.273921    -325.72500   -6217.05000   2196.960         86    1206     43.8420     10.482   21.244
1729         13 -0.072599 -0.331371   0.464861    5348.62000   -4673.21000   2196.040         90    1206    141.8440     33.536 -160.779
1730         13  0.102931 -0.454551   0.948206    8138.74000   -2633.82000   2194.260         90    1206    141.8440     33.536 -160.779
1743         13  0.084247 -0.184609   0.380228    2765.24000  -10763.60000   2190.310         93    1206     21.3286     14.315 -127.413
1791         13 -0.195823 -0.096789   0.494533   -2567.76000   -7183.85000   2195.430         96    1206    262.9110     15.553   82.536
1828         13 -0.068150  0.227600   0.535745   -7340.94000  -15661.40000   2176.530         99    1206     24.1309     29.515   26.174
1829         13  0.160434 -0.221203   0.246598   -7091.17000   -9527.88000   2188.930        100    1206    160.0120     59.019   -5.654
1845         13 -0.177120  0.013778   0.292439    2468.57000     961.35100   2199.450        103    1206    770.3740     42.635 -135.066
1847         13  0.033879 -0.209996   0.410350    -651.58200   -1552.41000   2199.780        103    1206    770.3740     42.635 -135.066
1855         13 -0.424828  0.487539   0.273201    3678.88000    2801.76000   2198.320        103    1206    770.3740     42.635 -135.066
1874         13 -0.182560 -0.633538   1.548430    3345.28000    2592.33000   2198.590        103    1206    770.3740     42.635 -135.066
1885         13 -0.089134 -0.277327   0.160653     632.14600    -889.28400   2199.910        103    1206    770.3740     42.635 -135.066
1917         13 -0.086143  0.019678   0.534452     598.19000    -225.52400   2199.970        103    1206    770.3740     42.635 -135.066
1950         13 -0.000640  0.247482   0.757485     848.31500      56.16880   2199.940        103    1206    770.3740     42.635 -135.066
1961         13 -0.053973 -0.512120   0.644617    1533.80000    -601.61500   2199.790        103    1206    770.3740     42.635 -135.066
2031         13 -0.022869 -0.030353   0.449664   -7118.61000   -9137.55000   2189.470        104    1206     55.0901     31.812   32.886
2041         13  0.304613 -0.087810   0.539991    1688.80000   -2457.09000   2199.300        108    1206    165.3100      6.940 -178.113
2062         13 -0.149854  0.050534   0.488512   -1993.90000   -1775.09000   2199.440        108    1206    165.3100      6.940 -178.113
2086         13  0.244683  0.196671   0.151477   -1202.06000   -3301.89000   2199.030        110    1206    383.7660     54.257   17.872
2090         13  0.213667  0.075573   0.223067  -11754.90000   -2466.20000   2188.680        110    1206    383.7660     54.257   17.872
2094         13 -0.064058 -0.145645   0.295718    2631.51000   -3060.08000   2198.720        114    1206     74.9166     32.699  -67.108
