Tabla para CorsikaId 13:
        CorsikaId         px         py         pz             x              y         z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
11             13  -0.016694   0.234733   0.637778   3729.650000    5105.200000  2196.860          4     703   112.38800     29.800 -156.865
12             13   0.074112   0.200792   0.465049   3950.720000    5439.750000  2196.450          4     703   112.38800     29.800 -156.865
218            13   0.480154   1.279400   1.335480  -1490.800000    -679.726000  2199.790         12     703   175.28300     27.672   38.166
237            13   0.126925   0.268092   0.502556   -818.452000    -381.394000  2199.940         12     703   175.28300     27.672   38.166
254            13   0.102067   0.115094   0.295756   1611.550000   -5560.720000  2197.370         12     703   175.28300     27.672   38.166
276            13   0.058199   0.150196   0.491085   -238.572000   -1303.480000  2199.860         12     703   175.28300     27.672   38.166
305            13   0.359560   0.192596   0.805469  -2405.490000   -1579.460000  2199.350         14     703    58.12710     25.606   18.291
306            13  -0.236262  -0.431733   0.129447  -2630.240000   -2043.070000  2199.130         14     703    58.12710     25.606   18.291
337            13  -0.172212   0.374386   0.599090 -11084.100000  -10765.900000  2181.270         17     703    33.62410     37.649   78.802
340            13  -0.041633  -0.164252   0.472611   2237.550000   -3269.680000  2198.770         18     703    54.65220     17.524 -167.720
343            13  -0.072112  -0.133610   0.474675      2.261970   -4459.110000  2198.440         20     703    48.16340      9.622 -145.551
344            13  -0.010382  -0.126884   0.352876  -1677.190000    9843.740000  2192.180         21     703    27.08850     45.234  -72.080
348            13  -0.225110  -0.078014   0.509565  -2300.140000   -4161.440000  2198.230         22     703    68.02760     10.800 -165.655
349            13  -0.148180   0.210538   0.223241 -65690.500000  -30423.800000  1788.840         23     703    17.96300     64.711   25.611
350            13  -0.130383   0.303877   0.456734    502.708000     384.992000  2199.970         24     703    30.13810     14.145   70.430
380            13   0.319691  -0.119987   0.589941   -207.726000   -5323.250000  2197.770         30     703    32.52030     36.202  -33.750
382            13  -0.219252   0.018072   0.373619   -129.833000  -13988.000000  2184.650         32     703    14.72280     11.503 -115.068
387            13   0.014849   0.315584   0.460204  -3740.980000   -8606.040000  2193.090         34     703    21.61500     20.617   54.221
390            13  -0.132988  -0.021786   0.359002  -5464.070000   -8175.960000  2192.410         35     703   112.52800     31.871   59.731
391            13   0.324658   0.546182   0.803173  -2191.610000     -65.337200  2199.620         35     703   112.52800     31.871   59.731
410            13   0.329184   0.660879   1.257250  -3241.120000   -2248.010000  2198.780         37     703   147.20700     28.639   41.213
