Tabla para CorsikaId 13:
       CorsikaId        px        py        pz           x             y            z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
17            13 -0.192024  0.050090  0.533384  -62648.600 -1.556420e+05     -8.68380          4     703    17.76560     73.730   68.879
35            13 -0.087109 -0.238115  0.360443   41257.100 -2.291540e+05  -2054.47000          7     703    12.70430     76.362  107.523
39            13 -0.081454 -0.088383  0.391303   39484.600  9.269640e+03   2070.95000          9     703   171.30200     75.403 -144.923
52            13 -0.204731  0.227396  0.190622   40298.400 -4.145430e+04   1937.78000         17     703   101.56900     75.573  142.156
56            13  0.158995  0.024218  0.429082   28432.700 -8.313650e+04   1594.33000         20     703    27.60710     70.602  117.106
76            13 -0.160141  0.040916  0.537955   51161.800 -2.840900e+03   1994.02000         25     703   482.06000     72.566  175.880
84            13  0.166343  0.021992  0.417918   -4573.550  5.277280e+03   2196.17000         29     703   272.50800     70.384  -41.543
85            13  0.181360 -0.228939  0.176188  -20820.100 -1.405450e+05    616.18200         30     703    14.16880     71.036   88.653
116           13 -0.065874  0.055905  0.300934 -335705.000 -3.137310e+05 -14384.20000         40     703    14.40090     84.187   44.335
138           13 -0.368225  0.108723  0.625782  166875.000 -3.460590e+04    -78.96710         44     703    66.55690     83.300  168.755
145           13  0.017196  0.093257  0.427766   91533.200 -3.622880e+05  -8763.43000         49     703    14.64080     81.608  108.838
147           13 -0.109265 -0.196599  0.280796  233600.000 -5.230250e+05 -23593.50000         50     703   204.01800     89.172  115.653
153           13  0.004115  0.127069  0.298647   -5707.610 -5.648060e+04   1947.18000         53     703    55.58830     70.103   91.268
188           13 -0.091470  0.237568  0.526228  204530.000 -2.739950e+05  -6977.84000         61     703    15.14820     81.600  132.368
189           13  0.139169 -0.128173  0.247197  -80595.200 -4.504010e+04   1531.24000         62     703    89.16260     76.529   26.017
218           13  0.045380  0.283835  0.425128  153799.000 -3.657600e+05 -10162.70000         71     703     7.90217     79.652  117.907
415           13 -0.170388  0.199997  0.295395   53088.700 -8.438260e+04   1420.25000         83     703    29.46320     73.020  136.971
416           13  0.063164  0.342146  0.413259 -296239.000 -4.620840e+05 -21479.20000         84     703     9.56578     84.411   57.348
418           13 -0.284548 -0.086785  0.324238   27985.100 -1.720890e+05   -185.13000         86     703    15.90660     74.599  105.853
419           13  0.033207  0.380850  0.473534   28476.000 -1.698070e+05   -126.09700         86     703    15.90660     74.599  105.853
429           13 -0.048938  0.160104  0.466064  159257.000 -3.694860e+05 -10512.30000         88     703    12.29290     81.900  116.838
593           13  0.171157  0.067696  0.314413  -84588.100 -2.759370e+05  -4337.91000         98     703    25.86490     80.965   75.845
594           13 -0.298962  0.253110  0.254598   14766.600 -1.067350e+05   1289.10000         99     703    85.75760     76.221   98.411
629           13  0.251493  0.288384  0.237660  -70619.100 -3.290040e+04   1723.83000        104     703   121.36500     70.627   35.871
652           13  0.193156  0.253312  0.409737   93159.500  3.344510e+04   1431.36000        114     703   200.83700     81.208 -154.984
687           13 -0.112073 -0.113611  0.614033  -57021.000  1.394990e+04   1929.66000        121     703   311.49700     73.982   -7.423
726           13 -0.097638 -0.306737  0.402090  -59162.500 -2.065690e+05  -1423.12000        126     703    25.44050     78.019   78.239
727           13 -0.137694  0.176736  0.772284  -19853.300 -1.899110e+05   -660.93100        127     703    15.66540     73.665   87.021
732           13 -0.171488 -0.058025  0.501188  -95457.500 -1.724070e+05   -847.41000        131     703    66.04780     77.480   66.837
752           13  0.278927  0.199534  0.538874  -40296.900 -2.858750e+04   2008.49000        137     703   326.52000     76.710   37.710
819           13 -0.088557 -0.019302  0.421932   -3585.150 -2.566170e+05  -2969.18000        152     703    11.61180     76.301   93.252
824           13 -0.058220  0.126515  0.412091  -50634.400 -3.041150e+05  -5261.00000        155     703     7.91416     76.548   83.912
825           13 -0.240012 -0.252350  0.202103 -201969.000 -1.123760e+05  -1992.14000        156     703    10.14670     77.646   27.224
837           13 -0.296005  0.006314  0.319418  -31430.000 -2.134220e+04   2086.77000        160     703   792.32900     77.044   30.160
838           13 -0.041333  0.049053  0.330663  -87626.400 -9.338510e+04    913.36100        161     703    39.99040     75.471   47.329
846           13 -0.282685  0.126354  0.321915   78479.100 -2.038590e+05  -1544.52000        166     703     9.81278     74.841  119.847
847           13 -0.160436 -0.317581  0.435285   62311.500 -1.192740e+05    779.19400        167     703    55.53650     77.246  124.866
891           13  0.333944  0.051369  0.273414  -41623.000 -3.684020e+04   1957.61000        184     703   121.56100     73.024   43.440
896           13 -0.255249  0.529446  0.712457    2365.500 -1.539370e+05    340.29900        188     703    21.25380     74.549   96.942
898           13 -0.237783 -0.051374  0.318062  267424.000 -9.034450e+05 -67826.60000        190     703    10.50200     89.288  109.177
919           13  0.100160  0.017799  0.549357 -179633.000 -3.508140e+05  -9997.93000        198     703     8.99261     80.607   64.128
989           13 -0.223544  0.095738  0.468873 -415969.000 -3.326330e+05 -20093.20000        202     703    11.68040     84.879   39.753
991           13  0.045719  0.040845  0.665497 -132561.000 -1.196440e+05   -302.02200        204     703    12.46470     74.530   42.736
1109          13  0.046520 -0.190140  0.277530  -13396.100  8.016560e+03   2180.88000        214     703    35.19760     70.339  -17.599
1110          13 -0.164538  0.167439  0.238362  -13476.100  8.190770e+03   2180.49000        214     703    35.19760     70.339  -17.599
1168          13 -0.101171  0.189404  0.391514 -137161.000 -9.885670e+04    -42.93760        224     703    13.64940     74.324   38.208
1176          13 -0.009387  0.067547  0.310928 -259341.000 -1.794210e+04  -3103.81000        229     703    98.65020     85.474    4.433
1191          13  0.252042 -0.140581  0.378622    2420.380  3.798910e+03   2198.41000        236     703   356.60000     73.422  -93.330
1342          13  0.273473 -0.075236  0.348383  -68643.000 -1.777610e+05   -649.19500        250    1206    20.21430     71.805   68.191
1347          13 -0.399546 -0.109845  0.103273  -78705.500 -2.290290e+05  -2402.64000        254    1206    41.83210     79.420   75.045
1490          13  0.344704  0.037237  0.442422  -81609.000 -9.531340e+04    964.71500        258    1206    30.64110     71.922   48.637
1502          13  0.157298  0.193968  0.194679  -69115.400 -2.434260e+04   1778.75000        263    1206    80.53260     72.009   21.037
1549          13 -0.180100 -0.097020  0.384775  -85312.500 -6.524760e+04   1294.98000        269    1206    41.15400     70.175   36.255
1561          13  0.006253 -0.157103  0.306830   51981.600  1.959880e+04   1957.88000        273    1206   541.02200     78.554 -134.508
1563          13  0.177807  0.069451  0.434550 -204741.000 -3.305460e+05  -9671.01000        274    1206    37.06020     82.913   59.979
1578          13  0.050655  0.223364  0.476173   67856.700 -3.311790e+05  -6771.83000        280    1206    35.86180     81.308  105.017
1579          13 -0.055398 -0.259901  0.359080 -115724.000 -1.608510e+04   1129.02000        281    1206    48.30450     78.224    5.924
1587          13 -0.081160 -0.209588  0.496700 -364856.000 -3.346120e+05 -17055.90000        284    1206    29.43770     84.869   43.759
1594          13  0.030444  0.009981  0.369944  -32530.400 -2.668450e+05  -3471.64000        288    1206    19.71560     76.410   88.268
1601          13 -0.061810 -0.180368  0.624968  106382.000 -1.524550e+05   -511.77700        293    1206    17.05930     74.365  156.108
1608          13 -0.004261  0.110250  0.345493    1663.590 -6.821480e+04   1834.73000        298    1206   128.08800     72.213   99.291
1609          13 -0.030777 -0.000182  0.310257 -509889.000  3.533390e+05 -28062.10000        299    1206    20.17450     88.230  -32.803
1627          13  0.123445 -0.088245  0.417510  -20216.500 -5.022280e+05 -17650.60000        306    1206    39.44440     84.695   90.161
1636          13  0.103088  0.924333  0.782119 -327938.000 -6.041660e+05 -34980.60000        310    1206    70.03010     88.449   62.625
1641          13  0.002847  0.211705  0.410050  -30241.200  5.808230e+01   2128.25000        312    1206   161.58500     70.837    8.609
1671          13  0.441570  0.116569  0.832620  428384.000 -8.467810e+05 -68843.80000        317    1206    29.14930     89.885  118.882
1810          13  0.270273  0.172580  0.626629  -37478.600 -4.080330e+03   2088.50000        321    1206    46.55670     70.894    2.263
1847          13  0.111145 -0.252656  0.227593    7569.860 -3.667330e+05  -8364.20000        324    1206    30.34940     81.751   95.549
1850          13 -0.063122 -0.321040  0.279788 -274121.000 -1.440150e+05  -5326.41000        327    1206    20.39370     80.073   29.806
1851          13  0.171648  0.169931  0.479894  -12953.100 -1.854670e+05   -512.24200        328    1206    35.27520     75.399   89.922
2148          13  0.180364 -0.031679  0.591666 -108461.000 -4.380620e+04   1126.50000        335    1206    64.49200     76.407   22.063
