Tabla para CorsikaId 14:
        CorsikaId         px         py         pz             x            y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
8              14  -0.688744   0.408903   0.928292    414.891000  -2276.06000  2199.58          2     703    80.84180     26.386  140.880
238            14   0.038019   0.170430   0.314512   -828.150000   -380.69200  2199.93         12     703   175.28300     27.672   38.166
277            14  -0.043041   0.226894   0.610432   -399.856000  -1241.99000  2199.87         12     703   175.28300     27.672   38.166
381            14  -0.751369   0.191405   0.682661   1959.200000  -6870.47000  2196.00         31     703   100.64600     51.854  154.655
693            14  -0.001867  -0.059496   0.312561    698.372000  -2063.43000  2199.63         69     703    41.32720     10.406  163.194
698            14  -0.059617  -0.034219   0.379205   -983.055000 -16896.20000  2177.53         73     703    11.73590     13.728   55.756
751            14   0.688545  -0.255189   3.887550    253.711000  -1938.29000  2199.70         75     703   136.47600      5.727   87.401
859            14  -0.296006  -0.612937   0.733538  -1310.580000  -3271.84000  2199.03         77     703   335.30300     10.425 -117.040
898            14  -0.519585   0.385854   1.251290   1092.040000  -9575.09000  2192.71         85     703    40.03460     42.216  130.527
916            14  -0.349839  -0.382286   0.553859   -282.514000  -3057.83000  2199.26         89     703    94.25720     39.337 -143.433
1234           14   0.767739  -0.790366   0.847696    250.137000   -114.39100  2199.99         90     703  1972.53000     45.119  -72.583
1400           14  -0.170533  -0.170496   0.510327  -1487.730000   -488.35600  2199.81         92     703   127.00300     28.859  -59.101
1482           14   0.473948  -0.133334   1.249070   2104.540000  -9051.26000  2193.23        106     703    17.79140     36.373  -18.042
1787           14  -0.082187   0.028127   0.506146  -1556.210000   1777.29000  2199.56        129     703   680.37100     26.587 -179.027
1858           14  -0.204092  -0.340877   0.933507    150.560000  -1554.45000  2199.81        129     703   680.37100     26.587 -179.027
1937           14  -0.173528   0.101143   0.687234    223.005000  -1548.23000  2199.81        133     703   101.47200     15.764  172.200
1964           14   0.076513   0.054395   0.772534  -4183.950000  -8739.45000  2192.63        139     703    16.11300     19.097   51.792
2096           14   0.195675  -0.919133   2.194700   2824.180000  -1587.65000  2199.18        153     703   240.08600     24.773  -71.278
2176           14   0.081855  -0.282111   0.553781    -85.666500  -1905.19000  2199.71        156     703   696.79100     35.693 -117.474
2204           14  -0.051353  -0.917964   1.014630   -300.594000  -1737.64000  2199.76        156     703   696.79100     35.693 -117.474
2415           14  -0.323120   0.762748   1.005650   -816.866000  -2397.33000  2199.50        180     703   117.74800     31.476  109.956
2488           14   0.052736  -0.071048   0.334037    174.238000  -1252.76000  2199.87        189     703   221.17000      8.094 -134.840
2535           14   0.141803  -0.068436   0.491498    426.908000   -667.66100  2199.95        189     703   221.17000      8.094 -134.840
2547           14  -0.320732  -0.343010   1.958010   -117.175000  -2056.34000  2199.67        192     703    71.44560     16.492 -114.142
2620           14  -0.064947  -0.194883   0.283545    100.416000  -4140.75000  2198.65        198     703   112.39300     50.520  -75.639
2745           14  -0.704706  -0.365434   0.989198   -371.845000  -3521.85000  2199.02        213     703    56.47290     16.495 -171.900
2905           14   0.331007  -0.443504   2.382390    366.227000  -1202.63000  2199.88        236     703   653.29900     19.655  153.141
3176           14  -0.511627   0.198751   1.823320   -745.767000   -126.94700  2199.96        248     703   520.15400     21.333   95.729
3587           14  -0.150839  -0.242120   0.206146   -760.639000  -1349.49000  2199.81        264     703  1076.00000     24.359 -110.059
3831           14   1.630100   0.995281   2.056180  -1215.120000     76.67300  2199.88        269     703   645.28400     43.490   14.776
4035           14  -0.194478  -0.042805   0.384384  -2543.350000  -5052.99000  2197.49        298     703   123.47000     25.691 -150.178
4082           14  -0.255787   1.918550   3.323620   -870.600000    714.04900  2199.90        301     703   242.99900     25.476   53.901
4139           14  -0.724321  -0.596606   2.068830    560.854000  -1319.05000  2199.84        307     703   161.89000     24.338 -143.663
4405           14   0.212256  -0.589524   1.655810    555.731000  -8002.90000  2194.95        331     703    24.52570     19.858  -31.960
4526           14  -0.040823   0.528565   0.673152    951.022000   -866.49600  2199.87        355     703    80.66470     26.977  146.873
4531           14  -0.210444  -0.100634   0.569925  -1583.670000 -10241.70000  2191.57        357     703    22.21090     20.632  115.583
4651           14  -0.433857   0.094252   0.718229   -806.290000    619.07200  2199.92        370     703   204.47500     25.262 -139.075
