Tabla para CorsikaId 14:
      CorsikaId        px        py         pz           x          y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
46           14 -0.614335  0.349236   0.807072   -893.8090    291.715  2199.93          5     703    227.9390     26.090  169.614
146          14 -0.080401  0.383264   0.844469   -573.5440   -821.778  2199.92         22    1206    194.9910     19.654  129.310
313          14 -0.260710 -0.379303   1.094270   -379.9340  -1581.080  2199.79         44    1206    243.1040      5.162 -124.563
330          14  0.042088  0.100894   1.223200   -221.4420  -1589.870  2199.80         44    1206    243.1040      5.162 -124.563
388          14  0.212483 -0.172925   0.201483    814.6600  -5182.470  2197.84         47    1206    119.2090     35.372 -136.987
390          14 -0.156501 -0.413570   1.495970    785.8930  -4455.120  2198.39         47    1206    119.2090     35.372 -136.987
460          14 -0.296128  0.149857   0.296281   -473.6060 -15480.400  2181.18         58    1206     27.7465     21.902  157.442
680          14  0.383467  0.087059   0.810581   -628.9530  -1522.310  2199.79         73    1206    573.7340     41.670   43.474
1064         14 -0.706113 -1.162390   3.013530    490.0140    490.080  2199.96         77    1206   4245.4700     42.367 -114.469
1208         14 -0.240774 -0.060480   0.243199   -358.2320    269.379  2199.98         77    1206   4245.4700     42.367 -114.469
1209         14 -0.592055 -2.049630   1.449890   -162.5170   -124.350  2200.00         77    1206   4245.4700     42.367 -114.469
1225         14 -0.109448 -0.323812   0.473551   1318.6000   2602.660  2199.33         77    1206   4245.4700     42.367 -114.469
1886         14 -0.154764 -0.417530   0.458219    593.5010   -725.934  2199.93        103    1206    770.3740     42.635 -135.066
1949         14 -0.793677 -0.701413   1.095990    216.6240   -752.344  2199.95        103    1206    770.3740     42.635 -135.066
2040         14  0.079976  0.498004   1.871910    378.8360  -1136.990  2199.89        108    1206    165.3100      6.940 -178.113
2091         14 -0.103478 -0.074714   0.366428   -229.7820  -6631.590  2196.55        111    1206     63.9954     15.741 -129.043
2122         14  0.384442  0.085239   1.259240  -1187.9700  -4782.060  2198.10        115    1206    175.1080     25.447   72.199
2412         14 -0.274065  1.242460   1.227310  -1624.3000  -2179.680  2199.42        131    1206    595.2840     45.080   82.729
2438         14  0.139190  0.162548   0.730563    742.4350  -2492.400  2199.47        132    1206    109.8600     11.949  -53.434
2440         14  0.073377 -0.129255   0.518253    726.0960  -2510.440  2199.46        132    1206    109.8600     11.949  -53.434
2706         14 -0.220889 -0.795682   0.685432     65.7953   -727.779  2199.96        160    1608   1930.6100     49.024 -119.130
2723         14 -0.844060 -1.175490   1.023180  -1114.0200  -1275.010  2199.78        160    1608   1930.6100     49.024 -119.130
2898         14 -0.513958 -0.418582   0.690728   -449.3990    260.837  2199.98        160    1608   1930.6100     49.024 -119.130
2907         14  0.022390 -0.216068   0.665605    259.0640    215.646  2199.99        160    1608   1930.6100     49.024 -119.130
2912         14 -0.911218 -1.366850   1.046360   -479.2390   -584.435  2199.96        160    1608   1930.6100     49.024 -119.130
3077         14  0.120155  0.257285   0.763919    -77.7238  -1771.240  2199.75        165    1608    922.1230     26.690   63.958
3108         14  1.621570 -1.007520   1.615070   1876.3400   -964.994  2199.65        174    1608    634.1650     43.252  -48.010
3129         14  0.728027 -0.025728   0.445839   1703.7200   -251.180  2199.77        174    1608    634.1650     43.252  -48.010
3140         14  0.048501 -0.045145   0.381541 -43691.2000  15200.500  2032.12        176    1608    747.7790     66.939  -22.087
3200         14 -0.431932 -0.042192   0.583238   -432.5030  -2404.730  2199.53        179    1608    326.0160     28.578  137.195
3214         14 -0.817671  0.343272   1.868260   -310.4690  -2290.210  2199.58        179    1608    326.0160     28.578  137.195
3280         14  0.072678  0.141145   0.322203   -465.5550  -1799.890  2199.73        195    1608    256.0890     25.741   63.563
3456         14  0.544417 -0.123416   0.731032   -609.1660    531.978  2199.95        209    1608    430.3580      3.104  -93.892
3511         14 -0.283079  0.170008   0.597857   -126.3010   -883.713  2199.94        209    1608    430.3580      3.104  -93.892
3514         14 -0.192024  0.018390   0.405847    -33.0949   -933.595  2199.93        209    1608    430.3580      3.104  -93.892
3518         14 -0.175564 -0.694241   1.264440    -22.2426  -1070.900  2199.91        209    1608    430.3580      3.104  -93.892
3595         14  0.091243 -0.442772   2.672830    786.0740  -2970.100  2199.26        210    1608    176.8410      2.588 -104.212
3618         14  0.074439  0.050037   0.489508     99.8316  -3776.100  2198.88        215    1608    130.3790      8.203  147.999
4424         14  0.143491 -0.019986   1.614820   1832.3100  -4546.410  2198.12        254    2412    139.0130     15.169  160.003
4690         14  0.389653 -0.790343   0.654752  -2294.2800  -1055.130  2199.50        255    2412   4798.0800     55.862  -39.458
4693         14  0.453084 -0.510919   0.368787    727.3090  -1566.590  2199.77        255    2412   4798.0800     55.862  -39.458
4812         14  0.188782  0.627265   0.893875  -2684.6600   -741.716  2199.39        260    2412    521.5090     16.194   53.139
4876         14 -0.421653  0.240460   1.369610  -2131.8400  -4086.710  2198.33        263    2412    223.7910     24.152   52.345
4956         14  0.652927  0.491993   2.234820  -1060.5700    720.962  2199.87        265    2412   1944.5000     25.659   28.197
5249         14  5.325220  2.893370  12.037300    130.4590   -299.984  2199.99        265    2412   1944.5000     25.659   28.197

