Tabla para CorsikaId 1:
       CorsikaId            px            py        pz             x              y            z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
3              1  8.710570e-03  2.169430e-02  0.006161  -30050.30000  -46617.200000   1958.67000          2     703    324.7070     79.890   63.514
4              1  6.263430e-05 -6.219570e-05  0.000150  -30556.20000  -48257.000000   1944.06000          2     703    324.7070     79.890   63.514
5              1  1.440370e-02  2.247320e-02  0.005668  -29759.00000  -46636.300000   1959.90000          2     703    324.7070     79.890   63.514
6              1  1.987590e-02  5.405290e-02  0.021053  -30124.80000  -46920.000000   1956.10000          2     703    324.7070     79.890   63.514
7              1  1.710410e-03  1.173130e-03  0.001190  -29997.40000  -47094.400000   1955.41000          2     703    324.7070     79.890   63.514
8              1  4.803220e-05  5.156670e-04  0.000717  -30219.10000  -47346.200000   1952.50000          2     703    324.7070     79.890   63.514
9              1  7.533510e-03  9.406990e-03  0.004827  -29851.20000  -47126.700000   1955.86000          2     703    324.7070     79.890   63.514
10             1  2.062600e-05  6.182800e-05  0.000086  -30242.40000  -47552.300000   1950.85000          2     703    324.7070     79.890   63.514
11             1  7.393520e-03  1.773450e-02  0.006245  -29989.10000  -46722.800000   1958.18000          2     703    324.7070     79.890   63.514
12             1  5.957580e-03  1.358560e-02  0.004817  -29976.40000  -46727.500000   1958.21000          2     703    324.7070     79.890   63.514
13             1 -4.933720e-06  7.578090e-05  0.000070  -30099.50000  -47125.600000   1954.70000          2     703    324.7070     79.890   63.514
14             1  1.022970e-02  1.526830e-02  0.009019  -29994.40000  -46976.700000   1956.29000          2     703    324.7070     79.890   63.514
15             1  1.681870e-02  4.964070e-03  0.026094  -41512.20000  -98614.800000   1301.83000          2     703    324.7070     79.890   63.514
18             1 -5.775100e-03 -1.717480e-03  0.009426   41014.30000  -13109.000000   2054.55000          5     703     68.5631     71.509  174.191
20             1 -1.733460e-04 -7.704250e-05  0.000225   -1896.78000  -22687.100000   2159.34000          6     703    291.2950     73.310  102.322
21             1 -3.011670e-04 -8.962130e-04  0.002243   -2278.28000  -21914.300000   2161.92000          6     703    291.2950     73.310  102.322
22             1 -3.903520e-07 -1.475830e-04  0.000315   -2168.89000  -21677.100000   2162.77000          6     703    291.2950     73.310  102.322
23             1  3.554360e-04 -1.239130e-05  0.000322   -2045.59000  -21712.800000   2162.69000          6     703    291.2950     73.310  102.322
24             1 -2.468930e-04 -2.229740e-04  0.000310   -2489.18000  -22135.900000   2161.07000          6     703    291.2950     73.310  102.322
25             1 -1.409920e-02  4.576640e-02  0.020148   -2416.55000  -21240.000000   2164.15000          6     703    291.2950     73.310  102.322
26             1 -1.020000e-02  2.270600e-02  0.012334   -2550.39000  -21741.400000   2162.41000          6     703    291.2950     73.310  102.322
27             1 -1.527430e-03  4.732500e-03  0.001636   -2612.02000  -20733.900000   2165.74000          6     703    291.2950     73.310  102.322
28             1 -8.978790e-04  7.854140e-03  0.004570   -2106.17000  -21513.900000   2163.34000          6     703    291.2950     73.310  102.322
29             1 -7.006700e-04  4.717330e-03  0.002080   -2215.81000  -21156.900000   2164.50000          6     703    291.2950     73.310  102.322
30             1 -2.808440e-03  1.740430e-03  0.001002   -2599.92000  -20717.700000   2165.80000          6     703    291.2950     73.310  102.322
31             1 -5.205350e-03  5.779230e-03  0.002098   -2587.16000  -20677.300000   2165.93000          6     703    291.2950     73.310  102.322
32             1 -2.719730e-05  1.331160e-04  0.000630   -1904.27000  -22315.500000   2160.65000          6     703    291.2950     73.310  102.322
33             1 -8.540270e-04  1.971740e-04  0.000626   -2440.94000  -22025.400000   2161.48000          6     703    291.2950     73.310  102.322
34             1 -1.058920e-03  6.794420e-03  0.006583   -2136.32000  -21871.800000   2162.11000          6     703    291.2950     73.310  102.322
36             1 -3.517990e-04  1.300220e-03  0.001474   36435.70000  -52586.100000   1878.91000          8     703     79.1462     74.004  132.297
37             1 -1.021430e-04 -5.582610e-05  0.000288   36388.40000  -52962.600000   1876.06000          8     703     79.1462     74.004  132.297
38             1  1.746350e-02  6.881450e-03  0.027682   40482.60000    9846.990000   2063.83000          9     703    171.3020     75.403 -144.923
47             1 -7.426490e-03  6.019090e-03  0.022564  658738.00000 -492105.000000 -51062.60000         13     703     16.9321     89.582  147.416
49             1 -5.843800e-03  2.258700e-04  0.003598    2294.45000    -460.351000   2199.57000         15     703    103.5540     71.195 -151.224
50             1 -1.060080e-03 -1.502960e-03  0.002883    1032.06000    1253.180000   2199.79000         16     703    386.1120     78.313 -121.032
51             1 -6.000720e-04 -8.900360e-05  0.000611     446.79200    1351.130000   2199.84000         16     703    386.1120     78.313 -121.032
53             1 -3.595840e-05  4.268340e-05  0.000134 -105689.00000 -219765.000000  -2466.87000         18     703     37.5635     80.098   66.857
62             1 -1.804020e-04  1.037790e-04  0.000139     278.26400    1449.020000   2199.83000         23     703    990.6310     73.252   28.560
64             1  9.855910e-04  9.932530e-04  0.000509    1450.69000    1774.830000   2199.59000         23     703    990.6310     73.252   28.560
65             1  5.463380e-04  4.276520e-04  0.000254    1234.17000    1718.970000   2199.65000         23     703    990.6310     73.252   28.560
66             1 -3.190420e-04  1.181340e-04  0.000135     971.93200    1664.040000   2199.71000         23     703    990.6310     73.252   28.560
69             1 -6.518650e-05  8.351330e-05  0.000155   -2981.74000    9262.950000   2192.57000         23     703    990.6310     73.252   28.560
70             1 -2.841510e-05 -3.144640e-05  0.000177    -232.77400   10695.700000   2191.02000         23     703    990.6310     73.252   28.560
73             1 -1.001820e-04 -3.131210e-04  0.000385     822.85000  -72732.900000   1784.93000         24     703    244.4700     78.153   93.422
74             1 -1.685980e-04  6.376870e-04  0.000475     255.61200  -70999.800000   1804.52000         24     703    244.4700     78.153   93.422
78             1 -7.071210e-05  1.370420e-04  0.000143   -3964.34000   -1851.860000   2198.50000         26     703    297.8500     72.059 -167.854
79             1  1.154880e-05  3.884590e-04  0.000628   -3876.25000   -1628.480000   2198.61000         26     703    297.8500     72.059 -167.854
80             1 -5.735220e-03  5.567250e-04  0.004241   -4253.83000   -1759.980000   2198.34000         26     703    297.8500     72.059 -167.854
81             1 -2.722620e-02  9.394280e-04  0.019548   -4268.98000   -1790.960000   2198.32000         26     703    297.8500     72.059 -167.854
