Tabla para CorsikaId 2:
      CorsikaId        px        py        pz            x            y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
30            2 -0.163771  0.035963  0.342968   1399.42000   1550.61000  2199.66          5     703     227.939     26.090  169.614
36            2 -0.051781  0.010277  0.120108   1407.62000   1557.93000  2199.65          5     703     227.939     26.090  169.614
40            2 -0.008204  0.001469  0.012696   1391.12000   1547.97000  2199.66          5     703     227.939     26.090  169.614
58            2  0.006362  0.002502  0.015758    815.85700    872.07600  2199.89          5     703     227.939     26.090  169.614
107           2 -0.004157 -0.015328  0.016043    408.56000  -5170.00000  2197.89          7     703     244.465     33.548 -123.487
137           2 -0.003057 -0.000739  0.010993  -5905.04000   1999.88000  2196.95         19    1206     134.538     52.180  -34.426
149           2  0.004334  0.002148  0.002725  -4058.22000  -1925.59000  2198.42         24    1206     160.500     36.929   10.069
262           2 -0.008861 -0.001859  0.011583  -2515.24000  -1343.06000  2199.36         44    1206     243.104      5.162 -124.563
280           2 -0.011176 -0.006973  0.012901   -379.28800  -1813.54000  2199.73         44    1206     243.104      5.162 -124.563
310           2  0.048322 -0.251801  0.677410   -117.90300  -1753.61000  2199.76         44    1206     243.104      5.162 -124.563
320           2  0.000674  0.000760  0.036109   -181.91300  -1479.57000  2199.83         44    1206     243.104      5.162 -124.563
352           2 -0.005296  0.000315  0.012806    567.99500  -2178.53000  2199.60         46    1206     103.308     17.280   31.552
364           2  0.001128  0.000236  0.000985   5408.02000  -3608.63000  2196.68         46    1206     103.308     17.280   31.552
387           2 -0.048063  0.076781  0.086690    497.77900  -3847.18000  2198.82         47    1206     119.209     35.372 -136.987
411           2  0.006755 -0.002397  0.005403  -2189.13000  -1041.40000  2199.54         49    1206     131.262     36.911   73.587
417           2 -0.002184  0.008807  0.028092  -1109.29000   -700.29200  2199.86         52    1206     186.609     50.686  -40.289
491           2  0.222463  0.122669  0.507458   -680.99300  -2938.58000  2199.29         60    1206     259.452     35.023   40.725
503           2  0.009674  0.004786  0.012000   -155.26100  -1689.82000  2199.77         60    1206     259.452     35.023   40.725
518           2 -0.008815  0.003556  0.031942   5839.20000  -2746.70000  2196.73         64    1206     429.554     30.718  141.373
658           2  0.014577 -0.003231  0.003275   1216.13000  -2956.49000  2199.20         73    1206     573.734     41.670   43.474
710           2  0.006161  0.002318  0.003235      6.89080  -1057.65000  2199.91         73    1206     573.734     41.670   43.474
788           2 -0.037946 -0.051936  0.094439     31.45770    944.62500  2199.93         77    1206    4245.470     42.367 -114.469
799           2 -0.046138 -0.093137  0.097441    -11.58110   -748.37200  2199.96         77    1206    4245.470     42.367 -114.469
805           2 -0.014594 -0.023640  0.028840     -9.29258   -743.85000  2199.96         77    1206    4245.470     42.367 -114.469
813           2 -1.190280 -2.726960  3.047720     -7.28672   -746.70700  2199.96         77    1206    4245.470     42.367 -114.469
816           2 -0.001218  0.000249  0.000487   -236.82500  -1378.82000  2199.85         77    1206    4245.470     42.367 -114.469
848           2 -0.008653 -0.010255  0.005850   -621.67900  -1482.70000  2199.80         77    1206    4245.470     42.367 -114.469
901           2 -0.003156 -0.005640  0.002513   -239.24200   -862.66300  2199.94         77    1206    4245.470     42.367 -114.469
916           2  0.004141 -0.006656  0.000940     -5.94944   -231.42900  2200.00         77    1206    4245.470     42.367 -114.469
926           2 -0.017650 -0.034205  0.026961   -395.52300   -704.44800  2199.95         77    1206    4245.470     42.367 -114.469
954           2 -0.011361 -0.036959  0.030145   -116.63600   -353.68100  2199.99         77    1206    4245.470     42.367 -114.469
967           2 -0.011477 -0.018107  0.016680  -1399.95000    -18.61940  2199.85         77    1206    4245.470     42.367 -114.469
1023          2  0.007999  0.001017  0.013144    472.85900     27.21670  2199.98         77    1206    4245.470     42.367 -114.469
1028          2 -0.003358 -0.015581  0.023685    446.72000    -16.93660  2199.98         77    1206    4245.470     42.367 -114.469
1040          2 -0.033307 -0.083731  0.104076    356.67600    -81.12330  2199.99         77    1206    4245.470     42.367 -114.469
1062          2 -0.030008 -0.147502  0.088185    379.00700      1.64325  2199.99         77    1206    4245.470     42.367 -114.469
1202          2  0.010914 -0.057665  0.045254    137.40600    -10.33310  2200.00         77    1206    4245.470     42.367 -114.469
1230          2 -0.021095 -0.131069  0.164165   1346.71000    729.13500  2199.82         77    1206    4245.470     42.367 -114.469
1255          2 -0.057642 -0.280002  0.329225    344.48100   -552.66500  2199.97         77    1206    4245.470     42.367 -114.469
1397          2 -0.013154 -0.046743  0.061327     -9.09224    728.70100  2199.96         77    1206    4245.470     42.367 -114.469
1416          2  0.004101 -0.002789  0.005940   3517.21000  -1612.75000  2198.83         77    1206    4245.470     42.367 -114.469
1469          2 -0.002967  0.000029  0.017920   -957.23000   -574.33400  2199.90         77    1206    4245.470     42.367 -114.469
1488          2 -0.000974  0.000505  0.003835   -867.23000   -800.10400  2199.89         77    1206    4245.470     42.367 -114.469
1521          2  0.001718 -0.008703  0.014988    512.65100    171.77800  2199.98         77    1206    4245.470     42.367 -114.469
