Tabla para CorsikaId 2:
        CorsikaId            px        py        pz             x             y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
33              2 -5.549590e-03 -0.007511  0.022844    668.505000   -753.419000  2199.92          7     703    307.2450     50.183  -99.975
63              2 -4.630380e-02 -0.218490  0.157700    630.753000   -909.686000  2199.90          7     703    307.2450     50.183  -99.975
79              2  1.360180e-01 -0.168090  0.167093   1649.640000  -2831.100000  2199.16         10     703    583.7990     57.309  -54.202
95              2  7.751020e-02 -0.100292  0.070420   2819.290000   -247.032000  2199.37         10     703    583.7990     57.309  -54.202
105             2  8.408380e-01 -1.103990  0.804314   2813.150000   -229.193000  2199.38         10     703    583.7990     57.309  -54.202
121             2  2.821740e-02 -0.032666  0.027461     80.266000  -1225.940000  2199.88         10     703    583.7990     57.309  -54.202
125             2  2.951360e-01 -0.477013  0.426467     74.734800  -1252.570000  2199.88         10     703    583.7990     57.309  -54.202
144             2  6.758860e-02 -0.107098  0.099896     61.234900  -1234.280000  2199.88         10     703    583.7990     57.309  -54.202
152             2  1.837860e-02 -0.035378  0.039803     65.206300  -1241.130000  2199.88         10     703    583.7990     57.309  -54.202
228             2 -3.510480e-03  0.006564  0.017831   -974.500000   -422.160000  2199.91         12     703    175.2830     27.672   38.166
251             2  7.555910e-03  0.006758  0.014536   -459.829000   -640.997000  2199.95         12     703    175.2830     27.672   38.166
295             2  1.319800e-02  0.009779  0.024586    905.447000   -520.726000  2199.91         12     703    175.2830     27.672   38.166
406             2 -4.185840e-04 -0.005111  0.004079   1530.810000  -3033.870000  2199.09         37     703    147.2070     28.639   41.213
447             2  3.810860e-03 -0.003969  0.073544     94.920000  -1693.740000  2199.77         45     703     74.5720     22.754  -46.593
521             2 -3.283340e-03  0.013742  0.021188   -125.545000   -910.085000  2199.93         56     703    126.4490     23.925  124.474
530             2  3.047660e-03  0.004651  0.008638   -133.763000   -939.309000  2199.93         56     703    126.4490     23.925  124.474
545             2 -7.878170e-03  0.003674  0.015601   -146.687000   -959.209000  2199.93         56     703    126.4490     23.925  124.474
557             2 -1.696610e-02  0.020617  0.040206   -105.017000   -908.024000  2199.93         56     703    126.4490     23.925  124.474
618             2 -6.309100e-03  0.001253  0.008334    357.275000  -1247.910000  2199.87         61     703    880.6990     33.476  178.049
708             2  7.339800e-02 -0.035843  0.077791   -111.449000   -200.786000  2200.00         74     703    199.6760     49.248  -36.375
