Tabla para CorsikaId 3:
       CorsikaId         px         py        pz            x             y           z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
19             3  -0.000385  -0.000637  0.000600   -2893.8200  -21307.70000   2163.7300          6     703    291.2950     73.310  102.322
96             3  -0.004792   0.005082  0.004878  108056.0000 -408780.00000 -11840.4000         31     703     20.5427     83.460  109.230
107            3   0.000057   0.000089  0.001205    6331.5500  -19379.00000   2167.3900         34     703    309.5680     73.883  126.377
155            3  -0.013387   0.010984  0.019009   -6845.1500  -55514.50000   1954.5500         53     703     55.5883     70.103   91.268
229            3   0.000140   0.000378  0.000988   14524.1000  -41938.40000   2045.4700         72     703    240.2950     76.822  115.068
230            3  -0.000981   0.004132  0.002475   14523.9000  -41937.60000   2045.4800         72     703    240.2950     76.822  115.068
238            3  -0.010854   0.014486  0.014170   14394.6000  -41991.90000   2045.4100         72     703    240.2950     76.822  115.068
287            3  -0.012136   0.036864  0.017184    5412.2600  -12942.00000   2184.5600         73     703   1493.5100     81.854  113.344
293            3  -0.001243   0.000493  0.002204    5683.1500  -13827.50000   2182.4700         73     703   1493.5100     81.854  113.344
295            3  -0.007379   0.021271  0.010382    5658.0700  -13804.50000   2182.5400         73     703   1493.5100     81.854  113.344
315            3   0.003301   0.000912  0.002967     723.6160     434.26500   2199.9400         74     703    979.8540     80.536   -3.074
331            3   0.027762  -0.001196  0.011545     364.2480     383.86700   2199.9800         74     703    979.8540     80.536   -3.074
362            3  -0.000028  -0.000465  0.001920     696.6120     404.52200   2199.9500         74     703    979.8540     80.536   -3.074
363            3   0.022173  -0.003464  0.007965     698.4230     404.39000   2199.9500         74     703    979.8540     80.536   -3.074
382            3   0.001751  -0.001475  0.001171   -5044.4000    4365.73000   2196.5100         78     703    453.5760     83.298  -36.999
395            3   0.004495  -0.001585  0.002615   -4864.6900    4257.74000   2196.7200         78     703    453.5760     83.298  -36.999
398            3   0.031890  -0.024267  0.005701   -4820.2200    4215.20000   2196.7800         78     703    453.5760     83.298  -36.999
406            3   0.086528  -0.074491  0.015730   -4839.5100    4183.34000   2196.7900         78     703    453.5760     83.298  -36.999
