Tabla para CorsikaId 3:
      CorsikaId        px        py        pz           x            y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
7             3  0.000802  0.005346  0.003675 -4556.76000   3127.45000  2197.60          2     703    214.0730     48.577  -14.098
42            3 -0.010929  0.001412  0.018569  1391.09000   1547.95000  2199.66          5     703    227.9390     26.090  169.614
56            3  0.003768  0.010951  0.008239   823.50000    896.06400  2199.88          5     703    227.9390     26.090  169.614
71            3  0.002019 -0.008455  0.008456  -364.77400  -2242.01000  2199.60          5     703    227.9390     26.090  169.614
72            3 -0.001568  0.000053  0.001799  1417.82000   1830.08000  2199.58          5     703    227.9390     26.090  169.614
103           3 -0.008548 -0.021370  0.020916   397.18500  -5177.39000  2197.88          7     703    244.4650     33.548 -123.487
112           3 -0.124051 -0.218672  0.175491   392.39200  -5180.96000  2197.88          7     703    244.4650     33.548 -123.487
138           3 -0.003950 -0.000732  0.011756 -5904.39000   2000.22000  2196.95         19    1206    134.5380     52.180  -34.426
177           3  0.019386  0.139871  0.110289 -2044.35000  -4369.31000  2198.17         30    1206    332.1460     50.570   67.962
189           3  0.000723 -0.002403  0.002638 -2221.80000  -5592.25000  2197.16         35    1206     56.4279     29.498  -58.231
212           3 -0.001418 -0.004291  0.002466  -809.36300  -5795.86000  2197.31         40    1206    121.2740     34.533 -125.392
215           3 -0.004501 -0.005031  0.013870  -819.37700  -5808.94000  2197.30         40    1206    121.2740     34.533 -125.392
271           3 -0.002086 -0.000441  0.007206  -364.22400  -1777.71000  2199.74         44    1206    243.1040      5.162 -124.563
285           3 -0.029682 -0.027506  0.063134  -382.04900  -1810.29000  2199.73         44    1206    243.1040      5.162 -124.563
302           3 -0.034624 -0.108506  0.430852  -191.93600  -1684.18000  2199.77         44    1206    243.1040      5.162 -124.563
306           3  0.011880 -0.044532  0.139236  -117.10500  -1750.58000  2199.76         44    1206    243.1040      5.162 -124.563
326           3 -0.002021 -0.000340  0.001794 -1370.42000  -1876.69000  2199.58         44    1206    243.1040      5.162 -124.563
361           3  0.002513  0.039886  0.112937   577.64900  -2121.34000  2199.62         46    1206    103.3080     17.280   31.552
366           3  0.005591  0.005870  0.003156  5398.06000  -3602.32000  2196.70         46    1206    103.3080     17.280   31.552
378           3 -0.000774  0.001155  0.001466   539.53100  -3915.73000  2198.77         47    1206    119.2090     35.372 -136.987
379           3 -0.001578  0.001325  0.001821   542.43900  -3915.49000  2198.77         47    1206    119.2090     35.372 -136.987
418           3 -0.002587  0.018696  0.075473 -1109.07000   -703.29900  2199.86         52    1206    186.6090     50.686  -40.289
458           3  0.000005 -0.000259  0.000362  -573.56200  -9686.83000  2192.61         57    1206    211.2640     56.493   88.737
483           3 -0.027124 -0.003155  0.015741   124.89500    905.62600  2199.93         59    1206    414.6070     52.458 -148.318
502           3  0.005941  0.002007  0.006709  -155.31200  -1690.03000  2199.77         60    1206    259.4520     35.023   40.725
523           3  0.000695  0.000213  0.001894  5901.42000  -2708.05000  2196.69         64    1206    429.5540     30.718  141.373
541           3 -0.002128  0.008859  0.009047  2429.29000   -259.32200  2199.53         64    1206    429.5540     30.718  141.373
553           3 -0.000522  0.001141  0.001219  1036.55000    -70.72270  2199.92         64    1206    429.5540     30.718  141.373
554           3  0.002187  0.001402  0.001243  1034.84000    -72.40270  2199.92         64    1206    429.5540     30.718  141.373
560           3 -0.004335 -0.000234  0.002365  1109.58000    -48.06580  2199.90         64    1206    429.5540     30.718  141.373
565           3 -0.000682  0.002007  0.005027  1221.99000    -61.13350  2199.88         64    1206    429.5540     30.718  141.373
585           3  0.000111  0.000251  0.000307  -133.83800  -3589.88000  2198.99         72    1206    197.5150     27.878  141.033
586           3 -0.000558 -0.001118  0.001981  -133.85900  -3589.95000  2198.99         72    1206    197.5150     27.878  141.033
600           3 -0.004821  0.005342  0.006949 -1442.50000  -1681.78000  2199.61         72    1206    197.5150     27.878  141.033
649           3  0.000668  0.002586  0.008092 -1138.94000   -585.39900  2199.87         73    1206    573.7340     41.670   43.474
