Tabla para CorsikaId 3:
     CorsikaId        px        py        pz         x         y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
7            3  0.077656 -0.128124  0.033816 -1312.310   4990.55  2197.91          2    1206     1051.43     75.681  -56.477
14           3  0.023443 -0.024562  0.018842  6760.440  -6459.94  2193.14          2    1206     1051.43     75.681  -56.477
50           3  0.001728 -0.007073  0.002879  6793.240  -6540.36  2193.02          2    1206     1051.43     75.681  -56.477
74           3 -0.002324  0.003590  0.003556 -3213.390   6796.52  2195.57          7    1608     2809.80     72.953  134.006
105          3 -0.005244  0.005063  0.002298 -3910.450   7534.69  2194.35          7    1608     2809.80     72.953  134.006
128          3 -0.160107  0.175274  0.063806 -3964.390   7676.12  2194.14          7    1608     2809.80     72.953  134.006
189          3 -0.009331 -0.002219  0.007443 -5600.770  -7341.95  2193.31         16    2412     2181.73     73.780 -138.683
197          3 -0.020909 -0.022202  0.021673 -5508.980  -7293.84  2193.45         16    2412     2181.73     73.780 -138.683
207          3 -0.000117  0.000175  0.001038 -5618.270  -7357.92  2193.28         16    2412     2181.73     73.780 -138.683
208          3 -0.096964 -0.077264  0.032697 -5620.900  -7360.43  2193.27         16    2412     2181.73     73.780 -138.683
217          3 -0.007343 -0.008025  0.003362 -5609.280  -7365.53  2193.28         16    2412     2181.73     73.780 -138.683
222          3 -0.000029  0.000285  0.000699 -5608.410  -7364.85  2193.28         16    2412     2181.73     73.780 -138.683
235          3 -0.024939 -0.015646  0.011486 -5501.430  -7261.02  2193.49         16    2412     2181.73     73.780 -138.683
240          3 -0.243046 -0.222014  0.099816 -5617.280  -7367.99  2193.27         16    2412     2181.73     73.780 -138.683
254          3 -0.040512 -0.022177  0.017017 -5631.110  -7347.33  2193.28         16    2412     2181.73     73.780 -138.683
276          3 -0.028084 -0.010287  0.014722 -7737.900  -5827.40  2192.64         16    2412     2181.73     73.780 -138.683
293          3 -0.004516 -0.000225  0.000439  -482.045  -1581.06  2199.79         16    2412     2181.73     73.780 -138.683
325          3 -0.001415 -0.000032  0.002161  -403.127  -1579.72  2199.79         16    2412     2181.73     73.780 -138.683
346          3  0.021191  0.154572  0.052560 -1045.050 -15937.20  2179.99         17    2412     2767.42     72.340   84.605
368          3  0.001965  0.001830  0.001371 -2168.130  -6989.84  2195.80         17    2412     2767.42     72.340   84.605
372          3  0.001584  0.003478  0.000804 -2141.210  -7517.48  2195.21         17    2412     2767.42     72.340   84.605

