Tabla para CorsikaId 5:
      CorsikaId         px         py          pz            x            y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
8             5   3.170720  -1.237270    2.843680    551.17000  -2434.45000  2199.51          2     703    214.0730     48.577  -14.098
9             5  -0.099832   0.025381    0.072959   2095.81000  -2067.33000  2199.32          3     703    180.0230     51.574  173.528
45            5  -2.785380   0.230824    6.253370    490.31800  -1183.75000  2199.87          5     703    227.9390     26.090  169.614
68            5  -3.722010   0.305931    7.713190     63.87480  -1374.43000  2199.85          5     703    227.9390     26.090  169.614
98            5  -1.115780  -1.346190    1.845890  -2594.68000  -2507.63000  2198.98          7     703    244.4650     33.548 -123.487
99            5  -1.931290  -3.207260    4.803200  -1381.22000  -3239.92000  2199.03          7     703    244.4650     33.548 -123.487
101           5  -1.022110  -1.724790    3.129340    593.29300    230.57300  2199.97          7     703    244.4650     33.548 -123.487
115           5   0.119674   0.697883    0.501181  -4792.38000 -15561.10000  2179.20          9     703    110.3810     62.319   76.932
116           5   0.129568   0.563678    0.373368  -3882.17000 -12118.90000  2187.30          9     703    110.3810     62.319   76.932
124           5  -1.303070  -0.663365    0.953693  -2379.95000  -4450.93000  2198.00         16     703    142.6930     46.495 -159.778
134           5  -0.161206  -0.257065    0.249221   3575.16000  -2085.45000  2198.66         17     703    182.9650     53.670 -125.088
143           5  -0.502570   0.284573    1.633950  -1738.73000  -1856.62000  2199.49         22    1206    194.9910     19.654  129.310
167           5   0.307027   0.572782    0.465070  -1957.57000  -1693.31000  2199.47         30    1206    332.1460     50.570   67.962
178           5   0.052424   0.300722    0.418122  -4861.93000  -8294.58000  2192.75         30    1206    332.1460     50.570   67.962
193           5  -1.057070   0.035553    1.452370  -2636.08000  -4802.49000  2197.65         37    1206     90.0717     26.546  165.913
230           5   0.102658  -0.125068    0.734497   2624.66000  -2361.00000  2199.02         44    1206    243.1040      5.162 -124.563
237           5  -0.191096  -0.426835    1.213170   -629.88500  -2598.90000  2199.44         44    1206    243.1040      5.162 -124.563
257           5  -0.171213  -0.002840    0.740714  -1763.39000   -478.39400  2199.74         44    1206    243.1040      5.162 -124.563
287           5   0.161777   0.234698    0.408752     75.35340  -1174.11000  2199.89         44    1206    243.1040      5.162 -124.563
311           5  -0.343464   0.165986    1.280500   -311.28800  -1446.53000  2199.83         44    1206    243.1040      5.162 -124.563
332           5   0.009741   0.007598    0.090589   -129.20400  -1372.53000  2199.85         44    1206    243.1040      5.162 -124.563
368           5   0.056393  -0.072198    0.375310   1151.06000  -4162.26000  2198.54         47    1206    119.2090     35.372 -136.987
446           5   0.388384  -0.051418    1.260790   1270.86000  -3280.69000  2199.03         56    1206    159.0760     10.122   52.329
451           5   0.021772   0.179899    0.200121  -3160.08000  -9875.96000  2191.57         57    1206    211.2640     56.493   88.737
464           5  -0.290675  -0.289920    0.248040   -161.18700  -4487.06000  2198.42         59    1206    414.6070     52.458 -148.318
471           5  -5.155830  -3.997470    4.581830   -654.05000  -3994.65000  2198.71         59    1206    414.6070     52.458 -148.318
492           5   0.555721   0.210799    1.188400  -1390.79000  -4140.33000  2198.50         60    1206    259.4520     35.023   40.725
513           5  -2.535210   1.686850    5.010400   -740.99000  -1122.05000  2199.86         64    1206    429.5540     30.718  141.373
515           5  -0.873191   0.599073    1.942110    814.70000  -1616.76000  2199.74         64    1206    429.5540     30.718  141.373
535           5  -1.428140   0.840923    2.947160   -364.60400  -1346.78000  2199.85         64    1206    429.5540     30.718  141.373
548           5  -0.323635   0.213947    0.958894   2247.41000  -2186.91000  2199.23         64    1206    429.5540     30.718  141.373
574           5  -0.385922   1.756960    2.334000   -190.78200 -12724.00000  2187.30         67    1206    220.6470     51.845   97.400
581           5  -0.692629   0.401446    1.838160   1098.99000  -3055.11000  2199.17         72    1206    197.5150     27.878  141.033
618           5   0.415000   0.263613    0.620183   -422.29600  -1382.19000  2199.84         73    1206    573.7340     41.670   43.474
620           5   0.483073   0.401109    0.889727   -617.29600  -1544.68000  2199.78         73    1206    573.7340     41.670   43.474
621           5   0.137834   0.123822    0.183009    -81.45610  -1011.95000  2199.92         73    1206    573.7340     41.670   43.474
634           5   0.996237   0.858278    1.480950    305.34600   -760.51800  2199.95         73    1206    573.7340     41.670   43.474
638           5   1.385720   1.153620    2.065510    613.29400   -577.62100  2199.94         73    1206    573.7340     41.670   43.474
677           5   0.440671   0.332793    0.731279   -379.97400  -1060.35000  2199.90         73    1206    573.7340     41.670   43.474
684           5   1.817570   1.366430    2.789480   -395.12800  -1948.11000  2199.69         73    1206    573.7340     41.670   43.474
692           5   0.322694   0.228442    0.523333  -1858.59000  -2431.33000  2199.27         73    1206    573.7340     41.670   43.474
698           5   0.741199   0.605125    1.249590   -713.25600  -1364.27000  2199.81         73    1206    573.7340     41.670   43.474
724           5  -1.199840   0.113330    1.484130  -1582.29000  -1772.76000  2199.56         75    1206    194.3870     35.994  173.152
725           5  -1.735180  -0.170749    2.193490  -1893.28000  -4108.18000  2198.39         75    1206    194.3870     35.994  173.152
789           5  -2.031420  -4.389710    5.024100   -511.34800   -603.75300  2199.95         77    1206   4245.4700     42.367 -114.469
790           5  -2.895340  -8.322840    9.751310   1022.56000   -324.44200  2199.91         77    1206   4245.4700     42.367 -114.469
873           5  -5.346350 -11.654100   14.231000     82.23790    151.05500  2200.00         77    1206   4245.4700     42.367 -114.469
875           5  -1.141010  -2.232620    2.656100   -769.43100   -549.18400  2199.93         77    1206   4245.4700     42.367 -114.469
877           5  -0.862212  -2.260060    2.251380    -82.86320  -2061.01000  2199.67         77    1206   4245.4700     42.367 -114.469
895           5  -0.637315  -1.759280    1.980340    360.52100   -222.13800  2199.99         77    1206   4245.4700     42.367 -114.469
897           5  -0.777627  -2.191090    2.209670    351.92200   -877.46900  2199.93         77    1206   4245.4700     42.367 -114.469
898           5  -8.799300 -21.518000   24.738200    212.77800   -489.98400  2199.98         77    1206   4245.4700     42.367 -114.469
941           5  -1.082900  -2.116530    2.965790     85.71310   1056.46000  2199.91         77    1206   4245.4700     42.367 -114.469
