Tabla para CorsikaId 5:
        CorsikaId         px         py          pz             x             y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
7               5  -0.407887   0.074009    1.075580    142.543000  -4715.320000  2198.25          2     703     80.8418     26.386  140.880
9               5   0.197949  -0.925712    1.578110  -2481.070000  -2043.730000  2199.19          3     703    106.1640     32.249  -64.358
26              5  -0.407218  -2.452700    1.153410  -1182.460000  -9184.930000  2193.27          7     703    307.2450     50.183  -99.975
27              5  -2.047000 -18.002700   13.799800   1079.390000  -2960.460000  2199.22          7     703    307.2450     50.183  -99.975
106             5   2.863950  -3.552420    3.005890   1339.570000    726.081000  2199.82         10     703    583.7990     57.309  -54.202
169             5   2.890370  -4.168860    2.539000   4206.470000  -5606.380000  2196.15         10     703    583.7990     57.309  -54.202
170             5   0.367076  -0.472784    0.308644   2865.250000  -7447.830000  2195.00         10     703    583.7990     57.309  -54.202
192             5   3.379050  -4.441260    3.775870    391.835000    484.622000  2199.97         10     703    583.7990     57.309  -54.202
201             5   0.245069   0.149972    1.128240  -1564.760000  -1427.590000  2199.65         12     703    175.2830     27.672   38.166
220             5   1.040940   0.710210    1.832930   2294.030000    297.139000  2199.58         12     703    175.2830     27.672   38.166
222             5  -0.018875   0.404138    0.409258  -2049.460000   1579.440000  2199.47         12     703    175.2830     27.672   38.166
235             5  -0.024181   0.271980    0.262550   -864.938000   -161.714000  2199.94         12     703    175.2830     27.672   38.166
236             5  -0.065790  -0.098768    0.057200   -916.973000   -532.879000  2199.91         12     703    175.2830     27.672   38.166
255             5   0.457908   1.006310    2.415040  -2467.930000    628.658000  2199.49         12     703    175.2830     27.672   38.166
325             5   0.860116  -0.188092    0.552114   2367.940000     50.283000  2199.56         15     703    323.6120     55.186  -16.526
327             5  10.206400  -3.120840    6.701040   2147.380000  -1262.760000  2199.51         15     703    323.6120     55.186  -16.526
346             5  -0.321088  -0.177408    1.896480     27.188000  -2220.540000  2199.61         22     703     68.0276     10.800 -165.655
369             5  -1.545450  -3.121680    2.658360    721.321000  -2950.210000  2199.28         25     703    378.0540     50.441 -122.141
371             5  -2.271350  -3.469620    3.442700    185.132000   -204.267000  2199.99         25     703    378.0540     50.441 -122.141
379             5  -0.089564   0.124711    0.328523  14839.300000 -24369.300000  2136.14         29     703     56.3715     58.022  126.670
383             5  -4.526020  -3.404910    3.783170  -2638.330000  -3685.530000  2198.39         33     703    186.8210     52.745 -144.887
385             5  -3.100960  -2.274880    3.073990   1095.700000   -889.006000  2199.84         33     703    186.8210     52.745 -144.887
393             5   0.095604   0.094782    0.518460  -2127.710000  -4016.750000  2198.38         35     703    112.5280     31.871   59.731
455             5   0.040931  -0.059071    0.305382   -485.400000  -1119.840000  2199.88         45     703     74.5720     22.754  -46.593
480             5  -0.808966   0.433862    4.499800     71.875500  -1133.620000  2199.90         46     703    192.6580     12.809  146.501
491             5   0.734753   1.250500    1.571740  -2757.490000  -3659.990000  2198.35         49     703     97.2364     46.191   56.110
495             5  -1.978790   5.411800    3.923350   1020.100000  -4889.670000  2198.04         51     703    316.9850     59.841  109.357
496             5  -0.915308   2.036730    1.238580  -1087.860000  -1712.650000  2199.68         51     703    316.9850     59.841  109.357
