Tabla para CorsikaId 6:
        CorsikaId         px         py         pz             x             y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
25              6  -1.603970 -13.067400  11.882900   2030.850000    427.835000  2199.66          7     703    307.2450     50.183  -99.975
80              6   1.138380  -2.178360   1.878860  -2560.630000   -647.854000  2199.45         10     703    583.7990     57.309  -54.202
107             6   0.863593  -1.365470   1.628550  -1165.490000    629.492000  2199.86         10     703    583.7990     57.309  -54.202
171             6   1.704800  -2.324870   1.828790    354.494000  -1749.080000  2199.75         10     703    583.7990     57.309  -54.202
191             6   3.206200  -4.537780   3.529760    897.645000  -1525.710000  2199.75         10     703    583.7990     57.309  -54.202
200             6   0.224100  -0.064277   0.419252   -999.029000  -2008.700000  2199.61         12     703    175.2830     27.672   38.166
307             6   0.513869   0.094939   1.190590   -514.571000  -3171.790000  2199.19         14     703     58.1271     25.606   18.291
372             6  -1.010600  -1.446800   1.764370    593.442000    500.667000  2199.95         25     703    378.0540     50.441 -122.141
375             6   0.932510   2.721900   1.904500   -107.366000  -5849.160000  2197.32         27     703    197.4360     56.214   76.705
384             6  -1.670150  -1.177400   1.556590    213.295000  -2083.770000  2199.66         33     703    186.8210     52.745 -144.887
386             6  -2.000060  -1.377520   2.336070   3617.090000   -238.975000  2198.97         33     703    186.8210     52.745 -144.887
392             6   0.837363   0.879023   2.417380   -432.117000  -3637.340000  2198.95         35     703    112.5280     31.871   59.731
426             6   0.898523  -0.069826   0.763669   5990.160000  -1819.500000  2196.93         41     703    104.8330     39.309    2.287
444             6   0.020770  -0.225989   0.510984  -1739.500000  -3507.890000  2198.80         45     703     74.5720     22.754  -46.593
493             6  -0.136459   0.744438   0.306676   2594.610000  -3880.400000  2198.29         51     703    316.9850     59.841  109.357
499             6   0.701694   0.545442   0.941800   3116.390000  -3969.390000  2198.00         52     703     81.3088     39.593   52.065
512             6  -0.663822   0.953554   2.333590   -400.082000  -1079.910000  2199.90         56     703    126.4490     23.925  124.474
581             6  -3.100330   0.170880   5.300490   1582.310000   -329.787000  2199.80         61     703    880.6990     33.476  178.049
582             6  -0.913431   0.250441   1.771340   2352.180000   1329.860000  2199.43         61     703    880.6990     33.476  178.049
584             6  -5.526640   0.642116   8.829190    684.909000    320.742000  2199.96         61     703    880.6990     33.476  178.049
590             6  -0.463790   0.127834   0.758027    843.797000   1439.660000  2199.78         61     703    880.6990     33.476  178.049
592             6  -7.433450   0.845803  11.144300   -101.179000    804.274000  2199.95         61     703    880.6990     33.476  178.049
599             6  -6.073810   0.097989   8.732670   -377.480000   -507.580000  2199.97         61     703    880.6990     33.476  178.049
616             6  -1.297430  -0.127837   2.826590   1981.810000  -1134.090000  2199.59         61     703    880.6990     33.476  178.049
617             6  -8.791050   1.339220  13.129900    -91.559600    460.401000  2199.98         61     703    880.6990     33.476  178.049
634             6  -0.916296   0.073273   1.590000    700.648000    -85.624700  2199.96         61     703    880.6990     33.476  178.049
638             6  -0.905445  -0.043483   1.463740     11.460400   -741.245000  2199.96         61     703    880.6990     33.476  178.049
645             6  -0.285345   0.026452   0.496344    631.144000   -189.394000  2199.97         61     703    880.6990     33.476  178.049
661             6   0.507181   0.190259   0.597917  -7507.520000  -4548.320000  2193.96         63     703    301.8480     50.430   18.601
684             6   0.278322   2.356390   2.085660    241.328000  -2694.260000  2199.43         68     703    228.9420     49.598   86.651
686             6   0.503309   3.969140   3.179430   2083.260000  -1298.920000  2199.53         68     703    228.9420     49.598   86.651
691             6  -0.023345   0.749698   0.570063  -1442.040000  -2298.870000  2199.42         68     703    228.9420     49.598   86.651
697             6   0.552773  -0.724212   1.101270   2487.770000  -5508.500000  2197.13         72     703     51.5095     31.689  -49.329
721             6   0.345728   0.070988   5.785850   1175.630000  -3090.290000  2199.14         75     703    136.4760      5.727   87.401
767             6   0.329346   0.382334   3.066650   2085.460000   -319.338000  2199.65         75     703    136.4760      5.727   87.401
783             6  -0.369467  -0.983166   5.914850    340.339000   -646.091000  2199.96         77     703    335.3030     10.425 -117.040
784             6  -0.512516  -0.310740   2.266180   -327.262000   -588.495000  2199.96         77     703    335.3030     10.425 -117.040
807             6   0.051171  -0.149530   0.247390   1058.190000  -2120.360000  2199.56         77     703    335.3030     10.425 -117.040
861             6  -0.135841  -0.193269   1.784520    -71.873800    195.057000  2200.00         77     703    335.3030     10.425 -117.040
864             6  -0.285735  -0.839434   2.952540   -225.750000  -2011.210000  2199.68         77     703    335.3030     10.425 -117.040
865             6  -0.382049  -1.328260   6.975390    344.544000  -1093.290000  2199.90         77     703    335.3030     10.425 -117.040
905             6   0.749999   1.752750   3.217560  -2539.220000   1050.530000  2199.41         88     703    173.5870     29.013   54.094
906             6   0.300914   0.554681   0.839540   -960.117000    327.113000  2199.92         88     703    173.5870     29.013   54.094
