Tabla para CorsikaId 9:
        CorsikaId        px        py        pz          x         y        z  shower_id  prm_id  prm_energy  prm_theta  prm_phi
9923            9  0.000040 -1.230910  1.014190    55.0332  -724.062  2199.96        880    1206   2174.3100     33.284  -73.387
48221           9 -0.059656 -0.076369  0.710004    29.1179  -320.707  2199.99       3325    1206    979.0690      8.803   11.392
48224           9  0.146324  0.170058  1.463330    33.5606  -315.302  2199.99       3325    1206    979.0690      8.803   11.392
53988           9 -0.361822 -0.064716  0.437937 -1522.8700 -7745.860  2195.11       3717    1206     53.7146      5.148  -47.690
63909           9 -0.074480 -0.167866  0.375028  -181.5290  -767.444  2199.95       4224    1608   1304.2900     44.096  -92.523
77244           9  4.330730  2.509870  9.801010    42.6881  -148.928  2200.00       4990    1608    936.1840     29.636   43.856
104166          9 -0.159262 -0.000193  0.324735   275.1590  -702.073  2199.96       6707    1608   1034.9000     26.849  102.496
104190          9 -0.343030  1.319400  2.497130   317.7210  -661.043  2199.96       6707    1608   1034.9000     26.849  102.496
124719          9  3.451170 -1.011380  6.890600    36.0831   258.860  2199.99       7768    2412   8037.4000     24.772  -18.369

